Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,55.9,56.15,54.1,54.3,165093.0,0.0,1.0,55.9,56.15,54.1,54.3,165093.0
2018-03-26,55.7,55.9,53.9,55.6,480698.0,0.0,1.0,55.7,55.9,53.9,55.6,480698.0
2018-03-23,57.15,57.2,54.7,54.95,295857.0,0.0,1.0,57.15,57.2,54.7,54.95,295857.0
2018-03-22,58.55,58.75,56.8,56.85,256838.0,0.0,1.0,58.55,58.75,56.8,56.85,256838.0
2018-03-21,59.55,59.6,57.85,58.9,150898.0,0.0,1.0,59.55,59.6,57.85,58.9,150898.0
2018-03-20,59.85,60.35,59.5,59.85,178767.0,0.0,1.0,59.85,60.35,59.5,59.85,178767.0
2018-03-19,60.0,60.2,58.7,59.55,158055.0,0.0,1.0,60.0,60.2,58.7,59.55,158055.0
2018-03-16,58.7,60.65,58.65,60.3,436040.0,0.0,1.0,58.7,60.65,58.65,60.3,436040.0
2018-03-15,58.7,58.75,57.6,58.7,131672.0,0.0,1.0,58.7,58.75,57.6,58.7,131672.0
2018-03-14,59.6,59.92,58.45,58.5,170380.0,0.0,1.0,59.6,59.92,58.45,58.5,170380.0
2018-03-13,58.55,59.95,58.4,59.4,296080.0,0.0,1.0,58.55,59.95,58.4,59.4,296080.0
2018-03-12,58.25,58.95,57.75,58.45,163187.0,0.0,1.0,58.25,58.95,57.75,58.45,163187.0
2018-03-09,57.35,58.2,57.15,57.95,163687.0,0.0,1.0,57.35,58.2,57.15,57.95,163687.0
2018-03-08,56.15,57.45,56.0,57.05,155377.0,0.0,1.0,56.15,57.45,56.0,57.05,155377.0
2018-03-07,55.55,56.35,55.55,56.15,230716.0,0.0,1.0,55.55,56.35,55.55,56.15,230716.0
2018-03-06,55.6,56.45,55.4,56.1,268747.0,0.0,1.0,55.6,56.45,55.4,56.1,268747.0
2018-03-05,54.25,55.6,54.0,55.45,258702.0,0.0,1.0,54.25,55.6,54.0,55.45,258702.0
2018-03-02,54.65,54.9,53.5,54.75,247588.0,0.0,1.0,54.65,54.9,53.5,54.75,247588.0
2018-03-01,54.75,56.05,54.3,55.15,229224.0,0.0,1.0,54.75,56.05,54.3,55.15,229224.0
2018-02-28,56.25,56.7,54.7,54.8,237285.0,0.0,1.0,56.25,56.7,54.7,54.8,237285.0
2018-02-27,57.45,58.55,56.05,56.1,199448.0,0.0,1.0,57.45,58.55,56.05,56.1,199448.0
2018-02-26,56.45,58.075,56.45,57.35,293404.0,0.0,1.0,56.45,58.075,56.45,57.35,293404.0
2018-02-23,56.3,56.745,55.9,56.35,161170.0,0.0,1.0,56.3,56.745,55.9,56.35,161170.0
2018-02-22,56.2,57.0,55.9544,56.1,155694.0,0.0,1.0,56.2,57.0,55.9544,56.1,155694.0
2018-02-21,55.6,57.45,55.6,56.25,230170.0,0.0,1.0,55.6,57.45,55.6,56.25,230170.0
