Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,93.0,93.0,87.8,88.35,239459.0,0.0,1.0,93.0,93.0,87.8,88.35,239459.0
2018-03-26,90.6,92.45,89.65,92.45,306195.0,0.0,1.0,90.6,92.45,89.65,92.45,306195.0
2018-03-23,91.8,92.15,88.4,88.45,258257.0,0.0,1.0,91.8,92.15,88.4,88.45,258257.0
2018-03-22,94.8,95.25,92.2,92.25,172605.0,0.0,1.0,94.8,95.25,92.2,92.25,172605.0
2018-03-21,95.8,97.3,95.4,96.05,141994.0,0.0,1.0,95.8,97.3,95.4,96.05,141994.0
2018-03-20,94.65,96.9,94.65,96.2,170238.0,0.0,1.0,94.65,96.9,94.65,96.2,170238.0
2018-03-19,96.55,97.7076,92.9033,94.55,221862.0,0.0,1.0,96.55,97.7076,92.9033,94.55,221862.0
2018-03-16,96.95,97.95,96.5,97.1,470839.0,0.0,1.0,96.95,97.95,96.5,97.1,470839.0
2018-03-15,97.0,98.425,96.55,97.05,208018.0,0.0,1.0,97.0,98.425,96.55,97.05,208018.0
2018-03-14,98.4,98.4,96.65,97.05,239743.0,0.0,1.0,98.4,98.4,96.65,97.05,239743.0
2018-03-13,101.35,101.9,97.751,98.1,176492.0,0.0,1.0,101.35,101.9,97.751,98.1,176492.0
2018-03-12,100.3,101.2,98.051,100.65,120857.0,0.0,1.0,100.3,101.2,98.051,100.65,120857.0
2018-03-09,97.75,100.7,96.9,100.1,281017.0,0.0,1.0,97.75,100.7,96.9,100.1,281017.0
2018-03-08,96.5,96.8,95.25,96.75,137417.0,0.0,1.0,96.5,96.8,95.25,96.75,137417.0
2018-03-07,94.5,96.5,93.55,96.0,158938.0,0.0,1.0,94.5,96.5,93.55,96.0,158938.0
2018-03-06,94.45,95.45,93.3,95.3,258619.0,0.0,1.0,94.45,95.45,93.3,95.3,258619.0
2018-03-05,93.6,94.075,92.05,93.75,237253.0,0.0,1.0,93.6,94.075,92.05,93.75,237253.0
2018-03-02,90.75,94.35,90.7,94.15,191711.0,0.0,1.0,90.75,94.35,90.7,94.15,191711.0
2018-03-01,93.4,93.75,90.5,91.85,199673.0,0.0,1.0,93.4,93.75,90.5,91.85,199673.0
2018-02-28,94.9,95.8,93.4,93.5,197608.0,0.0,1.0,94.9,95.8,93.4,93.5,197608.0
2018-02-27,94.7,96.4,93.8,94.1,310066.0,0.0,1.0,94.7,96.4,93.8,94.1,310066.0
2018-02-26,93.0,95.35,93.0,95.1,202954.0,0.0,1.0,93.0,95.35,93.0,95.1,202954.0
2018-02-23,92.3,92.85,91.05,92.8,189328.0,0.0,1.0,92.3,92.85,91.05,92.8,189328.0
2018-02-22,91.45,92.95,91.1,91.4,161797.0,0.0,1.0,91.45,92.95,91.1,91.4,161797.0
2018-02-21,93.7,94.0,91.2,91.4,235104.0,0.0,1.0,93.7,94.0,91.2,91.4,235104.0
2018-02-20,89.65,94.3,89.05,93.15,255535.0,0.0,1.0,89.65,94.3,89.05,93.15,255535.0
2018-02-16,92.5,92.55,88.601,90.8,298847.0,0.0,1.0,92.5,92.55,88.601,90.8,298847.0
2018-02-15,92.5,93.45,90.6,93.2,166510.0,0.0,1.0,92.5,93.45,90.6,93.2,166510.0
2018-02-14,88.3,91.8,88.3,91.65,148830.0,0.0,1.0,88.3,91.8,88.3,91.65,148830.0
2018-02-13,89.0,89.6,88.0,89.45,168366.0,0.0,1.0,89.0,89.6,88.0,89.45,168366.0
2018-02-12,88.95,90.2,88.2,89.75,176189.0,0.0,1.0,88.95,90.2,88.2,89.75,176189.0
2018-02-09,87.35,89.0,84.475,88.25,185057.0,0.0,1.0,87.35,89.0,84.475,88.25,185057.0
2018-02-08,91.55,91.9,85.65,85.65,252045.0,0.0,1.0,91.55,91.9,85.65,85.65,252045.0
2018-02-07,91.95,94.0,90.95,91.2,211709.0,0.0,1.0,91.95,94.0,90.95,91.2,211709.0
2018-02-06,88.45,93.5,86.2,92.75,340154.0,0.0,1.0,88.45,93.5,86.2,92.75,340154.0
2018-02-05,94.25,96.0,90.3,90.55,268313.0,0.0,1.0,94.25,96.0,90.3,90.55,268313.0
2018-02-02,96.15,96.425,94.8,95.4,325669.0,0.0,1.0,96.15,96.425,94.8,95.4,325669.0
2018-02-01,96.05,98.2,95.0,97.55,270613.0,0.0,1.0,96.05,98.2,95.0,97.55,270613.0
2018-01-31,98.5,99.2491,94.95,96.2,390536.0,0.0,1.0,98.5,99.2491,94.95,96.2,390536.0
2018-01-30,97.05,98.7,96.25,96.55,286881.0,0.0,1.0,97.05,98.7,96.25,96.55,286881.0
2018-01-29,95.0,99.95,95.0,98.4,315180.0,0.0,1.0,95.0,99.95,95.0,98.4,315180.0
2018-01-26,98.15,100.0,97.2,100.0,288171.0,0.0,1.0,98.15,100.0,97.2,100.0,288171.0
2018-01-25,99.45,99.7,96.8,97.2,248433.0,0.0,1.0,99.45,99.7,96.8,97.2,248433.0
2018-01-24,99.0,99.65,97.65,98.3,301906.0,0.0,1.0,99.0,99.65,97.65,98.3,301906.0
2018-01-23,98.95,99.85,98.7,99.8,194190.0,0.0,1.0,98.95,99.85,98.7,99.8,194190.0
2018-01-22,98.1,98.65,97.7,98.65,158636.0,0.0,1.0,98.1,98.65,97.7,98.65,158636.0
2018-01-19,98.15,99.425,96.9,98.3,309044.0,0.0,1.0,98.15,99.425,96.9,98.3,309044.0
2018-01-18,98.85,99.1,97.4,97.85,192922.0,0.0,1.0,98.85,99.1,97.4,97.85,192922.0
2018-01-17,96.5,98.7,95.85,98.15,288863.0,0.0,1.0,96.5,98.7,95.85,98.15,288863.0
2018-01-16,96.0,96.95,95.3,95.3,202435.0,0.0,1.0,96.0,96.95,95.3,95.3,202435.0
2018-01-12,95.05,96.35,94.0,95.1,144600.0,0.0,1.0,95.05,96.35,94.0,95.1,144600.0
2018-01-11,93.3,94.95,92.8,94.95,233813.0,0.0,1.0,93.3,94.95,92.8,94.95,233813.0
2018-01-10,94.3,95.05,92.9,92.975,218622.0,0.0,1.0,94.3,95.05,92.9,92.975,218622.0
2018-01-09,96.35,96.35,94.225,95.15,266836.0,0.0,1.0,96.35,96.35,94.225,95.15,266836.0
2018-01-08,94.55,96.55,93.95,96.35,180777.0,0.0,1.0,94.55,96.55,93.95,96.35,180777.0
2018-01-05,94.55,96.0,94.05,94.75,209676.0,0.0,1.0,94.55,96.0,94.05,94.75,209676.0
2018-01-04,93.95,95.6,93.55,94.25,231564.0,0.0,1.0,93.95,95.6,93.55,94.25,231564.0
2018-01-03,90.9,93.35,90.9,93.25,199521.0,0.0,1.0,90.9,93.35,90.9,93.25,199521.0
2018-01-02,88.85,91.0,88.6,90.9,153551.0,0.0,1.0,88.85,91.0,88.6,90.9,153551.0
2017-12-29,89.4,89.95,88.3,88.3,223506.0,0.0,1.0,89.4,89.95,88.3,88.3,223506.0
2017-12-28,89.2,91.1,88.45,88.95,100632.0,0.0,1.0,89.2,91.1,88.45,88.95,100632.0
2017-12-27,88.7,89.5,88.35,88.8,118867.0,0.0,1.0,88.7,89.5,88.35,88.8,118867.0
2017-12-26,88.8,88.9,87.75,88.65,99587.0,0.0,1.0,88.8,88.9,87.75,88.65,99587.0
2017-12-22,89.75,89.8,89.1,89.35,81092.0,0.0,1.0,89.75,89.8,89.1,89.35,81092.0
2017-12-21,90.2,90.65,89.675,89.75,134221.0,0.0,1.0,90.2,90.65,89.675,89.75,134221.0
2017-12-20,90.8,91.15100000000001,89.0,89.8,240230.0,0.0,1.0,90.8,91.15100000000001,89.0,89.8,240230.0
2017-12-19,92.75,93.2,89.8,90.3,256255.0,0.0,1.0,92.75,93.2,89.8,90.3,256255.0
2017-12-18,90.7,92.85,90.5,92.85,268782.0,0.0,1.0,90.7,92.85,90.5,92.85,268782.0
2017-12-15,87.7,90.4,87.7,89.65,408243.0,0.0,1.0,87.7,90.4,87.7,89.65,408243.0
2017-12-14,88.55,89.2,87.35,87.55,199207.0,0.0,1.0,88.55,89.2,87.35,87.55,199207.0
2017-12-13,89.65,90.7,88.55,88.75,185867.0,0.0,1.0,89.65,90.7,88.55,88.75,185867.0
