Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,25.11,25.97,24.6,25.18,2159842.0,0.0,1.0,25.11,25.97,24.6,25.18,2159842.0
2018-03-26,26.36,26.489,24.15,25.08,3693397.0,0.0,1.0,26.36,26.489,24.15,25.08,3693397.0
2018-03-23,26.63,26.65,25.35,26.13,2918414.0,0.0,1.0,26.63,26.65,25.35,26.13,2918414.0
2018-03-22,26.59,27.49,26.5,26.63,2291474.0,0.0,1.0,26.59,27.49,26.5,26.63,2291474.0
2018-03-21,25.7,27.35,25.531,27.01,2632219.0,0.0,1.0,25.7,27.35,25.531,27.01,2632219.0
2018-03-20,26.09,26.36,25.41,25.61,1926480.0,0.0,1.0,26.09,26.36,25.41,25.61,1926480.0
2018-03-19,26.04,26.21,25.44,25.83,1633603.0,0.0,1.0,26.04,26.21,25.44,25.83,1633603.0
2018-03-16,25.61,26.64,25.61,26.25,2271225.0,0.0,1.0,25.61,26.64,25.61,26.25,2271225.0
2018-03-15,26.6,26.64,25.24,25.56,3827345.0,0.0,1.0,26.6,26.64,25.24,25.56,3827345.0
2018-03-14,26.7,27.08,26.28,26.39,3586009.0,0.0,1.0,26.7,27.08,26.28,26.39,3586009.0
2018-03-13,27.01,27.52,26.4107,26.63,2328074.0,0.0,1.0,27.01,27.52,26.4107,26.63,2328074.0
2018-03-12,27.18,27.765,26.75,27.01,1558326.0,0.0,1.0,27.18,27.765,26.75,27.01,1558326.0
2018-03-09,26.9,27.3568,26.81,27.19,1718697.0,0.0,1.0,26.9,27.3568,26.81,27.19,1718697.0
2018-03-08,27.13,27.42,26.46,26.65,1907105.0,0.0,1.0,27.13,27.42,26.46,26.65,1907105.0
2018-03-07,26.98,27.51,26.63,27.04,1822696.0,0.0,1.0,26.98,27.51,26.63,27.04,1822696.0
2018-03-06,27.68,27.84,26.8775,27.27,1562848.0,0.0,1.0,27.68,27.84,26.8775,27.27,1562848.0
2018-03-05,26.63,27.58,26.63,27.51,3027533.0,0.0,1.0,26.63,27.58,26.63,27.51,3027533.0
2018-03-02,26.52,27.08,25.6,27.01,2887129.0,0.0,1.0,26.52,27.08,25.6,27.01,2887129.0
2018-03-01,25.88,26.95,25.725,26.73,3892857.0,0.0,1.0,25.88,26.95,25.725,26.73,3892857.0
2018-02-28,26.9,27.33,25.86,25.89,3457818.0,0.0,1.0,26.9,27.33,25.86,25.89,3457818.0
2018-02-27,27.43,27.89,26.74,26.75,4297436.0,0.0,1.0,27.43,27.89,26.74,26.75,4297436.0
2018-02-26,26.01,26.77,25.3,26.74,3652906.0,0.0,1.0,26.01,26.77,25.3,26.74,3652906.0
2018-02-23,25.62,26.19,25.18,26.03,4663777.0,0.0,1.0,25.62,26.19,25.18,26.03,4663777.0
2018-02-22,25.07,26.07,24.92,25.15,5024816.0,0.0,1.0,25.07,26.07,24.92,25.15,5024816.0
2018-02-21,27.79,28.0,25.14,25.15,16850660.0,0.0,1.0,27.79,28.0,25.14,25.15,16850660.0
