Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-07-31,23.73,23.76,23.73,23.75,225815.0,0.0,1.0,23.73,23.76,23.73,23.75,225815.0
2017-07-28,23.71,23.73,23.71,23.71,72834.0,0.0,1.0,23.71,23.73,23.71,23.71,72834.0
2017-07-27,23.71,23.73,23.705,23.72,80997.0,0.0,1.0,23.71,23.73,23.705,23.72,80997.0
2017-07-26,23.71,23.73,23.71,23.72,77351.0,0.0,1.0,23.71,23.73,23.71,23.72,77351.0
2017-07-25,23.72,23.73,23.705,23.72,108671.0,0.0,1.0,23.72,23.73,23.705,23.72,108671.0
2017-07-24,23.71,23.73,23.7075,23.72,127163.0,0.0,1.0,23.71,23.73,23.7075,23.72,127163.0
2017-07-21,23.73,23.74,23.71,23.71,106393.0,0.0,1.0,23.73,23.74,23.71,23.71,106393.0
2017-07-20,23.72,23.73,23.71,23.71,125998.0,0.0,1.0,23.72,23.73,23.71,23.71,125998.0
2017-07-19,23.73,23.74,23.71,23.71,105756.0,0.0,1.0,23.73,23.74,23.71,23.71,105756.0
2017-07-18,23.73,23.74,23.71,23.71,196842.0,0.0,1.0,23.73,23.74,23.71,23.71,196842.0
2017-07-17,23.71,23.75,23.71,23.73,174797.0,0.0,1.0,23.71,23.75,23.71,23.73,174797.0
2017-07-14,23.71,23.73,23.7,23.71,235341.0,0.0,1.0,23.71,23.73,23.7,23.71,235341.0
2017-07-13,23.72,23.74,23.71,23.71,125471.0,0.0,1.0,23.72,23.74,23.71,23.71,125471.0
2017-07-12,23.73,23.76,23.71,23.71,178066.0,0.0,1.0,23.73,23.76,23.71,23.71,178066.0
2017-07-11,23.72,23.75,23.71,23.71,171183.0,0.0,1.0,23.72,23.75,23.71,23.71,171183.0
2017-07-10,23.71,23.74,23.71,23.71,176224.0,0.0,1.0,23.71,23.74,23.71,23.71,176224.0
2017-07-07,23.72,23.74,23.71,23.71,96227.0,0.0,1.0,23.72,23.74,23.71,23.71,96227.0
2017-07-06,23.75,23.75,23.71,23.71,183717.0,0.0,1.0,23.75,23.75,23.71,23.71,183717.0
2017-07-05,23.73,23.77,23.69,23.77,179234.0,0.0,1.0,23.73,23.77,23.69,23.77,179234.0
2017-07-03,23.72,23.78,23.71,23.73,167666.0,0.0,1.0,23.72,23.78,23.71,23.73,167666.0
2017-06-30,23.73,23.75,23.66,23.74,195201.0,0.0,1.0,23.73,23.75,23.66,23.74,195201.0
2017-06-29,23.72,23.73,23.71,23.71,197001.0,0.0,1.0,23.72,23.73,23.71,23.71,197001.0
2017-06-28,23.73,23.75,23.71,23.72,292048.0,0.0,1.0,23.73,23.75,23.71,23.72,292048.0
2017-06-27,23.71,23.735,23.71,23.73,353184.0,0.0,1.0,23.71,23.735,23.71,23.73,353184.0
2017-06-26,23.65,23.77,23.63,23.74,657143.0,0.0,1.0,23.65,23.77,23.63,23.74,657143.0
2017-06-23,23.61,23.66,23.6,23.65,504931.0,0.0,1.0,23.61,23.66,23.6,23.65,504931.0
2017-06-22,23.61,23.66,23.6,23.61,394943.0,0.0,1.0,23.61,23.66,23.6,23.61,394943.0
2017-06-21,23.62,23.66,23.57,23.62,214310.0,0.0,1.0,23.62,23.66,23.57,23.62,214310.0
2017-06-20,23.61,23.66,23.58,23.64,250149.0,0.0,1.0,23.61,23.66,23.58,23.64,250149.0
2017-06-19,23.6,23.63,23.57,23.61,287330.0,0.0,1.0,23.6,23.63,23.57,23.61,287330.0
2017-06-16,23.57,23.63,23.56,23.58,288941.0,0.0,1.0,23.57,23.63,23.56,23.58,288941.0
2017-06-15,23.6,23.64,23.54,23.55,443789.0,0.0,1.0,23.6,23.64,23.54,23.55,443789.0
2017-06-14,23.6,23.615,23.59,23.6,383544.0,0.0,1.0,23.6,23.615,23.59,23.6,383544.0
2017-06-13,23.6,23.62,23.56,23.59,201747.0,0.0,1.0,23.6,23.62,23.56,23.59,201747.0
2017-06-12,23.57,23.65,23.57,23.57,309169.0,0.0,1.0,23.57,23.65,23.57,23.57,309169.0
2017-06-09,23.7,23.72,23.53,23.57,389386.0,0.0,1.0,23.7,23.72,23.53,23.57,389386.0
2017-06-08,23.62,23.71,23.62,23.7,264379.0,0.0,1.0,23.62,23.71,23.62,23.7,264379.0
2017-06-07,23.6,23.65,23.58,23.65,179073.0,0.0,1.0,23.6,23.65,23.58,23.65,179073.0
2017-06-06,23.59,23.64,23.58,23.59,272831.0,0.0,1.0,23.59,23.64,23.58,23.59,272831.0
2017-06-05,23.6,23.63,23.58,23.6,324227.0,0.0,1.0,23.6,23.63,23.58,23.6,324227.0
2017-06-02,23.64,23.69,23.59,23.59,346693.0,0.0,1.0,23.64,23.69,23.59,23.59,346693.0
2017-06-01,23.65,23.65,23.56,23.65,610699.0,0.0,1.0,23.65,23.65,23.56,23.65,610699.0
2017-05-31,23.55,23.71,23.53,23.71,812628.0,0.0,1.0,23.55,23.71,23.53,23.71,812628.0
2017-05-30,23.55,23.6,23.53,23.54,619690.0,0.0,1.0,23.55,23.6,23.53,23.54,619690.0
2017-05-26,23.58,23.65,23.515,23.63,312229.0,0.0,1.0,23.58,23.65,23.515,23.63,312229.0
2017-05-25,23.69,23.69,23.57,23.62,219316.0,0.0,1.0,23.69,23.69,23.57,23.62,219316.0
2017-05-24,23.55,23.7,23.52,23.69,393459.0,0.0,1.0,23.55,23.7,23.52,23.69,393459.0
2017-05-23,23.55,23.56,23.51,23.54,352603.0,0.0,1.0,23.55,23.56,23.51,23.54,352603.0
2017-05-22,23.52,23.57,23.43,23.54,494588.0,0.0,1.0,23.52,23.57,23.43,23.54,494588.0
2017-05-19,23.56,23.6,23.51,23.51,587289.0,0.0,1.0,23.56,23.6,23.51,23.51,587289.0
2017-05-18,23.52,23.56,23.51,23.53,727942.0,0.0,1.0,23.52,23.56,23.51,23.53,727942.0
2017-05-17,23.52,23.56,23.51,23.52,522617.0,0.0,1.0,23.52,23.56,23.51,23.52,522617.0
2017-05-16,23.55,23.6,23.51,23.55,275029.0,0.0,1.0,23.55,23.6,23.51,23.55,275029.0
2017-05-15,23.54,23.61,23.505,23.53,498887.0,0.0,1.0,23.54,23.61,23.505,23.53,498887.0
2017-05-12,23.53,23.55,23.5,23.53,709224.0,0.0,1.0,23.53,23.55,23.5,23.53,709224.0
2017-05-11,23.52,23.5751,23.51,23.54,408061.0,0.0,1.0,23.52,23.5751,23.51,23.54,408061.0
2017-05-10,23.53,23.56,23.51,23.52,492210.0,0.0,1.0,23.53,23.56,23.51,23.52,492210.0
2017-05-09,23.56,23.65,23.51,23.52,1436093.0,0.0,1.0,23.56,23.65,23.51,23.52,1436093.0
2017-05-08,23.58,23.61,23.55,23.57,374626.0,0.0,1.0,23.58,23.61,23.55,23.57,374626.0
2017-05-05,23.6,23.6,23.52,23.56,366666.0,0.0,1.0,23.6,23.6,23.52,23.56,366666.0
2017-05-04,23.66,23.7,23.52,23.57,334787.0,0.0,1.0,23.66,23.7,23.52,23.57,334787.0
2017-05-03,23.59,23.62,23.55,23.57,169336.0,0.0,1.0,23.59,23.62,23.55,23.57,169336.0
2017-05-02,23.59,23.63,23.56,23.62,233374.0,0.0,1.0,23.59,23.63,23.56,23.62,233374.0
2017-05-01,23.58,23.62,23.55,23.57,202670.0,0.0,1.0,23.58,23.62,23.55,23.57,202670.0
2017-04-28,23.62,23.66,23.55,23.58,213142.0,0.0,1.0,23.62,23.66,23.55,23.58,213142.0
2017-04-27,23.62,23.66,23.56,23.6,216568.0,0.0,1.0,23.62,23.66,23.56,23.6,216568.0
2017-04-26,23.61,23.69,23.6,23.61,234174.0,0.0,1.0,23.61,23.69,23.6,23.61,234174.0
2017-04-25,23.65,23.65,23.58,23.595,293825.0,0.0,1.0,23.65,23.65,23.58,23.595,293825.0
2017-04-24,23.78,23.78,23.6,23.61,227886.0,0.0,1.0,23.78,23.78,23.6,23.61,227886.0
2017-04-21,23.66,23.705,23.6,23.6,251527.0,0.0,1.0,23.66,23.705,23.6,23.6,251527.0
2017-04-20,23.59,23.74,23.56,23.69,309287.0,0.0,1.0,23.59,23.74,23.56,23.69,309287.0
2017-04-19,23.67,23.74,23.54,23.56,536531.0,0.0,1.0,23.67,23.74,23.54,23.56,536531.0
2017-04-18,23.68,23.76,23.55,23.65,319023.0,0.0,1.0,23.68,23.76,23.55,23.65,319023.0
2017-04-17,23.65,23.85,23.58,23.63,319458.0,0.0,1.0,23.65,23.85,23.58,23.63,319458.0
2017-04-13,23.58,23.74,23.58,23.67,418670.0,0.0,1.0,23.58,23.74,23.58,23.67,418670.0
2017-04-12,23.55,23.64,23.51,23.6,642735.0,0.0,1.0,23.55,23.64,23.51,23.6,642735.0
2017-04-11,23.56,23.62,23.46,23.55,1042718.0,0.0,1.0,23.56,23.62,23.46,23.55,1042718.0
2017-04-10,23.73,24.09,23.6,23.6,2365413.0,0.0,1.0,23.73,24.09,23.6,23.6,2365413.0
2017-04-07,25.5,25.78,25.0,25.3,471240.0,0.0,1.0,25.5,25.78,25.0,25.3,471240.0
2017-04-06,24.99,25.7,24.685,25.58,151048.0,0.0,1.0,24.99,25.7,24.685,25.58,151048.0
2017-04-05,25.57,25.7,24.34,25.0,423743.0,0.0,1.0,25.57,25.7,24.34,25.0,423743.0
2017-04-04,25.05,25.465,24.72,25.44,221566.0,0.0,1.0,25.05,25.465,24.72,25.44,221566.0
2017-04-03,25.02,25.35,24.421,25.07,226811.0,0.0,1.0,25.02,25.35,24.421,25.07,226811.0
