Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,35.65,35.95,35.05,35.75,134757.0,0.0,1.0,35.65,35.95,35.05,35.75,134757.0
2018-03-26,35.65,35.9,34.7,35.5,93853.0,0.0,1.0,35.65,35.9,34.7,35.5,93853.0
2018-03-23,36.5,36.6,35.1,35.15,86397.0,0.0,1.0,36.5,36.6,35.1,35.15,86397.0
2018-03-22,36.8,37.35,36.45,36.45,96166.0,0.0,1.0,36.8,37.35,36.45,36.45,96166.0
2018-03-21,37.05,37.5,36.75,37.2,60982.0,0.0,1.0,37.05,37.5,36.75,37.2,60982.0
2018-03-20,37.2,37.6,36.9,37.0,54483.0,0.0,1.0,37.2,37.6,36.9,37.0,54483.0
2018-03-19,37.35,37.6,37.0,37.2,78294.0,0.0,1.0,37.35,37.6,37.0,37.2,78294.0
2018-03-16,36.95,37.65,36.85,37.5,121711.0,0.0,1.0,36.95,37.65,36.85,37.5,121711.0
2018-03-15,37.45,37.45,36.8,36.9,32645.0,0.0,1.0,37.45,37.45,36.8,36.9,32645.0
2018-03-14,37.95,37.95,37.225,37.45,85199.0,0.0,1.0,37.95,37.95,37.225,37.45,85199.0
2018-03-13,37.65,38.0,37.3,37.75,84899.0,0.0,1.0,37.65,38.0,37.3,37.75,84899.0
2018-03-12,37.15,37.65,37.05,37.65,114550.0,0.0,1.0,37.15,37.65,37.05,37.65,114550.0
2018-03-09,36.85,37.1,36.475,37.0,89870.0,0.0,1.0,36.85,37.1,36.475,37.0,89870.0
2018-03-08,37.2,37.25,36.4,36.55,64272.0,0.0,1.0,37.2,37.25,36.4,36.55,64272.0
2018-03-07,36.35,37.15,36.25,37.05,122661.0,0.0,1.0,36.35,37.15,36.25,37.05,122661.0
2018-03-06,36.2,36.85,35.975,36.55,100622.0,0.0,1.0,36.2,36.85,35.975,36.55,100622.0
2018-03-05,36.6,36.875,36.05,36.15,128950.0,0.0,1.0,36.6,36.875,36.05,36.15,128950.0
2018-03-02,35.35,36.9,35.15,36.8,121191.0,0.0,1.0,35.35,36.9,35.15,36.8,121191.0
2018-03-01,36.0,36.5,35.55,35.6,123137.0,0.0,1.0,36.0,36.5,35.55,35.6,123137.0
2018-02-28,36.1,36.65,35.85,36.0,179442.0,0.0,1.0,36.1,36.65,35.85,36.0,179442.0
2018-02-27,36.2,36.4,35.4,36.0,144939.0,0.0,1.0,36.2,36.4,35.4,36.0,144939.0
2018-02-26,36.15,36.35,35.45,36.25,127873.0,0.0,1.0,36.15,36.35,35.45,36.25,127873.0
2018-02-23,35.3,36.4,33.95,36.0,125553.0,0.0,1.0,35.3,36.4,33.95,36.0,125553.0
2018-02-22,36.05,36.05,32.15,35.05,189350.0,0.0,1.0,36.05,36.05,32.15,35.05,189350.0
2018-02-21,35.9,36.65,35.75,35.8,94185.0,0.0,1.0,35.9,36.65,35.75,35.8,94185.0
2018-02-20,37.0,37.45,35.8,35.8,107583.0,0.0,1.0,37.0,37.45,35.8,35.8,107583.0
2018-02-16,36.45,37.6,36.45,37.25,93159.0,0.0,1.0,36.45,37.6,36.45,37.25,93159.0
2018-02-15,37.6,37.6,36.3,36.5,109069.0,0.0,1.0,37.6,37.6,36.3,36.5,109069.0
2018-02-14,36.45,37.45,36.45,37.35,90307.0,0.0,1.0,36.45,37.45,36.45,37.35,90307.0
2018-02-13,36.05,36.75,35.8,36.55,84128.0,0.0,1.0,36.05,36.75,35.8,36.55,84128.0
2018-02-12,36.55,38.7,35.65,36.35,109928.0,0.0,1.0,36.55,38.7,35.65,36.35,109928.0
2018-02-09,35.85,36.55,34.75,36.4,144814.0,0.0,1.0,35.85,36.55,34.75,36.4,144814.0
