Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,39.18,39.29,38.51,38.82,168758.0,0.0,1.0,39.18,39.29,38.51,38.82,168758.0
2018-03-26,38.74,39.18,38.275,39.16,124058.0,0.0,1.0,38.74,39.18,38.275,39.16,124058.0
2018-03-23,39.23,39.355,38.28,38.29,198333.0,0.0,1.0,39.23,39.355,38.28,38.29,198333.0
2018-03-22,39.12,40.245,39.02,39.07,179681.0,0.0,1.0,39.12,40.245,39.02,39.07,179681.0
2018-03-21,39.33,40.11,39.05,39.28,158169.0,0.0,1.0,39.33,40.11,39.05,39.28,158169.0
2018-03-20,39.53,39.88,39.05,39.26,159242.0,0.0,1.0,39.53,39.88,39.05,39.26,159242.0
2018-03-19,39.0,39.49,38.53,39.42,160996.0,0.0,1.0,39.0,39.49,38.53,39.42,160996.0
2018-03-16,39.32,39.62,38.75,39.06,555880.0,0.0,1.0,39.32,39.62,38.75,39.06,555880.0
2018-03-15,39.37,39.965,38.94,39.31,305926.0,0.0,1.0,39.37,39.965,38.94,39.31,305926.0
2018-03-14,40.08,40.56,39.275,39.39,148196.0,0.0,1.0,40.08,40.56,39.275,39.39,148196.0
2018-03-13,40.32,41.145,39.8,39.93,119527.0,0.0,1.0,40.32,41.145,39.8,39.93,119527.0
2018-03-12,40.3,41.22,40.08,40.17,132240.0,0.0,1.0,40.3,41.22,40.08,40.17,132240.0
2018-03-09,39.6,40.23,39.05,40.17,111642.0,0.0,1.0,39.6,40.23,39.05,40.17,111642.0
2018-03-08,39.68,39.95,39.18,39.41,124885.0,0.0,1.0,39.68,39.95,39.18,39.41,124885.0
2018-03-07,38.99,39.66,38.69,39.49,141846.0,0.0,1.0,38.99,39.66,38.69,39.49,141846.0
2018-03-06,38.94,39.44,38.73,39.31,144691.0,0.0,1.0,38.94,39.44,38.73,39.31,144691.0
2018-03-05,38.99,39.5,38.73,38.84,126583.0,0.0,1.0,38.99,39.5,38.73,38.84,126583.0
2018-03-02,38.55,39.12,38.37,39.04,144669.0,0.0,1.0,38.55,39.12,38.37,39.04,144669.0
2018-03-01,38.85,39.17,38.37,38.67,181918.0,0.0,1.0,38.85,39.17,38.37,38.67,181918.0
2018-02-28,40.15,40.47,39.2,39.21,278940.0,0.0,1.0,40.15,40.47,39.2,39.21,278940.0
2018-02-27,40.19,40.7,40.03,40.07,140706.0,0.0,1.0,40.19,40.7,40.03,40.07,140706.0
2018-02-26,40.09,40.53,39.51,40.12,144859.0,0.0,1.0,40.09,40.53,39.51,40.12,144859.0
2018-02-23,40.35,40.35,39.5788,39.9,199072.0,0.0,1.0,40.35,40.35,39.5788,39.9,199072.0
2018-02-22,40.99,41.0599,39.06,40.11,359144.0,0.0,1.0,40.99,41.0599,39.06,40.11,359144.0
2018-02-21,41.2,42.17,41.2,41.46,116250.0,0.0,1.0,41.2,42.17,41.2,41.46,116250.0
2018-02-20,42.05,42.15,40.91,41.1,136592.0,0.0,1.0,42.05,42.15,40.91,41.1,136592.0
2018-02-16,41.86,42.56,41.86,42.21,110535.0,0.0,1.0,41.86,42.56,41.86,42.21,110535.0
2018-02-15,42.5,42.7025,41.51,41.89,95690.0,0.0,1.0,42.5,42.7025,41.51,41.89,95690.0
2018-02-14,41.38,42.25,41.34,42.18,104008.0,0.0,1.0,41.38,42.25,41.34,42.18,104008.0
2018-02-13,40.89,41.73,40.89,41.58,86712.0,0.0,1.0,40.89,41.73,40.89,41.58,86712.0
2018-02-12,40.94,41.773,40.72,41.0,163953.0,0.0,1.0,40.94,41.773,40.72,41.0,163953.0
2018-02-09,40.99,41.21,39.91,40.87,209983.0,0.0,1.0,40.99,41.21,39.91,40.87,209983.0
2018-02-08,41.85,41.93,40.45,40.47,153909.0,0.0,1.0,41.85,41.93,40.45,40.47,153909.0
2018-02-07,41.86,42.47,41.51,41.87,116802.0,0.0,1.0,41.86,42.47,41.51,41.87,116802.0
2018-02-06,41.33,42.15,41.011,41.89,237914.0,0.0,1.0,41.33,42.15,41.011,41.89,237914.0
2018-02-05,43.42,43.94,41.97,42.02,153669.0,0.0,1.0,43.42,43.94,41.97,42.02,153669.0
2018-02-02,43.89,44.24,43.52,43.62,127200.0,0.0,1.0,43.89,44.24,43.52,43.62,127200.0
2018-02-01,45.19,45.19,44.02,44.08,129913.0,0.0,1.0,45.19,45.19,44.02,44.08,129913.0
2018-01-31,46.16,46.55,44.94,45.28,137570.0,0.0,1.0,46.16,46.55,44.94,45.28,137570.0
2018-01-30,46.14,46.65,45.62,45.94,128087.0,0.0,1.0,46.14,46.65,45.62,45.94,128087.0
2018-01-29,46.9,47.14,46.28,46.34,116714.0,0.0,1.0,46.9,47.14,46.28,46.34,116714.0
2018-01-26,46.66,47.05,46.35,46.79,145020.0,0.0,1.0,46.66,47.05,46.35,46.79,145020.0
2018-01-25,46.08,46.6,45.25,46.56,265923.0,0.0,1.0,46.08,46.6,45.25,46.56,265923.0
2018-01-24,46.71,47.54,45.93,45.97,125050.0,0.0,1.0,46.71,47.54,45.93,45.97,125050.0
2018-01-23,46.03,46.61,46.02,46.47,98653.0,0.0,1.0,46.03,46.61,46.02,46.47,98653.0
2018-01-22,46.81,46.98,45.76,46.09,128029.0,0.0,1.0,46.81,46.98,45.76,46.09,128029.0
2018-01-19,46.17,47.04,46.17,46.77,150102.0,0.0,1.0,46.17,47.04,46.17,46.77,150102.0
2018-01-18,46.4,46.43,45.85,45.88,108632.0,0.0,1.0,46.4,46.43,45.85,45.88,108632.0
2018-01-17,46.94,46.94,46.11,46.4,107745.0,0.0,1.0,46.94,46.94,46.11,46.4,107745.0
2018-01-16,47.59,47.79,46.45,46.52,93445.0,0.0,1.0,47.59,47.79,46.45,46.52,93445.0
2018-01-12,47.88,48.06,46.86,47.26,136010.0,0.0,1.0,47.88,48.06,46.86,47.26,136010.0
2018-01-11,46.95,47.92,46.74,47.86,254120.0,0.0,1.0,46.95,47.92,46.74,47.86,254120.0
