Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,11.01,11.04,10.58,10.61,503759.0,0.0,1.0,11.01,11.04,10.58,10.61,503759.0
2018-03-26,10.92,10.99,10.81,10.94,559887.0,0.0,1.0,10.92,10.99,10.81,10.94,559887.0
2018-03-23,11.0,11.1,10.71,10.71,397231.0,0.0,1.0,11.0,11.1,10.71,10.71,397231.0
2018-03-22,11.27,11.37,10.98,10.98,364481.0,0.0,1.0,11.27,11.37,10.98,10.98,364481.0
2018-03-21,11.26,11.51,11.18,11.43,307333.0,0.0,1.0,11.26,11.51,11.18,11.43,307333.0
2018-03-20,11.37,11.4448,11.2,11.23,536850.0,0.0,1.0,11.37,11.4448,11.2,11.23,536850.0
2018-03-19,11.55,11.57,11.09,11.34,496408.0,0.0,1.0,11.55,11.57,11.09,11.34,496408.0
2018-03-16,11.58,11.79,11.39,11.63,1818087.0,0.0,1.0,11.58,11.79,11.39,11.63,1818087.0
2018-03-15,11.59,11.72,11.46,11.59,302280.0,0.0,1.0,11.59,11.72,11.46,11.59,302280.0
2018-03-14,11.88,11.925,11.58,11.59,330635.0,0.0,1.0,11.88,11.925,11.58,11.59,330635.0
2018-03-13,11.84,12.1,11.755,11.79,372349.0,0.0,1.0,11.84,12.1,11.755,11.79,372349.0
2018-03-12,11.98,12.06,11.62,11.71,614546.0,0.0,1.0,11.98,12.06,11.62,11.71,614546.0
2018-03-09,12.04,12.08,11.84,11.98,430525.0,0.0,1.0,12.04,12.08,11.84,11.98,430525.0
2018-03-08,12.02,12.16,11.66,11.92,559931.0,0.0,1.0,12.02,12.16,11.66,11.92,559931.0
2018-03-07,11.67,12.11,11.67,12.02,842087.0,0.0,1.0,11.67,12.11,11.67,12.02,842087.0
2018-03-06,11.17,11.77,11.045,11.75,888355.0,0.0,1.0,11.17,11.77,11.045,11.75,888355.0
2018-03-05,10.83,10.99,10.73,10.95,758370.0,0.0,1.0,10.83,10.99,10.73,10.95,758370.0
2018-03-02,10.64,11.0,10.49,10.94,789583.0,0.0,1.0,10.64,11.0,10.49,10.94,789583.0
2018-03-01,10.74,11.01,10.67,10.79,824944.0,0.0,1.0,10.74,11.01,10.67,10.79,824944.0
2018-02-28,10.83,10.955,10.68,10.68,596753.0,0.0,1.0,10.83,10.955,10.68,10.68,596753.0
2018-02-27,10.89,10.97,10.81,10.84,302940.0,0.0,1.0,10.89,10.97,10.81,10.84,302940.0
2018-02-26,10.67,11.05,10.65,10.97,535477.0,0.0,1.0,10.67,11.05,10.65,10.97,535477.0
2018-02-23,10.72,10.83,10.46,10.55,360205.0,0.0,1.0,10.72,10.83,10.46,10.55,360205.0
2018-02-22,10.79,10.96,10.67,10.7,455992.0,0.0,1.0,10.79,10.96,10.67,10.7,455992.0
2018-02-21,10.71,10.91,10.67,10.68,380506.0,0.0,1.0,10.71,10.91,10.67,10.68,380506.0
2018-02-20,10.68,10.95,10.67,10.68,723379.0,0.0,1.0,10.68,10.95,10.67,10.68,723379.0
2018-02-16,10.53,10.89,10.46,10.8,746944.0,0.0,1.0,10.53,10.89,10.46,10.8,746944.0
2018-02-15,10.55,10.66,10.37,10.61,497116.0,0.0,1.0,10.55,10.66,10.37,10.61,497116.0
2018-02-14,9.86,10.5,9.69,10.49,500282.0,0.0,1.0,9.86,10.5,9.69,10.49,500282.0
2018-02-13,9.98,10.32,9.98,10.08,554943.0,0.0,1.0,9.98,10.32,9.98,10.08,554943.0
2018-02-12,9.94,10.16,9.86,10.06,584235.0,0.0,1.0,9.94,10.16,9.86,10.06,584235.0
2018-02-09,9.54,9.89,9.38,9.84,1017143.0,0.0,1.0,9.54,9.89,9.38,9.84,1017143.0
2018-02-08,10.0,10.09,9.43,9.43,876853.0,0.0,1.0,10.0,10.09,9.43,9.43,876853.0
2018-02-07,9.96,10.07,9.8,10.02,857022.0,0.0,1.0,9.96,10.07,9.8,10.02,857022.0
2018-02-06,9.51,10.085,9.46,10.0,1185004.0,0.0,1.0,9.51,10.085,9.46,10.0,1185004.0
2018-02-05,9.68,9.97,9.45,9.6,1269740.0,0.0,1.0,9.68,9.97,9.45,9.6,1269740.0
2018-02-02,10.24,10.28,9.53,9.75,1426236.0,0.0,1.0,10.24,10.28,9.53,9.75,1426236.0
2018-02-01,11.1,11.11,10.32,10.37,1938909.0,0.0,1.0,11.1,11.11,10.32,10.37,1938909.0
2018-01-31,11.83,11.9,10.9,11.1,2058252.0,0.0,1.0,11.83,11.9,10.9,11.1,2058252.0
2018-01-30,12.15,12.28,11.79,11.92,748409.0,0.0,1.0,12.15,12.28,11.79,11.92,748409.0
2018-01-29,12.57,12.61,12.21,12.22,761404.0,0.0,1.0,12.57,12.61,12.21,12.22,761404.0
2018-01-26,12.54,12.81,12.42,12.63,356144.0,0.0,1.0,12.54,12.81,12.42,12.63,356144.0
2018-01-25,12.64,12.7,12.33,12.51,379001.0,0.0,1.0,12.64,12.7,12.33,12.51,379001.0
2018-01-24,12.72,12.7334,12.47,12.47,416775.0,0.0,1.0,12.72,12.7334,12.47,12.47,416775.0
2018-01-23,12.67,12.85,12.48,12.68,418291.0,0.0,1.0,12.67,12.85,12.48,12.68,418291.0
2018-01-22,12.36,12.62,12.2,12.62,558490.0,0.0,1.0,12.36,12.62,12.2,12.62,558490.0
2018-01-19,12.41,12.56,12.35,12.36,1028830.0,0.0,1.0,12.41,12.56,12.35,12.36,1028830.0
2018-01-18,12.54,12.64,12.42,12.47,760399.0,0.0,1.0,12.54,12.64,12.42,12.47,760399.0
2018-01-17,12.57,12.67,12.37,12.5,721821.0,0.0,1.0,12.57,12.67,12.37,12.5,721821.0
2018-01-16,13.05,13.13,12.45,12.51,507055.0,0.0,1.0,13.05,13.13,12.45,12.51,507055.0
2018-01-12,13.37,13.37,13.02,13.05,557372.0,0.0,1.0,13.37,13.37,13.02,13.05,557372.0
2018-01-11,12.23,13.43,12.134,13.35,683364.0,0.0,1.0,12.23,13.43,12.134,13.35,683364.0
2018-01-10,12.14,12.25,12.07,12.1,1354520.0,0.0,1.0,12.14,12.25,12.07,12.1,1354520.0
2018-01-09,12.08,12.23,12.01,12.15,886712.0,0.0,1.0,12.08,12.23,12.01,12.15,886712.0
2018-01-08,12.06,12.18,11.981,12.13,936644.0,0.0,1.0,12.06,12.18,11.981,12.13,936644.0
2018-01-05,12.09,12.19,11.93,12.06,493600.0,0.0,1.0,12.09,12.19,11.93,12.06,493600.0
2018-01-04,12.19,12.26,12.01,12.09,480281.0,0.0,1.0,12.19,12.26,12.01,12.09,480281.0
2018-01-03,12.2,12.43,12.04,12.13,928180.0,0.0,1.0,12.2,12.43,12.04,12.13,928180.0
2018-01-02,12.13,12.31,11.98,12.14,769819.0,0.0,1.0,12.13,12.31,11.98,12.14,769819.0
2017-12-29,12.18,12.22,11.87,11.99,508814.0,0.0,1.0,12.18,12.22,11.87,11.99,508814.0
2017-12-28,12.15,12.21,12.03,12.11,458605.0,0.0,1.0,12.15,12.21,12.03,12.11,458605.0
2017-12-27,12.52,12.57,12.11,12.15,418991.0,0.0,1.0,12.52,12.57,12.11,12.15,418991.0
2017-12-26,12.21,12.5,12.19,12.47,959966.0,0.0,1.0,12.21,12.5,12.19,12.47,959966.0
2017-12-22,11.51,12.25,11.35,12.17,813151.0,0.0,1.0,11.51,12.25,11.35,12.17,813151.0
2017-12-21,11.42,11.54,11.33,11.42,1194431.0,0.0,1.0,11.42,11.54,11.33,11.42,1194431.0
2017-12-20,11.4,11.55,11.335,11.36,852805.0,0.0,1.0,11.4,11.55,11.335,11.36,852805.0
2017-12-19,11.52,11.52,11.32,11.35,544300.0,0.0,1.0,11.52,11.52,11.32,11.35,544300.0
2017-12-18,11.325,11.63,11.24,11.4,1153087.0,0.0,1.0,11.325,11.63,11.24,11.4,1153087.0
2017-12-15,11.08,11.32,10.99,11.21,1351673.0,0.0,1.0,11.08,11.32,10.99,11.21,1351673.0
2017-12-14,11.33,11.46,11.01,11.07,387306.0,0.0,1.0,11.33,11.46,11.01,11.07,387306.0
2017-12-13,11.2,11.37,11.17,11.35,362796.0,0.0,1.0,11.2,11.37,11.17,11.35,362796.0
2017-12-12,11.17,11.2865,11.15,11.22,209268.0,0.0,1.0,11.17,11.2865,11.15,11.22,209268.0
2017-12-11,11.17,11.29,11.06,11.2,419971.0,0.0,1.0,11.17,11.29,11.06,11.2,419971.0
2017-12-08,11.13,11.41,11.0001,11.1,344302.0,0.0,1.0,11.13,11.41,11.0001,11.1,344302.0
2017-12-07,10.85,11.08,10.76,11.03,409549.0,0.0,1.0,10.85,11.08,10.76,11.03,409549.0
2017-12-06,10.95,11.08,10.79,10.8,320991.0,0.0,1.0,10.95,11.08,10.79,10.8,320991.0
2017-12-05,11.34,11.34,10.7829,10.96,369186.0,0.0,1.0,11.34,11.34,10.7829,10.96,369186.0
2017-12-04,11.41,11.47,11.29,11.37,607415.0,0.0,1.0,11.41,11.47,11.29,11.37,607415.0
2017-12-01,11.4,11.47,11.25,11.39,551937.0,0.0,1.0,11.4,11.47,11.25,11.39,551937.0
2017-11-30,11.41,11.42,11.26,11.39,607034.0,0.0,1.0,11.41,11.42,11.26,11.39,607034.0
2017-11-29,11.25,11.43,11.2329,11.39,348475.0,0.0,1.0,11.25,11.43,11.2329,11.39,348475.0
2017-11-28,11.12,11.26,11.02,11.25,400289.0,0.0,1.0,11.12,11.26,11.02,11.25,400289.0
2017-11-27,11.4,11.4,10.93,11.05,721862.0,0.0,1.0,11.4,11.4,10.93,11.05,721862.0
2017-11-24,11.37,11.49,11.27,11.4,210065.0,0.0,1.0,11.37,11.49,11.27,11.4,210065.0
2017-11-22,11.26,11.355,11.175,11.26,523531.0,0.0,1.0,11.26,11.355,11.175,11.26,523531.0
2017-11-21,11.09,11.37,11.0431,11.18,506076.0,0.0,1.0,11.09,11.37,11.0431,11.18,506076.0
