Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,11.15,11.35,10.955,11.2,237047.0,0.0,1.0,11.15,11.35,10.955,11.2,237047.0
2018-03-26,11.25,11.4,11.1,11.15,183919.0,0.0,1.0,11.25,11.4,11.1,11.15,183919.0
2018-03-23,11.45,11.55,11.1,11.1,279053.0,0.0,1.0,11.45,11.55,11.1,11.1,279053.0
2018-03-22,11.5,11.8,11.11,11.45,262963.0,0.0,1.0,11.5,11.8,11.11,11.45,262963.0
2018-03-21,11.95,12.15,11.45,11.55,352778.0,0.0,1.0,11.95,12.15,11.45,11.55,352778.0
2018-03-20,12.05,12.15,11.65,11.9,298453.0,0.0,1.0,12.05,12.15,11.65,11.9,298453.0
2018-03-19,12.1,12.15,11.9,12.05,192363.0,0.0,1.0,12.1,12.15,11.9,12.05,192363.0
2018-03-16,11.95,12.3,11.9,12.15,452207.0,0.0,1.0,11.95,12.3,11.9,12.15,452207.0
2018-03-15,12.0,12.1,11.875,11.95,476138.0,0.0,1.0,12.0,12.1,11.875,11.95,476138.0
2018-03-14,12.25,12.4,11.9,11.95,323202.0,0.0,1.0,12.25,12.4,11.9,11.95,323202.0
2018-03-13,12.5,12.75,12.2,12.2,267852.0,0.0,1.0,12.5,12.75,12.2,12.2,267852.0
2018-03-12,12.65,12.75,12.45,12.5,274455.0,0.0,1.0,12.65,12.75,12.45,12.5,274455.0
2018-03-09,12.75,12.85,12.5,12.6,278846.0,0.0,1.0,12.75,12.85,12.5,12.6,278846.0
2018-03-08,12.7,12.85,12.6228,12.7,154501.0,0.0,1.0,12.7,12.85,12.6228,12.7,154501.0
2018-03-07,12.7,12.9,12.575,12.7,173869.0,0.0,1.0,12.7,12.9,12.575,12.7,173869.0
2018-03-06,12.95,13.15,12.5,12.7,213231.0,0.0,1.0,12.95,13.15,12.5,12.7,213231.0
2018-03-05,12.55,13.0,12.5,12.9,214020.0,0.0,1.0,12.55,13.0,12.5,12.9,214020.0
2018-03-02,12.7,12.7,12.45,12.55,203265.0,0.0,1.0,12.7,12.7,12.45,12.55,203265.0
2018-03-01,12.75,12.925,12.4662,12.7,236997.0,0.0,1.0,12.75,12.925,12.4662,12.7,236997.0
2018-02-28,13.3,13.325,12.05,12.85,1046724.0,0.0,1.0,13.3,13.325,12.05,12.85,1046724.0
2018-02-27,12.9,12.95,12.6,12.8,231992.0,0.0,1.0,12.9,12.95,12.6,12.8,231992.0
2018-02-26,12.9,12.95,12.7,12.9,110030.0,0.0,1.0,12.9,12.95,12.7,12.9,110030.0
2018-02-23,12.9,13.0,12.7,12.9,192136.0,0.0,1.0,12.9,13.0,12.7,12.9,192136.0
