Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,14.16,14.24,13.94,13.99,328388.0,0.0,1.0,14.16,14.24,13.94,13.99,328388.0
2018-03-26,14.05,14.16,13.99,14.14,370704.0,0.0,1.0,14.05,14.16,13.99,14.14,370704.0
2018-03-23,14.16,14.23,13.83,13.88,303353.0,0.0,1.0,14.16,14.23,13.83,13.88,303353.0
2018-03-22,13.75,14.24,13.75,14.14,287380.0,0.0,1.0,13.75,14.24,13.75,14.14,287380.0
2018-03-21,13.75,13.86,13.74,13.81,181567.0,0.0,1.0,13.75,13.86,13.74,13.81,181567.0
2018-03-20,13.83,13.9,13.72,13.75,226828.0,0.0,1.0,13.83,13.9,13.72,13.75,226828.0
2018-03-19,13.86,13.99,13.73,13.83,218538.0,0.0,1.0,13.86,13.99,13.73,13.83,218538.0
2018-03-16,13.85,14.03,13.85,13.88,297908.0,0.0,1.0,13.85,14.03,13.85,13.88,297908.0
2018-03-15,13.88,14.01,13.75,13.82,330610.0,0.0,1.0,13.88,14.01,13.75,13.82,330610.0
2018-03-14,14.29,14.35,14.181,14.23,327197.0,0.0,1.0,14.29,14.35,14.181,14.23,327197.0
2018-03-13,14.4,14.4,14.24,14.3,324366.0,0.0,1.0,14.4,14.4,14.24,14.3,324366.0
2018-03-12,14.37,14.42,14.29,14.35,267745.0,0.0,1.0,14.37,14.42,14.29,14.35,267745.0
2018-03-09,14.38,14.4432,14.31,14.36,224659.0,0.0,1.0,14.38,14.4432,14.31,14.36,224659.0
2018-03-08,14.46,14.46,14.32,14.37,223519.0,0.0,1.0,14.46,14.46,14.32,14.37,223519.0
2018-03-07,14.45,14.519,14.28,14.44,206570.0,0.0,1.0,14.45,14.519,14.28,14.44,206570.0
2018-03-06,14.5,14.67,14.4,14.52,183495.0,0.0,1.0,14.5,14.67,14.4,14.52,183495.0
2018-03-05,14.32,14.5,14.29,14.48,215424.0,0.0,1.0,14.32,14.5,14.29,14.48,215424.0
2018-03-02,14.24,14.33,14.2,14.32,223762.0,0.0,1.0,14.24,14.33,14.2,14.32,223762.0
2018-03-01,14.27,14.43,14.21,14.28,220995.0,0.0,1.0,14.27,14.43,14.21,14.28,220995.0
2018-02-28,14.61,14.72,14.235,14.26,580009.0,0.0,1.0,14.61,14.72,14.235,14.26,580009.0
