Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,7.84,7.84,7.745,7.75,179257.0,0.0,1.0,7.84,7.84,7.745,7.75,179257.0
2018-03-26,7.8,7.845,7.79,7.82,128739.0,0.0,1.0,7.8,7.845,7.79,7.82,128739.0
2018-03-23,7.92,7.94,7.79,7.805,177127.0,0.0,1.0,7.92,7.94,7.79,7.805,177127.0
2018-03-22,7.84,7.985,7.82,7.92,148316.0,0.0,1.0,7.84,7.985,7.82,7.92,148316.0
2018-03-21,7.87,8.0,7.85,7.91,122416.0,0.0,1.0,7.87,8.0,7.85,7.91,122416.0
2018-03-20,7.9,7.93,7.87,7.87,123146.0,0.0,1.0,7.9,7.93,7.87,7.87,123146.0
2018-03-19,7.91,7.995,7.8,7.9,191705.0,0.0,1.0,7.91,7.995,7.8,7.9,191705.0
2018-03-16,8.14,8.21,8.08,8.14,305693.0,0.0,1.0,8.14,8.21,8.08,8.14,305693.0
2018-03-15,8.13,8.19,8.08,8.14,216870.0,0.0,1.0,8.13,8.19,8.08,8.14,216870.0
2018-03-14,8.2,8.23,8.085,8.1,255320.0,0.0,1.0,8.2,8.23,8.085,8.1,255320.0
2018-03-13,8.25,8.34,8.09,8.2,503594.0,0.0,1.0,8.25,8.34,8.09,8.2,503594.0
2018-03-12,8.27,8.3,8.18,8.25,267988.0,0.0,1.0,8.27,8.3,8.18,8.25,267988.0
2018-03-09,8.3,8.34,8.24,8.3,257359.0,0.0,1.0,8.3,8.34,8.24,8.3,257359.0
2018-03-08,8.05,8.31,8.05,8.285,252804.0,0.0,1.0,8.05,8.31,8.05,8.285,252804.0
2018-03-07,8.34,8.375,8.01,8.24,380841.0,0.0,1.0,8.34,8.375,8.01,8.24,380841.0
2018-03-06,8.47,8.5101,8.36,8.51,103917.0,0.0,1.0,8.47,8.5101,8.36,8.51,103917.0
2018-03-05,8.33,8.49,8.33,8.46,99264.0,0.0,1.0,8.33,8.49,8.33,8.46,99264.0
2018-03-02,8.29,8.35,8.24,8.33,61578.0,0.0,1.0,8.29,8.35,8.24,8.33,61578.0
2018-03-01,8.31,8.46,8.22,8.34,96693.0,0.0,1.0,8.31,8.46,8.22,8.34,96693.0
2018-02-28,8.41,8.49,8.3,8.3,114974.0,0.0,1.0,8.41,8.49,8.3,8.3,114974.0
2018-02-27,8.47,8.5799,8.39,8.4,50793.0,0.0,1.0,8.47,8.5799,8.39,8.4,50793.0
2018-02-26,8.43,8.53,8.4,8.47,156212.0,0.0,1.0,8.43,8.53,8.4,8.47,156212.0
2018-02-23,8.42,8.443,8.39,8.4,34619.0,0.0,1.0,8.42,8.443,8.39,8.4,34619.0
2018-02-22,8.4,8.4603,8.39,8.4,38728.0,0.0,1.0,8.4,8.4603,8.39,8.4,38728.0
2018-02-21,8.39,8.464,8.39,8.39,58026.0,0.0,1.0,8.39,8.464,8.39,8.39,58026.0
2018-02-20,8.41,8.475,8.36,8.4,66080.0,0.0,1.0,8.41,8.475,8.36,8.4,66080.0
2018-02-16,8.4,8.47,8.39,8.43,61224.0,0.0,1.0,8.4,8.47,8.39,8.43,61224.0
2018-02-15,8.48,8.49,8.4,8.42,83665.0,0.0,1.0,8.48,8.49,8.4,8.42,83665.0
2018-02-14,8.45,8.54,8.43,8.45,120888.0,0.0,1.0,8.45,8.54,8.43,8.45,120888.0
2018-02-13,8.57,8.57,8.45,8.49,128026.0,0.0,1.0,8.57,8.57,8.45,8.49,128026.0
2018-02-12,8.61,8.669,8.4795,8.58,69304.0,0.0,1.0,8.61,8.669,8.4795,8.58,69304.0
2018-02-09,8.66,8.73,8.43,8.55,325839.0,0.0,1.0,8.66,8.73,8.43,8.55,325839.0
2018-02-08,8.72,8.79,8.58,8.58,165830.0,0.0,1.0,8.72,8.79,8.58,8.58,165830.0
2018-02-07,8.66,8.74,8.6,8.72,112081.0,0.0,1.0,8.66,8.74,8.6,8.72,112081.0
2018-02-06,8.19,8.74,8.16,8.69,289355.0,0.0,1.0,8.19,8.74,8.16,8.69,289355.0
2018-02-05,8.42,8.45,8.16,8.3,415963.0,0.0,1.0,8.42,8.45,8.16,8.3,415963.0
2018-02-02,8.62,8.6445,8.46,8.48,249979.0,0.0,1.0,8.62,8.6445,8.46,8.48,249979.0
2018-02-01,8.62,8.68,8.61,8.65,68885.0,0.0,1.0,8.62,8.68,8.61,8.65,68885.0
2018-01-31,8.77,8.78,8.61,8.64,124775.0,0.0,1.0,8.77,8.78,8.61,8.64,124775.0
2018-01-30,8.85,8.89,8.68,8.74,137232.0,0.0,1.0,8.85,8.89,8.68,8.74,137232.0
2018-01-29,8.96,8.96,8.85,8.86,113244.0,0.0,1.0,8.96,8.96,8.85,8.86,113244.0
2018-01-26,8.95,8.99,8.94,8.95,115262.0,0.0,1.0,8.95,8.99,8.94,8.95,115262.0
2018-01-25,8.95,9.0,8.95,8.96,71718.0,0.0,1.0,8.95,9.0,8.95,8.96,71718.0
2018-01-24,8.98,9.02,8.9499,8.97,121650.0,0.0,1.0,8.98,9.02,8.9499,8.97,121650.0
2018-01-23,9.04,9.105,8.99,9.02,111035.0,0.0,1.0,9.04,9.105,8.99,9.02,111035.0
2018-01-22,9.05,9.1,9.04,9.05,58718.0,0.0,1.0,9.05,9.1,9.04,9.05,58718.0
2018-01-19,9.09,9.1107,9.05,9.06,81247.0,0.0,1.0,9.09,9.1107,9.05,9.06,81247.0
2018-01-18,9.14,9.14,9.06,9.1,90231.0,0.0,1.0,9.14,9.14,9.06,9.1,90231.0
2018-01-17,9.12,9.17,9.08,9.14,82306.0,0.0,1.0,9.12,9.17,9.08,9.14,82306.0
2018-01-16,9.17,9.19,9.1,9.16,110961.0,0.0,1.0,9.17,9.19,9.1,9.16,110961.0
