Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,37.13,37.67,36.33,36.9,1533194.0,0.0,1.0,37.13,37.67,36.33,36.9,1533194.0
2018-03-26,36.61,37.1,35.91,37.0,1316116.0,0.0,1.0,36.61,37.1,35.91,37.0,1316116.0
2018-03-23,37.0,37.12,35.77,35.85,1688901.0,0.0,1.0,37.0,37.12,35.77,35.85,1688901.0
2018-03-22,38.34,38.49,36.77,36.83,1571625.0,0.0,1.0,38.34,38.49,36.77,36.83,1571625.0
2018-03-21,38.75,39.335,38.2,39.02,1837636.0,0.0,1.0,38.75,39.335,38.2,39.02,1837636.0
2018-03-20,38.8,39.48,38.68,38.83,1117279.0,0.0,1.0,38.8,39.48,38.68,38.83,1117279.0
2018-03-19,38.24,38.86,38.13,38.68,1321184.0,0.0,1.0,38.24,38.86,38.13,38.68,1321184.0
2018-03-16,38.79,39.68,38.5116,38.83,2211939.0,0.0,1.0,38.79,39.68,38.5116,38.83,2211939.0
2018-03-15,39.22,39.55,38.76,38.81,842707.0,0.0,1.0,39.22,39.55,38.76,38.81,842707.0
2018-03-14,39.9,39.93,38.88,39.0,1059193.0,0.0,1.0,39.9,39.93,38.88,39.0,1059193.0
2018-03-13,39.9,40.52,39.56,39.75,1505446.0,0.0,1.0,39.9,40.52,39.56,39.75,1505446.0
2018-03-12,40.85,41.14,39.91,39.91,2150873.0,0.0,1.0,40.85,41.14,39.91,39.91,2150873.0
2018-03-09,40.15,41.47,40.13,41.06,1993486.0,0.0,1.0,40.15,41.47,40.13,41.06,1993486.0
2018-03-08,39.32,40.23,38.72,39.88,2370547.0,0.0,1.0,39.32,40.23,38.72,39.88,2370547.0
2018-03-07,39.73,40.099000000000004,38.48,39.22,2108911.0,0.0,1.0,39.6306253127,39.9987023512,38.3837518759,39.1219009505,2108911.0
2018-03-06,39.75,41.22,39.71,40.48,2391018.0,0.0,1.0,39.6505752876,41.1168984492,39.6106753377,40.3787493747,2391018.0
2018-03-05,38.69,39.91,38.48,39.46,1991942.0,0.0,1.0,38.5932266133,39.8101750875,38.3837518759,39.3613006503,1991942.0
2018-03-02,36.62,39.42,36.35,39.09,3870964.0,0.0,1.0,36.5284042021,39.3214007004,36.2590795398,38.9922261131,3870964.0
2018-03-01,41.38,42.16,39.821,40.03,3680101.0,0.0,1.0,41.2764982491,42.0545472736,39.721397698800004,39.9298749375,3680101.0
2018-02-28,42.9,43.29,41.43,41.52,1805303.0,0.0,1.0,42.9,43.29,41.43,41.52,1805303.0
2018-02-27,42.56,43.84,42.56,42.85,1608138.0,0.0,1.0,42.56,43.84,42.56,42.85,1608138.0
2018-02-26,43.87,43.89,41.95,42.52,2346379.0,0.0,1.0,43.87,43.89,41.95,42.52,2346379.0
2018-02-23,43.01,43.865,42.88,43.7,1234213.0,0.0,1.0,43.01,43.865,42.88,43.7,1234213.0
2018-02-22,43.66,44.54,42.77,42.84,1888381.0,0.0,1.0,43.66,44.54,42.77,42.84,1888381.0
2018-02-21,42.21,44.12,42.21,43.51,2153590.0,0.0,1.0,42.21,44.12,42.21,43.51,2153590.0
2018-02-20,40.72,42.85,40.72,42.24,1975958.0,0.0,1.0,40.72,42.85,40.72,42.24,1975958.0
2018-02-16,43.22,43.68,40.97,41.03,2451049.0,0.0,1.0,43.22,43.68,40.97,41.03,2451049.0
2018-02-15,42.37,43.4,41.96,43.24,2152883.0,0.0,1.0,42.37,43.4,41.96,43.24,2152883.0
2018-02-14,43.34,43.5,39.78,41.92,4647807.0,0.0,1.0,43.34,43.5,39.78,41.92,4647807.0
2018-02-13,42.91,43.76,42.71,42.96,1516796.0,0.0,1.0,42.91,43.76,42.71,42.96,1516796.0
2018-02-12,42.91,43.75,42.52,43.23,1393266.0,0.0,1.0,42.91,43.75,42.52,43.23,1393266.0
2018-02-09,42.09,43.19,41.08,42.47,2019026.0,0.0,1.0,42.09,43.19,41.08,42.47,2019026.0
2018-02-08,43.28,43.46,41.48,41.49,1808488.0,0.0,1.0,43.28,43.46,41.48,41.49,1808488.0
2018-02-07,43.83,44.63,43.12,43.2,1377290.0,0.0,1.0,43.83,44.63,43.12,43.2,1377290.0
2018-02-06,42.38,44.34,42.07,44.03,2169350.0,0.0,1.0,42.38,44.34,42.07,44.03,2169350.0
2018-02-05,44.42,45.55,43.26,43.49,2079678.0,0.0,1.0,44.42,45.55,43.26,43.49,2079678.0
2018-02-02,46.65,46.97,45.17,45.25,1329000.0,0.0,1.0,46.65,46.97,45.17,45.25,1329000.0
2018-02-01,46.84,47.7,46.76,47.02,944004.0,0.0,1.0,46.84,47.7,46.76,47.02,944004.0
2018-01-31,48.11,48.66,46.78,47.02,1250344.0,0.0,1.0,48.11,48.66,46.78,47.02,1250344.0
2018-01-30,47.38,47.97,46.71,47.64,778653.0,0.0,1.0,47.38,47.97,46.71,47.64,778653.0
2018-01-29,49.29,49.83,47.91,48.0,942668.0,0.0,1.0,49.29,49.83,47.91,48.0,942668.0
2018-01-26,48.24,49.37,47.63,49.33,1001841.0,0.0,1.0,48.24,49.37,47.63,49.33,1001841.0
2018-01-25,49.58,50.17,47.08,48.22,1988471.0,0.0,1.0,49.58,50.17,47.08,48.22,1988471.0
2018-01-24,49.73,49.88,48.59,49.1,733989.0,0.0,1.0,49.73,49.88,48.59,49.1,733989.0
