Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,70.79,70.9,68.23,68.51,5828381.0,0.0,1.0,70.79,70.9,68.23,68.51,5828381.0
2018-03-26,68.67,70.63,68.65,70.28,4875792.0,0.0,1.0,68.67,70.63,68.65,70.28,4875792.0
2018-03-23,69.72,70.21,67.77,67.88,5137447.0,0.0,1.0,69.72,70.21,67.77,67.88,5137447.0
2018-03-22,69.85,70.48,68.81,68.89,5292867.0,0.0,1.0,69.85,70.48,68.81,68.89,5292867.0
2018-03-21,71.18,71.5,70.14,70.14,3782333.0,0.0,1.0,71.18,71.5,70.14,70.14,3782333.0
2018-03-20,70.6,71.77,70.51,71.56,4930709.0,0.0,1.0,70.6,71.77,70.51,71.56,4930709.0
2018-03-19,70.92,71.32,70.11,70.34,3163004.0,0.0,1.0,70.92,71.32,70.11,70.34,3163004.0
2018-03-16,70.55,71.43,70.41,70.99,7194014.0,0.0,1.0,70.55,71.43,70.41,70.99,7194014.0
2018-03-15,71.28,71.5,70.28,70.63,5635445.0,0.0,1.0,71.28,71.5,70.28,70.63,5635445.0
2018-03-14,71.44,71.72,70.38,70.65,4660258.0,0.0,1.0,71.44,71.72,70.38,70.65,4660258.0
2018-03-13,71.0,72.1,70.88,71.17,4467934.0,0.0,1.0,71.0,72.1,70.88,71.17,4467934.0
2018-03-12,70.05,70.99,69.81,70.67,3642467.0,0.0,1.0,70.05,70.99,69.81,70.67,3642467.0
2018-03-09,70.38,70.82,69.33,70.49,6627315.0,0.0,1.0,70.38,70.82,69.33,70.49,6627315.0
2018-03-08,71.43,71.58,69.15,69.75,7868637.0,0.0,1.0,71.43,71.58,69.15,69.75,7868637.0
2018-03-07,71.06,72.14,70.58,71.43,7684566.0,0.0,1.0,71.06,72.14,70.58,71.43,7684566.0
2018-03-06,74.25,74.64,69.94,71.79,20000888.0,0.0,1.0,74.25,74.64,69.94,71.79,20000888.0
2018-03-05,74.77,75.75,73.9475,75.14,7654766.0,0.0,1.0,74.77,75.75,73.9475,75.14,7654766.0
2018-03-02,73.63,75.48,73.3,75.15,4956236.0,0.0,1.0,73.63,75.48,73.3,75.15,4956236.0
2018-03-01,75.51,75.55,73.0,74.13,7084406.0,0.0,1.0,75.51,75.55,73.0,74.13,7084406.0
2018-02-28,76.06,76.68,75.41,75.41,5440621.0,0.0,1.0,76.06,76.68,75.41,75.41,5440621.0
2018-02-27,77.74,78.43,75.27,75.57,6175891.0,0.0,1.0,77.74,78.43,75.27,75.57,6175891.0
2018-02-26,76.25,76.99,75.18,76.9,5754084.0,0.0,1.0,76.25,76.99,75.18,76.9,5754084.0
2018-02-23,75.52,76.3,74.29,75.41,5404951.0,0.0,1.0,75.52,76.3,74.29,75.41,5404951.0
2018-02-22,73.49,75.96,73.47,75.03,6900925.0,0.0,1.0,73.49,75.96,73.47,75.03,6900925.0
2018-02-21,73.22,74.68,72.92,72.96,8609365.0,0.0,1.0,73.22,74.68,72.92,72.96,8609365.0
2018-02-20,72.84,73.84,71.68,72.86,7049415.0,0.0,1.0,72.84,73.84,71.68,72.86,7049415.0
2018-02-16,76.14,76.81,75.31,75.7,4251093.0,0.0,1.0,76.14,76.81,75.31,75.7,4251093.0
2018-02-15,75.72,76.21,75.12,76.04,3416983.0,0.0,1.0,75.72,76.21,75.12,76.04,3416983.0
2018-02-14,74.29,76.62,74.06,75.35,7331469.0,0.0,1.0,74.29,76.62,74.06,75.35,7331469.0
2018-02-13,71.86,73.95,71.675,73.88,4339409.0,0.0,1.0,71.86,73.95,71.675,73.88,4339409.0
2018-02-12,73.13,73.23,71.53,71.88,4583263.0,0.0,1.0,73.13,73.23,71.53,71.88,4583263.0
2018-02-09,71.81,72.97,68.91,72.45,7687934.0,0.0,1.0,71.81,72.97,68.91,72.45,7687934.0
2018-02-08,73.51,73.89,71.07,71.11,5645472.0,0.0,1.0,73.51,73.89,71.07,71.11,5645472.0
2018-02-07,72.53,74.145,72.34,73.25,6518360.0,0.0,1.0,72.53,74.145,72.34,73.25,6518360.0
2018-02-06,69.54,73.06,68.39,72.71,8010336.0,0.0,1.0,69.54,73.06,68.39,72.71,8010336.0
2018-02-05,72.45,74.17,70.51,70.77,6394997.0,0.0,1.0,72.45,74.17,70.51,70.77,6394997.0
2018-02-02,74.28,74.49,72.72,72.95,6698937.0,0.0,1.0,74.28,74.49,72.72,72.95,6698937.0
2018-02-01,74.63,75.65,74.15,74.97,4647564.0,0.0,1.0,74.63,75.65,74.15,74.97,4647564.0
2018-01-31,75.39,75.75,74.595,75.22,8602764.0,0.0,1.0,75.39,75.75,74.595,75.22,8602764.0
2018-01-30,76.39,76.7,74.82,75.1,5547361.0,0.0,1.0,76.39,76.7,74.82,75.1,5547361.0
2018-01-29,76.67,77.14,76.38,76.8,3437337.0,0.0,1.0,76.67,77.14,76.38,76.8,3437337.0
2018-01-26,76.62,77.02,75.815,76.95,4929854.0,0.0,1.0,76.62,77.02,75.815,76.95,4929854.0
2018-01-25,77.55,77.56,75.76,76.3,6338336.0,0.0,1.0,77.55,77.56,75.76,76.3,6338336.0
2018-01-24,78.29,78.29,76.37,76.89,9697991.0,0.0,1.0,78.29,78.29,76.37,76.89,9697991.0
2018-01-23,78.58,78.7,77.84,78.12,5351942.0,0.0,1.0,78.58,78.7,77.84,78.12,5351942.0
2018-01-22,78.11,78.64,77.57,78.58,5335863.0,0.0,1.0,78.11,78.64,77.57,78.58,5335863.0
2018-01-19,78.17,78.17,76.89,78.1,7794516.0,0.0,1.0,78.17,78.17,76.89,78.1,7794516.0
2018-01-18,76.86,77.91,76.26,77.9,7552593.0,0.0,1.0,76.86,77.91,76.26,77.9,7552593.0
2018-01-17,74.99,77.25,74.831,76.82,7046430.0,0.0,1.0,74.99,77.25,74.831,76.82,7046430.0
2018-01-16,76.88,77.58,74.64,74.96,10130875.0,0.0,1.0,76.88,77.58,74.64,74.96,10130875.0
