Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.76,23.76,23.06,23.2,673535.0,0.0,1.0,23.76,23.76,23.06,23.2,673535.0
2018-03-26,24.08,24.235,23.3,23.69,863734.0,0.0,1.0,24.08,24.235,23.3,23.69,863734.0
2018-03-23,23.88,24.19,23.58,23.62,985097.0,0.0,1.0,23.88,24.19,23.58,23.62,985097.0
2018-03-22,24.0,24.42,23.64,23.65,857804.0,0.0,1.0,24.0,24.42,23.64,23.65,857804.0
2018-03-21,23.78,24.5,23.56,24.34,793936.0,0.0,1.0,23.78,24.5,23.56,24.34,793936.0
2018-03-20,23.92,24.05,23.77,23.81,643186.0,0.0,1.0,23.92,24.05,23.77,23.81,643186.0
2018-03-19,23.92,23.92,23.45,23.86,1218277.0,0.0,1.0,23.92,23.92,23.45,23.86,1218277.0
2018-03-16,23.52,24.17,23.32,24.11,2613416.0,0.0,1.0,23.52,24.17,23.32,24.11,2613416.0
2018-03-15,23.86,23.86,23.34,23.55,716530.0,0.0,1.0,23.86,23.86,23.34,23.55,716530.0
2018-03-14,24.42,24.42,23.69,23.75,793701.0,0.0,1.0,24.42,24.42,23.69,23.75,793701.0
2018-03-13,24.26,24.67,24.145,24.25,846560.0,0.0,1.0,24.26,24.67,24.145,24.25,846560.0
2018-03-12,23.82,24.22,23.78,24.04,933819.0,0.0,1.0,23.82,24.22,23.78,24.04,933819.0
2018-03-09,23.65,23.9,23.08,23.86,1632555.0,0.0,1.0,23.65,23.9,23.08,23.86,1632555.0
2018-03-08,23.5,23.51,23.17,23.4,921498.0,0.0,1.0,23.5,23.51,23.17,23.4,921498.0
2018-03-07,23.15,23.63,23.09,23.43,1198016.0,0.0,1.0,23.15,23.63,23.09,23.43,1198016.0
2018-03-06,22.77,23.32,22.541,23.3,1247759.0,0.0,1.0,22.77,23.32,22.541,23.3,1247759.0
2018-03-05,22.66,23.07,22.4,22.76,1234663.0,0.0,1.0,22.66,23.07,22.4,22.76,1234663.0
2018-03-02,22.32,22.9,22.04,22.85,1348910.0,0.0,1.0,22.32,22.9,22.04,22.85,1348910.0
2018-03-01,22.46,22.71,22.15,22.56,1494860.0,0.0,1.0,22.46,22.71,22.15,22.56,1494860.0
