Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,45.39,45.52,44.21,44.53,633421.0,0.0,1.0,45.39,45.52,44.21,44.53,633421.0
2018-03-26,44.81,45.3,44.14,45.27,665571.0,0.0,1.0,44.81,45.3,44.14,45.27,665571.0
2018-03-23,45.21,45.61,44.04,44.08,753630.0,0.0,1.0,45.21,45.61,44.04,44.08,753630.0
2018-03-22,45.41,46.3956,45.05,45.06,839235.0,0.0,1.0,45.41,46.3956,45.05,45.06,839235.0
2018-03-21,46.0,46.79,45.725,46.01,598210.0,0.0,1.0,46.0,46.79,45.725,46.01,598210.0
2018-03-20,46.56,46.91,45.845,46.02,763179.0,0.0,1.0,46.56,46.91,45.845,46.02,763179.0
2018-03-19,46.91,47.12,46.14,46.69,1041570.0,0.0,1.0,46.91,47.12,46.14,46.69,1041570.0
2018-03-16,46.36,47.51,46.26,47.32,1956952.0,0.0,1.0,46.36,47.51,46.26,47.32,1956952.0
2018-03-15,48.92,49.44,45.64,46.09,2010430.0,0.0,1.0,48.92,49.44,45.64,46.09,2010430.0
2018-03-14,49.6,49.77,48.81,49.22,590575.0,0.0,1.0,49.6,49.77,48.81,49.22,590575.0
2018-03-13,49.19,50.15,48.4875,49.39,945563.0,0.0,1.0,49.19,50.15,48.4875,49.39,945563.0
2018-03-12,50.95,51.1,48.81,49.12,1513009.0,0.0,1.0,50.95,51.1,48.81,49.12,1513009.0
2018-03-09,51.71,51.74,50.96,51.5,919266.0,0.0,1.0,51.71,51.74,50.96,51.5,919266.0
2018-03-08,51.53,52.1,51.09,51.39,570067.0,0.0,1.0,51.53,52.1,51.09,51.39,570067.0
2018-03-07,50.59,51.64,50.3701,51.29,633850.0,0.0,1.0,50.59,51.64,50.3701,51.29,633850.0
2018-03-06,50.2,51.41,50.02,51.17,1133633.0,0.0,1.0,50.2,51.41,50.02,51.17,1133633.0
2018-03-05,48.2,50.12,48.05,49.99,1650470.0,0.0,1.0,48.2,50.12,48.05,49.99,1650470.0
2018-03-02,48.07,48.95,47.51,48.74,859611.0,0.0,1.0,48.07,48.95,47.51,48.74,859611.0
2018-03-01,49.52,49.735,47.93,48.74,1210998.0,0.0,1.0,49.52,49.735,47.93,48.74,1210998.0
2018-02-28,50.18,50.87,49.17,49.43,1133337.0,0.0,1.0,50.18,50.87,49.17,49.43,1133337.0
2018-02-27,51.54,52.045,50.0,50.07,727315.0,0.0,1.0,51.54,52.045,50.0,50.07,727315.0
2018-02-26,51.27,51.74,50.6,51.36,997059.0,0.0,1.0,51.27,51.74,50.6,51.36,997059.0
