Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,111.01,111.01,106.43,107.15,148065.0,0.0,1.0,111.01,111.01,106.43,107.15,148065.0
2018-03-26,110.19,111.07,106.98,111.02,251305.0,0.0,1.0,110.19,111.07,106.98,111.02,251305.0
2018-03-23,111.62,112.5,107.975,108.25,307473.0,0.0,1.0,111.62,112.5,107.975,108.25,307473.0
2018-03-22,109.98,112.93,109.98,111.41,374946.0,0.0,1.0,109.98,112.93,109.98,111.41,374946.0
2018-03-21,107.78,111.28,107.3049,110.81,165072.0,0.0,1.0,107.78,111.28,107.3049,110.81,165072.0
2018-03-20,106.75,109.11,106.37,107.83,94799.0,0.0,1.0,106.75,109.11,106.37,107.83,94799.0
2018-03-19,106.94,106.94,104.85,106.68,112435.0,0.0,1.0,106.94,106.94,104.85,106.68,112435.0
2018-03-16,105.87,107.74,105.27,107.15,285102.0,0.0,1.0,105.87,107.74,105.27,107.15,285102.0
2018-03-15,108.06,108.72,105.27,106.08,108015.0,0.0,1.0,108.06,108.72,105.27,106.08,108015.0
2018-03-14,109.0,109.04,107.08,107.93,140290.0,0.0,1.0,109.0,109.04,107.08,107.93,140290.0
2018-03-13,109.0,109.93,107.0,108.27,129788.0,0.0,1.0,109.0,109.93,107.0,108.27,129788.0
2018-03-12,107.31,109.09,107.31,108.19,172335.0,0.0,1.0,107.31,109.09,107.31,108.19,172335.0
2018-03-09,106.66,107.78,105.22,107.66,222108.0,0.0,1.0,106.66,107.78,105.22,107.66,222108.0
2018-03-08,107.72,108.42,105.37100000000001,106.14,146378.0,0.0,1.0,107.72,108.42,105.37100000000001,106.14,146378.0
2018-03-07,105.0,108.48,105.0,107.52,204006.0,0.0,1.0,105.0,108.48,105.0,107.52,204006.0
2018-03-06,105.15,106.42,104.8,106.25,153734.0,0.0,1.0,105.15,106.42,104.8,106.25,153734.0
2018-03-05,104.48,105.84,103.65,105.02,172772.0,0.0,1.0,104.48,105.84,103.65,105.02,172772.0
2018-03-02,103.01,105.71,101.44,105.36,196154.0,0.0,1.0,103.01,105.71,101.44,105.36,196154.0
2018-03-01,103.25,104.88,101.48,103.83,372754.0,0.0,1.0,103.25,104.88,101.48,103.83,372754.0
2018-02-28,107.39,107.39,103.28,103.4,258845.0,0.0,1.0,107.39,107.39,103.28,103.4,258845.0
2018-02-27,112.0,113.3,106.39,106.69,236620.0,0.0,1.0,112.0,113.3,106.39,106.69,236620.0
2018-02-26,111.0,113.88,111.0,111.95,287300.0,0.0,1.0,111.0,113.88,111.0,111.95,287300.0
2018-02-23,106.99,110.58,105.72,110.57,352366.0,0.0,1.0,106.99,110.58,105.72,110.57,352366.0
2018-02-22,115.42,115.8399,102.56,106.27,730546.0,0.0,1.0,115.42,115.8399,102.56,106.27,730546.0
2018-02-21,112.49,114.1549,111.41,111.81,341984.0,0.0,1.0,112.49,114.1549,111.41,111.81,341984.0
2018-02-20,112.14,113.13,111.32,111.72,220931.0,0.0,1.0,112.14,113.13,111.32,111.72,220931.0
2018-02-16,112.75,114.77,112.61,112.61,205994.0,0.0,1.0,112.75,114.77,112.61,112.61,205994.0
2018-02-15,113.46,114.285,112.25,113.28,244871.0,0.0,1.0,113.46,114.285,112.25,113.28,244871.0
2018-02-14,109.9,112.65,109.9,112.42,210636.0,0.0,1.0,109.9,112.65,109.9,112.42,210636.0
2018-02-13,109.61,111.37,109.13,110.83,109922.0,0.0,1.0,109.61,111.37,109.13,110.83,109922.0
2018-02-12,109.03,112.3,108.04,110.11,214618.0,0.0,1.0,109.03,112.3,108.04,110.11,214618.0
2018-02-09,109.66,110.4426,106.53,108.37,280709.0,0.0,1.0,109.66,110.4426,106.53,108.37,280709.0
2018-02-08,112.87,113.55,108.43,108.57,206956.0,0.0,1.0,112.87,113.55,108.43,108.57,206956.0
2018-02-07,109.5,114.06,108.7678,112.92,189822.0,0.0,1.0,109.5,114.06,108.7678,112.92,189822.0
2018-02-06,105.94,110.74,105.5,109.61,384909.0,0.0,1.0,105.94,110.74,105.5,109.61,384909.0
2018-02-05,109.79,111.67,108.33,108.41,342718.0,0.0,1.0,109.79,111.67,108.33,108.41,342718.0
2018-02-02,110.67,111.68,109.75,110.26,268465.0,0.0,1.0,110.67,111.68,109.75,110.26,268465.0
2018-02-01,111.42,112.32,110.42,111.98,198825.0,0.0,1.0,111.42,112.32,110.42,111.98,198825.0
2018-01-31,112.85,113.8,110.725,111.59,246776.0,0.0,1.0,112.85,113.8,110.725,111.59,246776.0
2018-01-30,111.51,113.15,110.06,112.1,185197.0,0.0,1.0,111.51,113.15,110.06,112.1,185197.0
2018-01-29,113.97,114.12,112.54,112.76,129225.0,0.0,1.0,113.97,114.12,112.54,112.76,129225.0
2018-01-26,117.7,117.7,113.86,114.0,154360.0,0.0,1.0,117.7,117.7,113.86,114.0,154360.0
2018-01-25,115.71,117.24,113.0411,117.22,163979.0,0.0,1.0,115.71,117.24,113.0411,117.22,163979.0
2018-01-24,113.96,115.93,113.41,114.67,140923.0,0.0,1.0,113.96,115.93,113.41,114.67,140923.0
2018-01-23,114.35,114.49,112.07,113.28,106416.0,0.0,1.0,114.35,114.49,112.07,113.28,106416.0
2018-01-22,114.25,114.99,112.43,114.92,139606.0,0.0,1.0,114.25,114.99,112.43,114.92,139606.0
2018-01-19,109.83,114.26,109.83,114.24,258804.0,0.0,1.0,109.83,114.26,109.83,114.24,258804.0
2018-01-18,109.77,111.84,109.61,110.1,141607.0,0.0,1.0,109.77,111.84,109.61,110.1,141607.0
2018-01-17,109.38,110.6,108.12,110.0,209554.0,0.0,1.0,109.38,110.6,108.12,110.0,209554.0
2018-01-16,118.29,118.29,108.52,109.38,281153.0,0.0,1.0,118.29,118.29,108.52,109.38,281153.0
2018-01-12,117.0,118.47,115.5,117.21,165595.0,0.0,1.0,117.0,118.47,115.5,117.21,165595.0
2018-01-11,114.6,117.61,113.6,116.79,271361.0,0.0,1.0,114.6,117.61,113.6,116.79,271361.0
2018-01-10,113.47,114.1,110.7,113.47,265265.0,0.0,1.0,113.47,114.1,110.7,113.47,265265.0
2018-01-09,110.43,115.07,110.34,113.94,348388.0,0.0,1.0,110.43,115.07,110.34,113.94,348388.0
2018-01-08,110.97,111.86,110.02,110.25,142835.0,0.0,1.0,110.97,111.86,110.02,110.25,142835.0
2018-01-05,109.04,112.309,109.04,111.34,231094.0,0.0,1.0,109.04,112.309,109.04,111.34,231094.0
2018-01-04,115.58,120.4,109.0,109.32,790515.0,0.0,1.0,115.58,120.4,109.0,109.32,790515.0
2018-01-03,109.16,114.67,108.01,114.08,578725.0,0.0,1.0,109.16,114.67,108.01,114.08,578725.0
2018-01-02,109.46,109.75,108.69,109.15,236209.0,0.0,1.0,109.46,109.75,108.69,109.15,236209.0
2017-12-29,109.91,110.5,108.3,108.39,159487.0,0.0,1.0,109.91,110.5,108.3,108.39,159487.0
2017-12-28,108.92,109.77,107.11,109.6,175877.0,0.0,1.0,108.92,109.77,107.11,109.6,175877.0
2017-12-27,107.09,109.38,106.96,108.77,144430.0,0.0,1.0,107.09,109.38,106.96,108.77,144430.0
2017-12-26,106.46,107.98,106.45100000000001,106.85,118796.0,0.0,1.0,106.46,107.98,106.45100000000001,106.85,118796.0
2017-12-22,108.18,109.65,106.81,107.01,110785.0,0.0,1.0,108.18,109.65,106.81,107.01,110785.0
2017-12-21,108.07,109.95,107.9,109.11,196856.0,0.0,1.0,108.07,109.95,107.9,109.11,196856.0
2017-12-20,106.465,109.03,105.925,108.39,151158.0,0.0,1.0,106.465,109.03,105.925,108.39,151158.0
2017-12-19,108.86,109.44,105.98,106.1,172875.0,0.0,1.0,108.86,109.44,105.98,106.1,172875.0
2017-12-18,110.22,110.615,108.07,109.42,172556.0,0.0,1.0,110.22,110.615,108.07,109.42,172556.0
2017-12-15,108.65,109.75,107.455,108.28,484596.0,0.0,1.0,108.65,109.75,107.455,108.28,484596.0
2017-12-14,109.4,109.74,106.75,107.31,157283.0,0.0,1.0,109.4,109.74,106.75,107.31,157283.0
2017-12-13,108.32,110.22,108.18,108.69,201182.0,0.0,1.0,108.32,110.22,108.18,108.69,201182.0
2017-12-12,109.53,110.63,108.39,108.62,177051.0,0.0,1.0,109.53,110.63,108.39,108.62,177051.0
2017-12-11,112.45,113.1037,108.6,109.15,251661.0,0.0,1.0,112.45,113.1037,108.6,109.15,251661.0
2017-12-08,113.05,114.57,112.02,112.41,301563.0,0.0,1.0,113.05,114.57,112.02,112.41,301563.0
2017-12-07,110.55,112.7448,110.55,111.73,231773.0,0.0,1.0,110.55,112.7448,110.55,111.73,231773.0
2017-12-06,109.72,111.06,109.68,110.73,123024.0,0.0,1.0,109.72,111.06,109.68,110.73,123024.0
2017-12-05,111.12,111.39,109.41,109.76,207924.0,0.0,1.0,111.12,111.39,109.41,109.76,207924.0
2017-12-04,115.17,116.22,110.85,110.99,271635.0,0.0,1.0,115.17,116.22,110.85,110.99,271635.0
2017-12-01,117.9,118.36,111.7,113.18,263513.0,0.0,1.0,117.9,118.36,111.7,113.18,263513.0
2017-11-30,118.29,118.65,116.17,117.76,176531.0,0.0,1.0,118.29,118.65,116.17,117.76,176531.0
2017-11-29,116.33,117.04,114.771,116.91,145113.0,0.0,1.0,116.33,117.04,114.771,116.91,145113.0
2017-11-28,112.98,116.21,112.53,115.72,196012.0,0.0,1.0,112.98,116.21,112.53,115.72,196012.0
2017-11-27,112.34,113.13,111.69,112.57,136340.0,0.0,1.0,112.34,113.13,111.69,112.57,136340.0
2017-11-24,111.93,112.49,111.05,112.3,75097.0,0.0,1.0,111.93,112.49,111.05,112.3,75097.0
