Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,46.4,46.53,45.15,45.46,1982504.0,0.0,1.0,46.4,46.53,45.15,45.46,1982504.0
2018-03-26,46.65,46.65,45.42,46.39,2254409.0,0.0,1.0,46.65,46.65,45.42,46.39,2254409.0
2018-03-23,46.64,47.14,46.14,46.22,1707602.0,0.0,1.0,46.64,47.14,46.14,46.22,1707602.0
2018-03-22,46.88,47.4085,46.4,46.49,1368052.0,0.0,1.0,46.88,47.4085,46.4,46.49,1368052.0
2018-03-21,46.59,47.805,46.32,47.5,2331309.0,0.0,1.0,46.59,47.805,46.32,47.5,2331309.0
2018-03-20,46.6,46.965,45.94,46.43,2255124.0,0.0,1.0,46.6,46.965,45.94,46.43,2255124.0
2018-03-19,47.61,47.62,45.31,46.16,1931262.0,0.0,1.0,47.61,47.62,45.31,46.16,1931262.0
2018-03-16,46.62,48.075,45.94,47.73,2452575.0,0.0,1.0,46.62,48.075,45.94,47.73,2452575.0
2018-03-15,47.02,47.72,44.3,46.35,3813320.0,0.0,1.0,47.02,47.72,44.3,46.35,3813320.0
2018-03-14,47.25,47.39,46.56,46.74,1693801.0,0.0,1.0,47.25,47.39,46.56,46.74,1693801.0
2018-03-13,46.97,47.37,46.72,47.14,1722034.0,0.0,1.0,46.97,47.37,46.72,47.14,1722034.0
2018-03-12,45.75,46.74,45.75,46.71,1854595.0,0.0,1.0,45.75,46.74,45.75,46.71,1854595.0
2018-03-09,45.19,45.8,44.92,45.66,1532213.0,0.0,1.0,45.19,45.8,44.92,45.66,1532213.0
2018-03-08,45.21,45.468999999999994,44.42,44.77,1490756.0,0.0,1.0,45.21,45.468999999999994,44.42,44.77,1490756.0
2018-03-07,45.88,46.46,44.65,45.09,1989152.0,0.0,1.0,45.88,46.46,44.65,45.09,1989152.0
2018-03-06,46.9,46.97,46.15,46.25,1332151.0,0.0,1.0,46.9,46.97,46.15,46.25,1332151.0
2018-03-05,45.5,46.84,45.5,46.55,1001051.0,0.0,1.0,45.5,46.84,45.5,46.55,1001051.0
2018-03-02,45.05,45.71,44.1646,45.67,1487600.0,0.0,1.0,45.05,45.71,44.1646,45.67,1487600.0
2018-03-01,44.81,45.54,44.43,45.3,1919666.0,0.0,1.0,44.81,45.54,44.43,45.3,1919666.0
2018-02-28,46.13,46.5,44.6,44.65,2384222.0,0.0,1.0,46.13,46.5,44.6,44.65,2384222.0
2018-02-27,47.09,47.45,45.86,45.93,1956721.0,0.0,1.0,47.09,47.45,45.86,45.93,1956721.0
2018-02-26,47.31,47.34,46.12,47.19,1665876.0,0.0,1.0,47.31,47.34,46.12,47.19,1665876.0
2018-02-23,46.37,47.18,45.93,46.97,1320873.0,0.0,1.0,46.37,47.18,45.93,46.97,1320873.0
2018-02-22,47.03,47.215,45.82,45.96,2225194.0,0.0,1.0,47.03,47.215,45.82,45.96,2225194.0
2018-02-21,47.72,47.88,46.7,46.74,2688042.0,0.0,1.0,47.72,47.88,46.7,46.74,2688042.0
2018-02-20,47.96,48.23,47.14,47.75,2424159.0,0.0,1.0,47.96,48.23,47.14,47.75,2424159.0
