Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,60.31,60.87,59.16,59.44,1419029.0,0.0,1.0,60.31,60.87,59.16,59.44,1419029.0
2018-03-26,60.18,60.636,58.78,60.17,1278600.0,0.0,1.0,60.18,60.636,58.78,60.17,1278600.0
2018-03-23,60.31,60.82,59.14,59.38,2197629.0,0.0,1.0,60.31,60.82,59.14,59.38,2197629.0
2018-03-22,61.67,61.7,59.935,60.02,1959221.0,0.0,1.0,61.67,61.7,59.935,60.02,1959221.0
2018-03-21,62.9,63.28,61.8,61.87,1306719.0,0.0,1.0,62.9,63.28,61.8,61.87,1306719.0
2018-03-20,63.24,63.46,62.3,62.82,959573.0,0.0,1.0,63.24,63.46,62.3,62.82,959573.0
2018-03-19,64.19,64.55,62.9,63.2,1308833.0,0.0,1.0,64.19,64.55,62.9,63.2,1308833.0
2018-03-16,63.24,65.0,63.22,64.38,2103656.0,0.0,1.0,63.24,65.0,63.22,64.38,2103656.0
2018-03-15,62.71,63.71,62.71,62.98,1310322.0,0.0,1.0,62.71,63.71,62.71,62.98,1310322.0
2018-03-14,63.27,63.437,62.52,62.62,2654972.0,0.0,1.0,63.27,63.437,62.52,62.62,2654972.0
2018-03-13,63.74,63.95,62.49,62.93,2216630.0,0.0,1.0,63.74,63.95,62.49,62.93,2216630.0
2018-03-12,65.31,65.73,63.61,63.66,1548817.0,0.0,1.0,65.31,65.73,63.61,63.66,1548817.0
2018-03-09,64.9,65.39,64.27,65.34,915388.0,0.0,1.0,64.9,65.39,64.27,65.34,915388.0
2018-03-08,64.05,64.52,63.8,64.41,1172685.0,0.0,1.0,64.05,64.52,63.8,64.41,1172685.0
2018-03-07,63.95,64.3,63.0,63.78,1496112.0,0.0,1.0,63.95,64.3,63.0,63.78,1496112.0
2018-03-06,64.55,64.86,64.101,64.78,1355776.0,0.0,1.0,64.55,64.86,64.101,64.78,1355776.0
2018-03-05,64.55,64.93,63.88,64.42,1888395.0,0.0,1.0,64.55,64.93,63.88,64.42,1888395.0
2018-03-02,63.24,64.5,62.61,64.22,2097857.0,0.0,1.0,63.24,64.5,62.61,64.22,2097857.0
2018-03-01,64.8,64.96,63.43,63.86,1594769.0,0.0,1.0,64.8,64.96,63.43,63.86,1594769.0
2018-02-28,65.24,65.43,64.44,64.93,1661047.0,0.0,1.0,65.24,65.43,64.44,64.93,1661047.0
2018-02-27,65.34,66.68,64.99,65.03,1763484.0,0.0,1.0,65.34,66.68,64.99,65.03,1763484.0
2018-02-26,66.22,66.51,64.575,64.86,1692315.0,0.0,1.0,66.22,66.51,64.575,64.86,1692315.0
2018-02-23,65.97,66.43,65.19,65.86,1343939.0,0.0,1.0,65.97,66.43,65.19,65.86,1343939.0
2018-02-22,66.45,66.83,65.52,65.79,1489549.0,0.0,1.0,66.45,66.83,65.52,65.79,1489549.0
2018-02-21,67.47,68.47,66.22,66.3,1590251.0,0.0,1.0,67.47,68.47,66.22,66.3,1590251.0
2018-02-20,66.64,68.34,66.43,67.22,1492294.0,0.0,1.0,66.64,68.34,66.43,67.22,1492294.0
2018-02-16,68.94,69.3357,66.445,67.32,1859308.0,0.0,1.0,68.94,69.3357,66.445,67.32,1859308.0
2018-02-15,68.49,70.57,68.0,69.14,2088303.0,0.0,1.0,68.49,70.57,68.0,69.14,2088303.0
2018-02-14,65.87,68.22,65.62,68.0,1430805.0,0.0,1.0,65.87,68.22,65.62,68.0,1430805.0
2018-02-13,66.57,66.79,65.09,66.16,1449498.0,0.0,1.0,66.57,66.79,65.09,66.16,1449498.0
2018-02-12,66.85,67.62,65.62,66.67,1763284.0,0.0,1.0,66.85,67.62,65.62,66.67,1763284.0
2018-02-09,66.29,67.0,63.82,66.45,2424179.0,0.0,1.0,66.29,67.0,63.82,66.45,2424179.0
2018-02-08,67.53,67.97,65.94,65.94,1943680.0,0.0,1.0,67.53,67.97,65.94,65.94,1943680.0
2018-02-07,67.1,68.0,66.881,67.37,2309094.0,0.0,1.0,67.1,68.0,66.881,67.37,2309094.0
2018-02-06,65.08,68.21,63.65,67.28,3779005.0,0.0,1.0,65.08,68.21,63.65,67.28,3779005.0
2018-02-05,67.71,68.22,65.62,65.9399,2321256.0,0.0,1.0,67.71,68.22,65.62,65.9399,2321256.0
2018-02-02,70.14,70.84,67.58,67.87,4532808.0,0.0,1.0,70.14,70.84,67.58,67.87,4532808.0
2018-02-01,72.0,72.3,69.3,71.55,7941907.0,0.0,1.0,72.0,72.3,69.3,71.55,7941907.0
2018-01-31,78.08,78.65,75.82,76.25,2369371.0,0.0,1.0,78.08,78.65,75.82,76.25,2369371.0
2018-01-30,78.51,79.04,78.02,78.06,1289776.0,0.0,1.0,78.51,79.04,78.02,78.06,1289776.0
2018-01-29,78.85,79.39,78.2204,79.1,1790715.0,0.0,1.0,78.85,79.39,78.2204,79.1,1790715.0
2018-01-26,78.49,79.22,78.28,79.1,2055373.0,0.0,1.0,78.49,79.22,78.28,79.1,2055373.0
2018-01-25,78.82,79.2,76.45,78.15,2452161.0,0.0,1.0,78.82,79.2,76.45,78.15,2452161.0
2018-01-24,81.0,81.1472,79.83,80.68,2565585.0,0.0,1.0,81.0,81.1472,79.83,80.68,2565585.0
2018-01-23,81.88,82.13,80.79,81.04,2518395.0,0.0,1.0,81.88,82.13,80.79,81.04,2518395.0
2018-01-22,82.55,82.68,81.42,81.94,1282316.0,0.0,1.0,82.55,82.68,81.42,81.94,1282316.0
2018-01-19,81.24,82.44,81.03,82.39,1109222.0,0.0,1.0,81.24,82.44,81.03,82.39,1109222.0
2018-01-18,80.57,81.19,80.26,80.9,971718.0,0.0,1.0,80.57,81.19,80.26,80.9,971718.0
2018-01-17,79.78,81.11,79.48,80.58,1069238.0,0.0,1.0,79.78,81.11,79.48,80.58,1069238.0
