Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,74.3,75.15,73.72,74.03,2324709.0,0.0,1.0,74.3,75.15,73.72,74.03,2324709.0
2018-03-26,72.23,74.13,72.23,73.94,2218820.0,0.0,1.0,72.23,74.13,72.23,73.94,2218820.0
2018-03-23,72.75,73.45,71.4,71.54,2285789.0,0.0,1.0,72.75,73.45,71.4,71.54,2285789.0
2018-03-22,73.5,74.08,72.53,72.7,1493730.0,0.0,1.0,73.5,74.08,72.53,72.7,1493730.0
2018-03-21,73.59,74.26,73.23,73.69,1853189.0,0.0,1.0,73.59,74.26,73.23,73.69,1853189.0
2018-03-20,74.3,74.6,73.64,74.02,1157804.0,0.0,1.0,74.3,74.6,73.64,74.02,1157804.0
2018-03-19,74.38,74.97,73.88,74.13,1124708.0,0.0,1.0,74.38,74.97,73.88,74.13,1124708.0
2018-03-16,73.78,74.39,73.55,74.27,2495437.0,0.0,1.0,73.78,74.39,73.55,74.27,2495437.0
2018-03-15,75.44,75.775,73.595,73.73,1983715.0,0.0,1.0,75.44,75.775,73.595,73.73,1983715.0
2018-03-14,75.95,76.55,75.2801,75.38,1421467.0,0.0,1.0,75.95,76.55,75.2801,75.38,1421467.0
2018-03-13,75.59,76.13,75.4,75.62,1096053.0,0.0,1.0,75.59,76.13,75.4,75.62,1096053.0
2018-03-12,75.75,76.32,75.23,75.27,2265494.0,0.0,1.0,75.75,76.32,75.23,75.27,2265494.0
2018-03-09,75.32,75.76,75.08,75.69,1373637.0,0.0,1.0,75.32,75.76,75.08,75.69,1373637.0
2018-03-08,74.53,75.015,74.14,74.97,1225548.0,0.0,1.0,74.53,75.015,74.14,74.97,1225548.0
2018-03-07,73.63,74.5501,73.26,74.53,1512610.0,0.0,1.0,73.63,74.5501,73.26,74.53,1512610.0
2018-03-06,73.87,74.41,73.31,74.05,3646459.0,0.0,1.0,73.87,74.41,73.31,74.05,3646459.0
2018-03-05,73.25,73.78,72.89,73.6,3838976.0,0.0,1.0,73.25,73.78,72.89,73.6,3838976.0
2018-03-02,73.14,73.77,72.86,73.65,2046205.0,0.0,1.0,73.14,73.77,72.86,73.65,2046205.0
2018-03-01,74.36,74.96,72.94,73.42,2487958.0,0.0,1.0,74.36,74.96,72.94,73.42,2487958.0
2018-02-28,74.76,75.17,73.78,74.38,2806468.0,0.0,1.0,74.76,75.17,73.78,74.38,2806468.0
2018-02-27,76.0,76.2,74.54,74.56,1639125.0,0.0,1.0,76.0,76.2,74.54,74.56,1639125.0
2018-02-26,75.36,75.81,74.81,75.71,1186492.0,0.0,1.0,75.36,75.81,74.81,75.71,1186492.0
2018-02-23,74.8,75.13,74.06,75.08,1425325.0,0.0,1.0,74.8,75.13,74.06,75.08,1425325.0
2018-02-22,74.7,75.3681,74.07,74.69,2438920.0,0.0,1.0,74.7,75.3681,74.07,74.69,2438920.0
2018-02-21,76.02,77.31,75.36,75.4,3400631.0,0.0,1.0,76.02,77.31,75.36,75.4,3400631.0
2018-02-20,75.96,76.44,75.25,76.13,2033966.0,0.0,1.0,75.96,76.44,75.25,76.13,2033966.0
2018-02-16,75.65,76.71,75.53,76.01,1443033.0,0.0,1.0,75.65,76.71,75.53,76.01,1443033.0
2018-02-15,75.89,75.925,74.3,75.88,2978527.0,0.0,1.0,75.89,75.925,74.3,75.88,2978527.0
2018-02-14,74.59,76.17,74.36,75.84,2197538.0,0.0,1.0,74.59,76.17,74.36,75.84,2197538.0
2018-02-13,74.53,75.05,74.09,74.73,1770208.0,0.0,1.0,74.53,75.05,74.09,74.73,1770208.0
2018-02-12,75.01,75.54,73.85,74.53,2205410.0,0.0,1.0,75.01,75.54,73.85,74.53,2205410.0
2018-02-09,74.83,75.42,72.98,74.87,3666475.0,0.0,1.0,74.83,75.42,72.98,74.87,3666475.0
2018-02-08,75.92,77.62,73.32,73.92,4352583.0,0.0,1.0,75.92,77.62,73.32,73.92,4352583.0
2018-02-07,73.81,74.99,73.26,73.38,2424881.0,0.0,1.0,73.81,74.99,73.26,73.38,2424881.0
2018-02-06,73.23,74.46,72.5,74.19,2850619.0,0.0,1.0,73.23,74.46,72.5,74.19,2850619.0
2018-02-05,74.34,74.99,72.81,73.23,2893015.0,0.0,1.0,74.34,74.99,72.81,73.23,2893015.0
2018-02-02,75.22,75.47,74.4,74.49,1908014.0,0.0,1.0,75.22,75.47,74.4,74.49,1908014.0
2018-02-01,75.75,76.69,75.32,75.76,2619945.0,0.0,1.0,75.75,76.69,75.32,75.76,2619945.0
2018-01-31,78.91,78.91,74.87,76.11,5988845.0,0.0,1.0,78.91,78.91,74.87,76.11,5988845.0
2018-01-30,78.73,79.47,78.42,78.89,952390.0,0.0,1.0,78.73,79.47,78.42,78.89,952390.0
2018-01-29,79.86,80.09,78.83,78.91,1965442.0,0.0,1.0,79.86,80.09,78.83,78.91,1965442.0
2018-01-26,80.0,80.18,79.07,80.17,1357346.0,0.0,1.0,80.0,80.18,79.07,80.17,1357346.0
2018-01-25,79.99,80.45,79.56,79.8,1232167.0,0.0,1.0,79.99,80.45,79.56,79.8,1232167.0
2018-01-24,81.45,81.51,79.66,79.78,1367384.0,0.0,1.0,81.45,81.51,79.66,79.78,1367384.0
2018-01-23,80.84,81.48899999999999,80.7,81.13,1632558.0,0.0,1.0,80.84,81.48899999999999,80.7,81.13,1632558.0
