Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,36.25,36.59,35.91,36.06,43043.0,0.0,1.0,36.25,36.59,35.91,36.06,43043.0
2018-03-26,36.2916,36.61,35.75,36.53,37223.0,0.0,1.0,36.2916,36.61,35.75,36.53,37223.0
2018-03-23,36.1,36.34,35.73,36.1,79105.0,0.0,1.0,36.1,36.34,35.73,36.1,79105.0
2018-03-22,35.92,36.47,35.68,36.1,50156.0,0.0,1.0,35.92,36.47,35.68,36.1,50156.0
2018-03-21,36.7,36.84,36.14,36.18,25343.0,0.0,1.0,36.7,36.84,36.14,36.18,25343.0
2018-03-20,36.88,37.07,36.28,36.63,24069.0,0.0,1.0,36.88,37.07,36.28,36.63,24069.0
2018-03-19,37.1,37.23,36.21,36.81,32579.0,0.0,1.0,37.1,37.23,36.21,36.81,32579.0
2018-03-16,36.77,37.49,36.5,37.32,154161.0,0.0,1.0,36.77,37.49,36.5,37.32,154161.0
2018-03-15,36.58,36.72,36.07,36.64,56416.0,0.0,1.0,36.58,36.72,36.07,36.64,56416.0
2018-03-14,36.58,36.735,36.31,36.48,31080.0,0.0,1.0,36.58,36.735,36.31,36.48,31080.0
2018-03-13,36.58,36.93,36.42,36.5,34271.0,0.0,1.0,36.58,36.93,36.42,36.5,34271.0
2018-03-12,36.27,36.62,36.061,36.47,33573.0,0.0,1.0,36.27,36.62,36.061,36.47,33573.0
2018-03-09,35.39,36.22,35.24,36.2,32987.0,0.0,1.0,35.39,36.22,35.24,36.2,32987.0
2018-03-08,35.61,35.61,35.0,35.18,33153.0,0.0,1.0,35.61,35.61,35.0,35.18,33153.0
2018-03-07,35.91,35.97,35.2,35.71,57984.0,0.0,1.0,35.91,35.97,35.2,35.71,57984.0
2018-03-06,35.94,36.17,35.2,36.12,43949.0,0.0,1.0,35.94,36.17,35.2,36.12,43949.0
2018-03-05,35.63,36.39,35.46,35.82,33396.0,0.0,1.0,35.63,36.39,35.46,35.82,33396.0
2018-03-02,35.0,36.02,35.0,35.9,35921.0,0.0,1.0,35.0,36.02,35.0,35.9,35921.0
2018-03-01,34.91,35.55,34.631,35.22,47208.0,0.0,1.0,34.91,35.55,34.631,35.22,47208.0
2018-02-28,35.44,35.809,35.0,35.0,62866.0,0.0,1.0,35.44,35.809,35.0,35.0,62866.0
2018-02-27,35.94,35.94,34.92,35.26,47560.0,0.0,1.0,35.94,35.94,34.92,35.26,47560.0
2018-02-26,35.49,35.87,34.85,35.78,26850.0,0.0,1.0,35.49,35.87,34.85,35.78,26850.0
2018-02-23,35.25,35.42,34.72,35.42,59872.0,0.0,1.0,35.25,35.42,34.72,35.42,59872.0
2018-02-22,34.94,35.45,34.65,35.07,49294.0,0.0,1.0,34.94,35.45,34.65,35.07,49294.0
2018-02-21,34.74,35.42,34.72,34.91,27733.0,0.0,1.0,34.74,35.42,34.72,34.91,27733.0
2018-02-20,34.67,35.11,34.2,34.63,53396.0,0.0,1.0,34.67,35.11,34.2,34.63,53396.0
2018-02-16,34.83,35.595,34.48,34.94,35961.0,0.0,1.0,34.83,35.595,34.48,34.94,35961.0
2018-02-15,34.85,35.54,34.24,35.0,32079.0,0.0,1.0,34.85,35.54,34.24,35.0,32079.0
2018-02-14,34.04,34.95,34.02,34.73,44818.0,0.0,1.0,34.04,34.95,34.02,34.73,44818.0
2018-02-13,33.93,34.56,33.84,34.31,44163.0,0.0,1.0,33.93,34.56,33.84,34.31,44163.0
2018-02-12,35.22,35.52,33.59,33.97,97316.0,0.0,1.0,35.22,35.52,33.59,33.97,97316.0
2018-02-09,35.06,35.78,33.9,35.32,76272.0,0.0,1.0,35.06,35.78,33.9,35.32,76272.0
2018-02-08,35.94,35.94,34.53,34.58,60277.0,0.0,1.0,35.94,35.94,34.53,34.58,60277.0
2018-02-07,35.16,36.15,35.09,35.89,83056.0,0.0,1.0,35.16,36.15,35.09,35.89,83056.0
2018-02-06,33.73,35.21,33.0,34.84,66319.0,0.0,1.0,33.73,35.21,33.0,34.84,66319.0
2018-02-05,35.08,35.87,34.62,34.63,74792.0,0.0,1.0,35.08,35.87,34.62,34.63,74792.0
2018-02-02,35.49,35.81,34.74,35.36,78386.0,0.0,1.0,35.49,35.81,34.74,35.36,78386.0
2018-02-01,35.35,35.75,34.65,35.74,45192.0,0.0,1.0,35.35,35.75,34.65,35.74,45192.0
2018-01-31,35.63,35.92,35.33,35.61,66286.0,0.0,1.0,35.63,35.92,35.33,35.61,66286.0
2018-01-30,35.74,35.909,35.15,35.53,40427.0,0.0,1.0,35.74,35.909,35.15,35.53,40427.0
2018-01-29,36.36,36.59,35.58,36.0,52947.0,0.0,1.0,36.36,36.59,35.58,36.0,52947.0
2018-01-26,36.89,36.89,36.03,36.53,59099.0,0.0,1.0,36.89,36.89,36.03,36.53,59099.0
2018-01-25,34.85,36.89,34.0,36.68,153381.0,0.0,1.0,34.85,36.89,34.0,36.68,153381.0
2018-01-24,36.64,36.7267,35.68,35.93,51073.0,0.0,1.0,36.64,36.7267,35.68,35.93,51073.0
2018-01-23,36.38,36.66,36.1,36.57,22239.0,0.0,1.0,36.38,36.66,36.1,36.57,22239.0
2018-01-22,36.55,36.7957,36.02,36.4,23436.0,0.0,1.0,36.55,36.7957,36.02,36.4,23436.0
2018-01-19,35.88,37.0,35.88,36.81,46152.0,0.0,1.0,35.88,37.0,35.88,36.81,46152.0
2018-01-18,36.21,36.21,35.6,35.9,27308.0,0.0,1.0,36.21,36.21,35.6,35.9,27308.0
2018-01-17,36.03,36.62,35.5119,36.38,40753.0,0.0,1.0,36.03,36.62,35.5119,36.38,40753.0
2018-01-16,36.62,37.06,35.77,35.88,40886.0,0.0,1.0,36.62,37.06,35.77,35.88,40886.0
2018-01-12,36.45,37.06,36.045,36.36,26328.0,0.0,1.0,36.45,37.06,36.045,36.36,26328.0
2018-01-11,35.22,36.47,35.22,36.42,39280.0,0.0,1.0,35.22,36.47,35.22,36.42,39280.0
2018-01-10,35.41,35.44,35.0,35.26,27582.0,0.0,1.0,35.41,35.44,35.0,35.26,27582.0
2018-01-09,36.21,36.4,35.37,35.68,36705.0,0.0,1.0,36.21,36.4,35.37,35.68,36705.0
2018-01-08,35.91,36.715,35.82,36.19,81229.0,0.0,1.0,35.91,36.715,35.82,36.19,81229.0
2018-01-05,36.59,36.59,35.53,35.82,77351.0,0.0,1.0,36.59,36.59,35.53,35.82,77351.0
2018-01-04,35.83,36.85,35.5196,36.56,50370.0,0.0,1.0,35.83,36.85,35.5196,36.56,50370.0
2018-01-03,35.87,36.05,35.5,35.74,45708.0,0.0,1.0,35.87,36.05,35.5,35.74,45708.0
2018-01-02,36.12,36.24,35.83,35.94,39811.0,0.0,1.0,36.12,36.24,35.83,35.94,39811.0
2017-12-29,36.13,36.15,35.6768,35.87,61561.0,0.0,1.0,36.13,36.15,35.6768,35.87,61561.0
2017-12-28,35.72,36.1197,35.571,36.01,41545.0,0.0,1.0,35.72,36.1197,35.571,36.01,41545.0
2017-12-27,35.53,36.0,35.335,35.72,35567.0,0.0,1.0,35.53,36.0,35.335,35.72,35567.0
2017-12-26,35.11,35.66,34.97,35.5,23507.0,0.0,1.0,35.11,35.66,34.97,35.5,23507.0
2017-12-22,35.34,35.49,34.915,35.21,28706.0,0.0,1.0,35.34,35.49,34.915,35.21,28706.0
2017-12-21,35.49,35.79,34.94,35.41,34916.0,0.0,1.0,35.49,35.79,34.94,35.41,34916.0
2017-12-20,34.97,35.4499,34.78,35.11,24912.0,0.0,1.0,34.97,35.4499,34.78,35.11,24912.0
2017-12-19,35.53,36.03,35.22,35.26,24494.0,0.0,1.0,35.53,36.03,35.22,35.26,24494.0
2017-12-18,36.28,36.7,35.81,35.97,30335.0,0.0,1.0,36.28,36.7,35.81,35.97,30335.0
2017-12-15,35.55,36.0399,34.68,35.83,149912.0,0.0,1.0,35.55,36.0399,34.68,35.83,149912.0
2017-12-14,35.095,35.44,34.6,34.72,40810.0,0.0,1.0,35.095,35.44,34.6,34.72,40810.0
2017-12-13,34.78,35.81,34.78,35.37,39249.0,0.0,1.0,34.78,35.81,34.78,35.37,39249.0
2017-12-12,35.84,35.84,34.615,34.74,54844.0,0.0,1.0,35.84,35.84,34.615,34.74,54844.0
2017-12-11,35.99,36.15,35.42,35.68,48148.0,0.0,1.0,35.99,36.15,35.42,35.68,48148.0
2017-12-08,37.22,37.22,35.77,36.03,65103.0,0.0,1.0,37.22,37.22,35.77,36.03,65103.0
2017-12-07,36.45,37.49,36.41,37.04,84452.0,0.0,1.0,36.45,37.49,36.41,37.04,84452.0
2017-12-06,36.85,36.85,36.06,36.57,34741.0,0.0,1.0,36.85,36.85,36.06,36.57,34741.0
