Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,32.77,32.77,32.0,32.15,161152.0,0.0,1.0,32.77,32.77,32.0,32.15,161152.0
2018-03-26,32.38,32.88,32.075,32.72,143540.0,0.0,1.0,32.38,32.88,32.075,32.72,143540.0
2018-03-23,33.21,33.21,31.93,31.94,231076.0,0.0,1.0,33.21,33.21,31.93,31.94,231076.0
2018-03-22,33.17,33.7,33.06,33.06,260178.0,0.0,1.0,33.17,33.7,33.06,33.06,260178.0
2018-03-21,33.49,33.92,33.23,33.42,184441.0,0.0,1.0,33.49,33.92,33.23,33.42,184441.0
2018-03-20,33.57,33.68,33.3,33.47,129070.0,0.0,1.0,33.57,33.68,33.3,33.47,129070.0
2018-03-19,33.64,33.64,33.0,33.54,218934.0,0.0,1.0,33.64,33.64,33.0,33.54,218934.0
2018-03-16,33.48,33.95,33.34,33.62,553239.0,0.0,1.0,33.48,33.95,33.34,33.62,553239.0
2018-03-15,33.69,33.83,33.131,33.46,339896.0,0.0,1.0,33.69,33.83,33.131,33.46,339896.0
2018-03-14,33.88,33.8976,33.18,33.7,393252.0,0.0,1.0,33.88,33.8976,33.18,33.7,393252.0
2018-03-13,33.85,33.95,33.3,33.79,390442.0,0.0,1.0,33.85,33.95,33.3,33.79,390442.0
2018-03-12,33.55,33.87,33.27,33.63,427549.0,0.0,1.0,33.55,33.87,33.27,33.63,427549.0
2018-03-09,32.86,33.52,32.71,33.42,273262.0,0.0,1.0,32.86,33.52,32.71,33.42,273262.0
2018-03-08,33.13,33.325,32.64,32.76,184543.0,0.0,1.0,33.13,33.325,32.64,32.76,184543.0
2018-03-07,32.67,33.1,32.515,32.94,305464.0,0.0,1.0,32.67,33.1,32.515,32.94,305464.0
2018-03-06,32.75,33.04,32.46,32.85,388727.0,0.0,1.0,32.75,33.04,32.46,32.85,388727.0
2018-03-05,32.59,33.1,32.44,32.73,346399.0,0.0,1.0,32.59,33.1,32.44,32.73,346399.0
2018-03-02,32.38,32.81,32.01,32.69,298234.0,0.0,1.0,32.38,32.81,32.01,32.69,298234.0
2018-03-01,32.93,33.7,32.335,32.69,461986.0,0.0,1.0,32.93,33.7,32.335,32.69,461986.0
2018-02-28,34.5,34.505,32.92,32.94,294491.0,0.0,1.0,34.5,34.505,32.92,32.94,294491.0
2018-02-27,35.62,36.075,34.39,34.39,333698.0,0.0,1.0,35.62,36.075,34.39,34.39,333698.0
2018-02-26,34.6,35.49,34.54,35.48,295406.0,0.0,1.0,34.6,35.49,34.54,35.48,295406.0
2018-02-23,36.95,36.98,33.34,34.35,508163.0,0.0,1.0,36.95,36.98,33.34,34.35,508163.0
2018-02-22,36.45,36.77,36.01,36.49,360179.0,0.0,1.0,36.45,36.77,36.01,36.49,360179.0
2018-02-21,36.36,36.93,36.22,36.28,209573.0,0.0,1.0,36.36,36.93,36.22,36.28,209573.0
2018-02-20,36.54,36.71,36.11,36.27,291178.0,0.0,1.0,36.54,36.71,36.11,36.27,291178.0
2018-02-16,35.94,36.9,35.79,36.67,279767.0,0.0,1.0,35.94,36.9,35.79,36.67,279767.0
2018-02-15,36.08,36.57,35.5701,36.1,257355.0,0.0,1.0,36.08,36.57,35.5701,36.1,257355.0
2018-02-14,34.79,35.95,34.79,35.83,149285.0,0.0,1.0,34.79,35.95,34.79,35.83,149285.0
2018-02-13,34.69,35.33,34.43,35.18,158400.0,0.0,1.0,34.69,35.33,34.43,35.18,158400.0
2018-02-12,34.97,35.43,34.41,35.0,189505.0,0.0,1.0,34.97,35.43,34.41,35.0,189505.0
2018-02-09,34.9,35.23,33.82,34.89,250524.0,0.0,1.0,34.9,35.23,33.82,34.89,250524.0
2018-02-08,35.58,35.58,34.45,34.48,469382.0,0.0,1.0,35.58,35.58,34.45,34.48,469382.0
2018-02-07,34.73,35.445,34.73,35.14,435818.0,0.0,1.0,34.73,35.445,34.73,35.14,435818.0
2018-02-06,33.8,35.055,33.25,34.73,455781.0,0.0,1.0,33.8,35.055,33.25,34.73,455781.0
2018-02-05,36.07,36.33,34.7101,34.86,243133.0,0.0,1.0,36.07,36.33,34.7101,34.86,243133.0
2018-02-02,36.8,37.2,36.43,36.46,192075.0,0.0,1.0,36.8,37.2,36.43,36.46,192075.0
