Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,13.01,13.41,12.81,13.18,254808.0,0.0,1.0,13.01,13.41,12.81,13.18,254808.0
2018-03-26,12.92,13.05,12.8052,12.99,204662.0,0.0,1.0,12.92,13.05,12.8052,12.99,204662.0
2018-03-23,12.8,12.923,12.71,12.85,297018.0,0.0,1.0,12.8,12.923,12.71,12.85,297018.0
2018-03-22,12.77,13.1,12.77,12.83,209953.0,0.0,1.0,12.77,13.1,12.77,12.83,209953.0
2018-03-21,12.76,12.93,12.7,12.84,215680.0,0.0,1.0,12.76,12.93,12.7,12.84,215680.0
2018-03-20,12.92,12.9401,12.5724,12.75,225107.0,0.0,1.0,12.92,12.9401,12.5724,12.75,225107.0
2018-03-19,12.9,12.9,12.55,12.87,158468.0,0.0,1.0,12.9,12.9,12.55,12.87,158468.0
2018-03-16,12.7,13.01,12.65,12.9,291838.0,0.0,1.0,12.7,13.01,12.65,12.9,291838.0
2018-03-15,12.76,12.82,12.58,12.68,151638.0,0.0,1.0,12.76,12.82,12.58,12.68,151638.0
2018-03-14,12.91,12.94,12.7,12.76,213486.0,0.0,1.0,12.91,12.94,12.7,12.76,213486.0
2018-03-13,12.92,13.11,12.81,12.87,342091.0,0.0,1.0,12.92,13.11,12.81,12.87,342091.0
2018-03-12,12.28,12.98,12.245,12.87,423367.0,0.0,1.0,12.28,12.98,12.245,12.87,423367.0
2018-03-09,12.09,12.23,11.38,12.22,302605.0,0.0,1.0,12.09,12.23,11.38,12.22,302605.0
2018-03-08,12.2,12.2,11.93,12.09,98670.0,0.0,1.0,12.2,12.2,11.93,12.09,98670.0
2018-03-07,11.82,12.2,11.82,12.2,180461.0,0.0,1.0,11.82,12.2,11.82,12.2,180461.0
2018-03-06,11.86,11.93,11.7,11.86,188411.0,0.0,1.0,11.86,11.93,11.7,11.86,188411.0
2018-03-05,11.89,11.96,11.78,11.8,121500.0,0.0,1.0,11.89,11.96,11.78,11.8,121500.0
2018-03-02,11.83,11.98,11.710999999999999,11.88,116191.0,0.0,1.0,11.83,11.98,11.710999999999999,11.88,116191.0
2018-03-01,11.7,12.07,11.65,11.89,183483.0,0.0,1.0,11.7,12.07,11.65,11.89,183483.0
2018-02-28,11.83,11.96,11.67,11.67,189470.0,0.0,1.0,11.83,11.96,11.67,11.67,189470.0
2018-02-27,12.34,12.41,11.73,11.76,230218.0,0.0,1.0,12.34,12.41,11.73,11.76,230218.0
2018-02-26,12.29,12.37,12.21,12.34,115193.0,0.0,1.0,12.29,12.37,12.21,12.34,115193.0
2018-02-23,12.22,12.35,12.15,12.26,172472.0,0.0,1.0,12.22,12.35,12.15,12.26,172472.0
2018-02-22,12.04,12.26,11.92,12.2,166938.0,0.0,1.0,12.04,12.26,11.92,12.2,166938.0
2018-02-21,12.22,12.36,11.98,12.03,265204.0,0.0,1.0,12.22,12.36,11.98,12.03,265204.0
2018-02-20,12.17,12.41,12.17,12.18,180885.0,0.0,1.0,12.17,12.41,12.17,12.18,180885.0
2018-02-16,12.09,12.295,12.09,12.16,240668.0,0.0,1.0,12.09,12.295,12.09,12.16,240668.0
2018-02-15,12.25,12.2882,12.08,12.13,306789.0,0.0,1.0,12.25,12.2882,12.08,12.13,306789.0
2018-02-14,12.14,12.28,11.95,12.26,280235.0,0.0,1.0,12.14,12.28,11.95,12.26,280235.0
2018-02-13,12.28,12.49,12.1,12.42,147568.0,0.0,1.0,12.28,12.49,12.1,12.42,147568.0
2018-02-12,12.63,12.63,11.93,12.34,270686.0,0.0,1.0,12.63,12.63,11.93,12.34,270686.0
2018-02-09,12.51,12.69,12.270999999999999,12.62,214204.0,0.0,1.0,12.51,12.69,12.270999999999999,12.62,214204.0
2018-02-08,12.52,12.88,12.35,12.41,261339.0,0.0,1.0,12.52,12.88,12.35,12.41,261339.0
2018-02-07,12.52,12.7,12.43,12.49,222381.0,0.0,1.0,12.52,12.7,12.43,12.49,222381.0
2018-02-06,12.3,12.61,12.2477,12.55,319343.0,0.0,1.0,12.3,12.61,12.2477,12.55,319343.0
