Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-04-20,0.18,0.1887,0.158,0.1591,772712.0,0.0,1.0,0.18,0.1887,0.158,0.1591,772712.0
2017-04-19,0.2,0.21,0.165,0.18,487087.0,0.0,1.0,0.2,0.21,0.165,0.18,487087.0
2017-04-18,0.2,0.209,0.1801,0.2,879657.0,0.0,1.0,0.2,0.209,0.1801,0.2,879657.0
2017-04-17,0.2,0.2348,0.1683,0.2101,812152.0,0.0,1.0,0.2,0.2348,0.1683,0.2101,812152.0
2017-04-13,0.25,0.259,0.0902,0.1995,1963589.0,0.0,1.0,0.25,0.259,0.0902,0.1995,1963589.0
2017-04-12,0.18,0.325,0.11,0.2502,3577453.0,0.0,1.0,0.18,0.325,0.11,0.2502,3577453.0
2017-04-11,0.24,0.25,0.22,0.2329,727077.0,0.0,1.0,0.24,0.25,0.22,0.2329,727077.0
2017-04-10,0.2522,0.2771,0.221,0.24588400000000002,1261094.0,0.0,1.0,0.2522,0.2771,0.221,0.24588400000000002,1261094.0
2017-04-07,0.3282,0.3282,0.251,0.267,1185165.0,0.0,1.0,0.3282,0.3282,0.251,0.267,1185165.0
2017-04-06,0.3,0.337,0.25,0.3198,3786236.0,0.0,1.0,0.3,0.337,0.25,0.3198,3786236.0
2017-04-05,0.33075,0.3959,0.2833,0.3094,7644373.0,0.0,1.0,0.33075,0.3959,0.2833,0.3094,7644373.0
2017-04-04,1.69,1.7,1.17,1.25,1100577.0,0.0,1.0,1.69,1.7,1.17,1.25,1100577.0
2017-04-03,1.72,1.7216,1.7,1.7,49859.0,0.0,1.0,1.72,1.7216,1.7,1.7,49859.0
2017-03-31,1.75,1.76,1.71,1.71,71219.0,0.0,1.0,1.75,1.76,1.71,1.71,71219.0
2017-03-30,1.75,1.76,1.7145,1.7474,25023.0,0.0,1.0,1.75,1.76,1.7145,1.7474,25023.0
2017-03-29,1.8,1.8,1.71,1.73,98895.0,0.0,1.0,1.8,1.8,1.71,1.73,98895.0
2017-03-28,1.79,1.85,1.76,1.8,50978.0,0.0,1.0,1.79,1.85,1.76,1.8,50978.0
2017-03-27,1.83,1.83,1.75,1.8,49672.0,0.0,1.0,1.83,1.83,1.75,1.8,49672.0
2017-03-24,1.82,1.85,1.79,1.82,28512.0,0.0,1.0,1.82,1.85,1.79,1.82,28512.0
2017-03-23,1.82,1.87,1.78,1.81,11914.0,0.0,1.0,1.82,1.87,1.78,1.81,11914.0
2017-03-22,1.86,1.94,1.81,1.82,44414.0,0.0,1.0,1.86,1.94,1.81,1.82,44414.0
2017-03-21,1.93,1.9918,1.83,1.84,37950.0,0.0,1.0,1.93,1.9918,1.83,1.84,37950.0
2017-03-20,1.9,1.98,1.77,1.95,144439.0,0.0,1.0,1.9,1.98,1.77,1.95,144439.0
2017-03-17,1.96,1.989,1.85,1.9,75947.0,0.0,1.0,1.96,1.989,1.85,1.9,75947.0
2017-03-16,1.77,2.0,1.75,1.95,110483.0,0.0,1.0,1.77,2.0,1.75,1.95,110483.0
2017-03-15,1.77,1.88,1.72,1.75,74725.0,0.0,1.0,1.77,1.88,1.72,1.75,74725.0
2017-03-14,1.75,1.79,1.72,1.75,26815.0,0.0,1.0,1.75,1.79,1.72,1.75,26815.0
2017-03-13,1.71,1.78,1.65,1.77,64909.0,0.0,1.0,1.71,1.78,1.65,1.77,64909.0
2017-03-10,1.73,1.77,1.69,1.69,15019.0,0.0,1.0,1.73,1.77,1.69,1.69,15019.0
2017-03-09,1.74,1.75,1.67,1.71,30222.0,0.0,1.0,1.74,1.75,1.67,1.71,30222.0
2017-03-08,1.75,1.75,1.65,1.73,64754.0,0.0,1.0,1.75,1.75,1.65,1.73,64754.0
2017-03-07,1.79,1.87,1.7,1.72,43725.0,0.0,1.0,1.79,1.87,1.7,1.72,43725.0
2017-03-06,1.81,1.83,1.77,1.79,34964.0,0.0,1.0,1.81,1.83,1.77,1.79,34964.0
2017-03-03,1.869,1.87,1.75,1.81,110724.0,0.0,1.0,1.869,1.87,1.75,1.81,110724.0
