Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,26.31,28.71,26.31,27.46,48670.0,0.0,1.0,26.31,28.71,26.31,27.46,48670.0
2018-03-26,26.0,26.76,24.77,26.37,73054.0,0.0,1.0,26.0,26.76,24.77,26.37,73054.0
2018-03-23,26.42,26.75,24.549,25.82,59099.0,0.0,1.0,26.42,26.75,24.549,25.82,59099.0
2018-03-22,27.21,28.16,25.241,26.22,79177.0,0.0,1.0,27.21,28.16,25.241,26.22,79177.0
2018-03-21,27.71,28.38,27.21,27.52,17800.0,0.0,1.0,27.71,28.38,27.21,27.52,17800.0
2018-03-20,27.94,29.58,27.58,27.61,40696.0,0.0,1.0,27.94,29.58,27.58,27.61,40696.0
2018-03-19,28.33,28.7843,26.61,28.31,54811.0,0.0,1.0,28.33,28.7843,26.61,28.31,54811.0
2018-03-16,28.84,29.65,28.3,28.55,71360.0,0.0,1.0,28.84,29.65,28.3,28.55,71360.0
2018-03-15,28.8,29.5,28.6,28.83,17654.0,0.0,1.0,28.8,29.5,28.6,28.83,17654.0
2018-03-14,29.11,29.55,28.37,29.19,19737.0,0.0,1.0,29.11,29.55,28.37,29.19,19737.0
2018-03-13,29.97,31.1995,28.51,29.12,47670.0,0.0,1.0,29.97,31.1995,28.51,29.12,47670.0
2018-03-12,28.7,30.0,28.35,29.82,56319.0,0.0,1.0,28.7,30.0,28.35,29.82,56319.0
2018-03-09,27.79,28.75,27.79,28.75,40647.0,0.0,1.0,27.79,28.75,27.79,28.75,40647.0
2018-03-08,27.31,28.0,26.6396,27.62,66793.0,0.0,1.0,27.31,28.0,26.6396,27.62,66793.0
2018-03-07,27.99,27.99,26.75,27.3,58972.0,0.0,1.0,27.99,27.99,26.75,27.3,58972.0
2018-03-06,26.72,27.97,26.2,27.86,32992.0,0.0,1.0,26.72,27.97,26.2,27.86,32992.0
2018-03-05,27.26,27.4496,25.74,26.52,19880.0,0.0,1.0,27.26,27.4496,25.74,26.52,19880.0
2018-03-02,27.2,27.57,25.9747,27.39,36817.0,0.0,1.0,27.2,27.57,25.9747,27.39,36817.0
2018-03-01,25.4,27.59,24.88,27.21,63730.0,0.0,1.0,25.4,27.59,24.88,27.21,63730.0
2018-02-28,25.4,26.0189,25.23,25.39,31795.0,0.0,1.0,25.4,26.0189,25.23,25.39,31795.0
2018-02-27,26.1,26.19,25.14,25.25,19389.0,0.0,1.0,26.1,26.19,25.14,25.25,19389.0
2018-02-26,26.15,26.47,25.3,26.23,13315.0,0.0,1.0,26.15,26.47,25.3,26.23,13315.0
2018-02-23,26.22,26.37,25.82,26.03,9960.0,0.0,1.0,26.22,26.37,25.82,26.03,9960.0
2018-02-22,26.04,26.6248,25.25,26.13,10573.0,0.0,1.0,26.04,26.6248,25.25,26.13,10573.0
