Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-05-25,30.13,30.27,30.08,30.23,124649.0,0.0,1.0,30.13,30.27,30.08,30.23,124649.0
2017-05-24,30.1,30.25,30.03,30.08,170145.0,0.0,1.0,30.1,30.25,30.03,30.08,170145.0
2017-05-23,29.83,30.32,29.83,30.18,136988.0,0.0,1.0,29.83,30.32,29.83,30.18,136988.0
2017-05-22,30.18,30.23,30.03,30.18,117629.0,0.0,1.0,30.18,30.23,30.03,30.18,117629.0
2017-05-19,30.09,30.19,29.92,30.11,277359.0,0.0,1.0,30.09,30.19,29.92,30.11,277359.0
2017-05-18,29.75,30.02,29.71,29.87,152434.0,0.0,1.0,29.75,30.02,29.71,29.87,152434.0
2017-05-17,30.31,30.38,29.785,29.82,236998.0,0.0,1.0,30.31,30.38,29.785,29.82,236998.0
2017-05-16,30.45,30.48,30.25,30.42,395993.0,0.0,1.0,30.45,30.48,30.25,30.42,395993.0
2017-05-15,30.55,30.68,30.389,30.42,681788.0,0.0,1.0,30.55,30.68,30.389,30.42,681788.0
2017-05-12,30.59,30.73,30.45,30.57,463148.0,0.0,1.0,30.59,30.73,30.45,30.57,463148.0
2017-05-11,30.45,30.7,30.41,30.6,334247.0,0.0,1.0,30.45,30.7,30.41,30.6,334247.0
2017-05-10,30.42,30.6,30.34,30.54,241923.0,0.0,1.0,30.42,30.6,30.34,30.54,241923.0
2017-05-09,30.49,30.53,29.8226,30.39,182552.0,0.0,1.0,30.49,30.53,29.8226,30.39,182552.0
2017-05-08,30.49,30.51,30.31,30.47,137195.0,0.0,1.0,30.49,30.51,30.31,30.47,137195.0
2017-05-05,30.72,30.72,30.34,30.47,261958.0,0.0,1.0,30.72,30.72,30.34,30.47,261958.0
2017-05-04,30.65,30.75,30.6,30.66,129320.0,0.0,1.0,30.65,30.75,30.6,30.66,129320.0
2017-05-03,30.7,30.77,30.57,30.62,98083.0,0.0,1.0,30.7,30.77,30.57,30.62,98083.0
2017-05-02,30.76,30.85,30.68,30.77,188210.0,0.0,1.0,30.76,30.85,30.68,30.77,188210.0
2017-05-01,30.56,30.82,30.56,30.82,172969.0,0.0,1.0,30.56,30.82,30.56,30.82,172969.0
2017-04-28,30.83,30.83,30.49,30.52,132233.0,0.0,1.0,30.83,30.83,30.49,30.52,132233.0
2017-04-27,30.8,30.936999999999998,30.72,30.8,651676.0,0.0,1.0,30.8,30.936999999999998,30.72,30.8,651676.0
2017-04-26,30.25,30.82,30.17,30.68,175227.0,0.0,1.0,30.25,30.82,30.17,30.68,175227.0
2017-04-25,30.26,30.69,30.26,30.58,128380.0,0.0,1.0,30.26,30.69,30.26,30.58,128380.0
2017-04-24,30.07,30.33,30.07,30.23,159050.0,0.0,1.0,30.07,30.33,30.07,30.23,159050.0
2017-04-21,29.88,30.05,29.7776,30.01,141506.0,0.0,1.0,29.88,30.05,29.7776,30.01,141506.0
2017-04-20,29.7,29.9,29.59,29.88,222818.0,0.0,1.0,29.7,29.9,29.59,29.88,222818.0
2017-04-19,29.08,29.56,29.08,29.56,162104.0,0.0,1.0,29.08,29.56,29.08,29.56,162104.0
2017-04-18,29.11,29.21,28.94,29.06,88816.0,0.0,1.0,29.11,29.21,28.94,29.06,88816.0
2017-04-17,29.02,29.2,29.02,29.2,67745.0,0.0,1.0,29.02,29.2,29.02,29.2,67745.0
2017-04-13,29.2,29.27,28.97,28.97,127294.0,0.0,1.0,29.2,29.27,28.97,28.97,127294.0
2017-04-12,29.3,29.35,29.19,29.23,107823.0,0.0,1.0,29.3,29.35,29.19,29.23,107823.0
2017-04-11,29.17,29.33,29.13,29.33,80959.0,0.0,1.0,29.17,29.33,29.13,29.33,80959.0
2017-04-10,29.34,29.43,29.21,29.22,77389.0,0.0,1.0,29.34,29.43,29.21,29.22,77389.0
2017-04-07,29.34,29.46,29.18,29.28,885419.0,0.0,1.0,29.34,29.46,29.18,29.28,885419.0
2017-04-06,29.23,29.39,29.1325,29.38,88437.0,0.0,1.0,29.23,29.39,29.1325,29.38,88437.0
2017-04-05,29.46,29.63,29.08,29.2,299142.0,0.0,1.0,29.46,29.63,29.08,29.2,299142.0
2017-04-04,29.45,29.57,29.35,29.47,122954.0,0.0,1.0,29.45,29.57,29.35,29.47,122954.0
2017-04-03,29.7,29.7,29.37,29.45,127041.0,0.0,1.0,29.7,29.7,29.37,29.45,127041.0
2017-03-31,29.67,29.77,29.59,29.62,118756.0,0.0,1.0,29.67,29.77,29.59,29.62,118756.0
2017-03-30,29.63,29.74,29.53,29.68,110374.0,0.0,1.0,29.63,29.74,29.53,29.68,110374.0
2017-03-29,29.45,29.6699,29.45,29.63,39472.0,0.0,1.0,29.45,29.6699,29.45,29.63,39472.0
2017-03-28,29.52,29.65,29.47,29.51,75747.0,0.0,1.0,29.52,29.65,29.47,29.51,75747.0
2017-03-27,29.24,29.6,29.18,29.54,114111.0,0.0,1.0,29.24,29.6,29.18,29.54,114111.0
2017-03-24,29.4,29.58,29.26,29.35,115944.0,0.0,1.0,29.4,29.58,29.26,29.35,115944.0
