Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,121.52,121.6,116.74,117.4,8896249.0,0.0,1.0,121.52,121.6,116.74,117.4,8896249.0
2018-03-26,119.09,120.74,117.8,120.64,8622562.0,0.0,1.0,119.09,120.74,117.8,120.64,8622562.0
2018-03-23,119.89,120.73,116.76,117.0,9850483.0,0.0,1.0,119.89,120.73,116.76,117.0,9850483.0
2018-03-22,122.2,122.68,119.7,119.99,10470732.0,0.0,1.0,122.2,122.68,119.7,119.99,10470732.0
2018-03-21,124.9,125.44,123.07,123.22,7191393.0,0.0,1.0,124.9,125.44,123.07,123.22,7191393.0
2018-03-20,123.38,125.17,123.3,124.91,7702236.0,0.0,1.0,123.38,125.17,123.3,124.91,7702236.0
2018-03-19,123.94,124.31,122.28,123.21,17336748.0,0.0,1.0,123.94,124.31,122.28,123.21,17336748.0
2018-03-16,123.85,125.05,123.33,124.53,8682531.0,0.0,1.0,123.85,125.05,123.33,124.53,8682531.0
2018-03-15,123.13,124.42,122.7,123.41,5714230.0,0.0,1.0,123.13,124.42,122.7,123.41,5714230.0
2018-03-14,124.04,124.04,121.9,122.58,7675859.0,0.0,1.0,124.04,124.04,121.9,122.58,7675859.0
2018-03-13,124.25,125.0,122.9,123.2,9399438.0,0.0,1.0,124.25,125.0,122.9,123.2,9399438.0
2018-03-12,124.75,124.98,123.48,124.24,8629875.0,0.0,1.0,124.75,124.98,123.48,124.24,8629875.0
2018-03-09,123.25,124.79,122.87,124.51,6084801.0,0.0,1.0,123.25,124.79,122.87,124.51,6084801.0
2018-03-08,121.96,122.82,121.1676,122.22,6866139.0,0.0,1.0,121.96,122.82,121.1676,122.22,6866139.0
2018-03-07,120.03,122.24,119.7,121.85,7254084.0,0.0,1.0,120.03,122.24,119.7,121.85,7254084.0
2018-03-06,122.83,123.24,120.67,121.06,7457648.0,0.0,1.0,122.83,123.24,120.67,121.06,7457648.0
2018-03-05,120.45,122.31,119.44,121.88,5810235.0,0.0,1.0,120.45,122.31,119.44,121.88,5810235.0
2018-03-02,119.09,120.98,117.86,120.77,7581920.0,0.0,1.0,119.09,120.98,117.86,120.77,7581920.0
2018-03-01,123.26,124.0,119.62,120.4,8819616.0,0.0,1.0,123.26,124.0,119.62,120.4,8819616.0
2018-02-28,123.65,124.98,122.88,122.94,6588992.0,0.0,1.0,123.65,124.98,122.88,122.94,6588992.0
2018-02-27,124.7,125.3,123.35,123.37,7261515.0,0.0,1.0,124.7,125.3,123.35,123.37,7261515.0
2018-02-26,123.58,124.6,123.32,124.59,6325739.0,0.0,1.0,123.58,124.6,123.32,124.59,6325739.0
2018-02-23,121.57,122.96,121.221,122.93,4949897.0,0.0,1.0,121.57,122.96,121.221,122.93,4949897.0
2018-02-22,120.67,121.38,119.6167,120.38,4991385.0,0.0,1.0,120.67,121.38,119.6167,120.38,4991385.0
