Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2017-02-17,56.0,56.0,55.95,56.0,1213923.0,0.0,1.0,56.0,56.0,55.95,56.0,1213923.0
2017-02-16,55.95,56.0,55.95,56.0,182666.0,0.0,1.0,55.95,56.0,55.95,56.0,182666.0
2017-02-15,55.95,56.0,55.95,55.975,207076.0,0.0,1.0,55.95,56.0,55.95,55.975,207076.0
2017-02-14,55.9,56.0,55.9,56.0,116149.0,0.0,1.0,55.9,56.0,55.9,56.0,116149.0
2017-02-13,55.95,56.0,55.9,55.95,114155.0,0.0,1.0,55.95,56.0,55.9,55.95,114155.0
2017-02-10,56.0,56.0,55.925,56.0,102870.0,0.0,1.0,56.0,56.0,55.925,56.0,102870.0
2017-02-09,55.95,56.0,55.95,56.0,138024.0,0.0,1.0,55.95,56.0,55.95,56.0,138024.0
2017-02-08,56.0,56.0,55.9,56.0,223240.0,0.0,1.0,56.0,56.0,55.9,56.0,223240.0
2017-02-07,56.05,56.05,55.9,55.9,181452.0,0.0,1.0,56.05,56.05,55.9,55.9,181452.0
2017-02-06,55.95,56.1,55.9,56.1,162874.0,0.0,1.0,55.95,56.1,55.9,56.1,162874.0
2017-02-03,55.9,55.95,55.9,55.95,156705.0,0.0,1.0,55.9,55.95,55.9,55.95,156705.0
2017-02-02,55.85,55.95,55.85,55.95,102250.0,0.0,1.0,55.85,55.95,55.85,55.95,102250.0
2017-02-01,55.85,55.975,55.85,55.95,134936.0,0.0,1.0,55.85,55.975,55.85,55.95,134936.0
2017-01-31,55.85,55.95,55.85,55.95,168382.0,0.0,1.0,55.85,55.95,55.85,55.95,168382.0
2017-01-30,55.85,55.9,55.85,55.85,327895.0,0.0,1.0,55.85,55.9,55.85,55.85,327895.0
2017-01-27,55.85,55.95,55.85,55.85,209720.0,0.0,1.0,55.85,55.95,55.85,55.85,209720.0
2017-01-26,55.85,55.95,55.85,55.85,254123.0,0.0,1.0,55.85,55.95,55.85,55.85,254123.0
2017-01-25,55.9,56.0,55.85,55.9,280287.0,0.0,1.0,55.9,56.0,55.85,55.9,280287.0
2017-01-24,55.9,56.0,55.85,55.9,127885.0,0.0,1.0,55.9,56.0,55.85,55.9,127885.0
2017-01-23,55.85,55.95,55.85,55.85,221056.0,0.0,1.0,55.85,55.95,55.85,55.85,221056.0
2017-01-20,55.85,55.95,55.85,55.85,192987.0,0.0,1.0,55.85,55.95,55.85,55.85,192987.0
2017-01-19,55.9,55.9,55.825,55.85,407793.0,0.0,1.0,55.9,55.9,55.825,55.85,407793.0
2017-01-18,55.8,55.9,55.8,55.9,370837.0,0.0,1.0,55.8,55.9,55.8,55.9,370837.0
2017-01-17,55.8,55.95,55.725,55.75,307560.0,0.0,1.0,55.8,55.95,55.725,55.75,307560.0
2017-01-13,55.75,55.85,55.75,55.85,119564.0,0.0,1.0,55.75,55.85,55.75,55.85,119564.0
2017-01-12,55.9,55.9,55.7,55.75,267073.0,0.0,1.0,55.9,55.9,55.7,55.75,267073.0
2017-01-11,55.75,55.95,55.7,55.925,285560.0,0.0,1.0,55.75,55.95,55.7,55.925,285560.0
2017-01-10,55.7,55.8,55.675,55.75,389648.0,0.0,1.0,55.7,55.8,55.675,55.75,389648.0
2017-01-09,55.7,55.75,55.7,55.7,199223.0,0.0,1.0,55.7,55.75,55.7,55.7,199223.0
2017-01-06,55.8,55.8,55.7,55.75,167565.0,0.0,1.0,55.8,55.8,55.7,55.75,167565.0
2017-01-05,55.75,55.8,55.675,55.8,252870.0,0.0,1.0,55.75,55.8,55.675,55.8,252870.0
2017-01-04,55.65,55.75,55.625,55.75,207698.0,0.0,1.0,55.65,55.75,55.625,55.75,207698.0
2017-01-03,56.15,56.2,55.6,55.65,421230.0,0.0,1.0,56.15,56.2,55.6,55.65,421230.0
