Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,23.4,23.48,22.68,22.85,235893.0,0.0,1.0,23.4,23.48,22.68,22.85,235893.0
2018-03-26,23.55,23.9,22.88,23.36,341013.0,0.0,1.0,23.55,23.9,22.88,23.36,341013.0
2018-03-23,23.74,23.84,23.25,23.29,186151.0,0.0,1.0,23.74,23.84,23.25,23.29,186151.0
2018-03-22,23.62,24.39,23.62,23.73,210659.0,0.0,1.0,23.62,24.39,23.62,23.73,210659.0
2018-03-21,23.7,24.08,23.59,23.78,300750.0,0.0,1.0,23.7,24.08,23.59,23.78,300750.0
2018-03-20,23.5,24.1,23.46,23.69,230808.0,0.0,1.0,23.5,24.1,23.46,23.69,230808.0
2018-03-19,23.79,23.835,23.36,23.55,187557.0,0.0,1.0,23.79,23.835,23.36,23.55,187557.0
2018-03-16,24.5,24.5,23.68,24.0,362471.0,0.0,1.0,24.5,24.5,23.68,24.0,362471.0
2018-03-15,25.36,25.36,24.38,24.52,324605.0,0.0,1.0,25.36,25.36,24.38,24.52,324605.0
2018-03-14,24.89,25.55,24.8,25.4,212268.0,0.0,1.0,24.89,25.55,24.8,25.4,212268.0
2018-03-13,26.18,26.29,24.42,24.79,1326326.0,0.0,1.0,26.18,26.29,24.42,24.79,1326326.0
2018-03-12,27.17,27.38,27.1,27.27,126068.0,0.0,1.0,27.17,27.38,27.1,27.27,126068.0
2018-03-09,27.12,27.45,26.97,27.06,98290.0,0.0,1.0,27.12,27.45,26.97,27.06,98290.0
2018-03-08,27.4,27.4,26.89,27.04,84223.0,0.0,1.0,27.4,27.4,26.89,27.04,84223.0
2018-03-07,26.36,27.56,26.36,27.36,150571.0,0.0,1.0,26.36,27.56,26.36,27.36,150571.0
2018-03-06,26.93,26.93,26.29,26.55,273067.0,0.0,1.0,26.93,26.93,26.29,26.55,273067.0
2018-03-05,27.14,27.39,26.86,26.92,434479.0,0.0,1.0,27.14,27.39,26.86,26.92,434479.0
2018-03-02,26.17,27.54,26.17,27.34,166022.0,0.0,1.0,26.17,27.54,26.17,27.34,166022.0
2018-03-01,27.41,27.43,26.33,26.46,378991.0,0.0,1.0,27.41,27.43,26.33,26.46,378991.0
2018-02-28,27.4,27.74,27.4,27.5,245860.0,0.0,1.0,27.4,27.74,27.4,27.5,245860.0
2018-02-27,27.28,27.59,27.14,27.3,224985.0,0.0,1.0,27.28,27.59,27.14,27.3,224985.0
2018-02-26,27.05,27.35,26.85,27.35,144006.0,0.0,1.0,27.05,27.35,26.85,27.35,144006.0
2018-02-23,26.16,27.11,25.84,27.03,185201.0,0.0,1.0,26.16,27.11,25.84,27.03,185201.0
2018-02-22,26.46,27.29,26.06,26.15,268608.0,0.0,1.0,26.46,27.29,26.06,26.15,268608.0
2018-02-21,26.25,26.93,25.9601,26.46,100281.0,0.0,1.0,26.25,26.93,25.9601,26.46,100281.0
2018-02-20,26.32,26.58,26.04,26.13,234251.0,0.0,1.0,26.32,26.58,26.04,26.13,234251.0
2018-02-16,25.74,26.565,25.74,26.35,162778.0,0.0,1.0,25.74,26.565,25.74,26.35,162778.0
2018-02-15,25.03,25.86,24.91,25.85,174789.0,0.0,1.0,25.03,25.86,24.91,25.85,174789.0
2018-02-14,25.28,25.5,24.54,24.86,268705.0,0.0,1.0,25.28,25.5,24.54,24.86,268705.0
2018-02-13,26.04,26.29,25.35,25.53,247880.0,0.0,1.0,26.04,26.29,25.35,25.53,247880.0
2018-02-12,25.84,26.41,25.52,26.11,365545.0,0.0,1.0,25.84,26.41,25.52,26.11,365545.0
2018-02-09,25.0,26.685,24.59,25.8,1183067.0,0.0,1.0,25.0,26.685,24.59,25.8,1183067.0
