Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,5.72,5.83,5.53,5.56,52421.0,0.0,1.0,5.72,5.83,5.53,5.56,52421.0
2018-03-26,5.79,5.79,5.645,5.7,78579.0,0.0,1.0,5.79,5.79,5.645,5.7,78579.0
2018-03-23,5.84,5.899,5.631,5.69,92030.0,0.0,1.0,5.84,5.899,5.631,5.69,92030.0
2018-03-22,6.08,6.19,5.841,5.85,45760.0,0.0,1.0,6.08,6.19,5.841,5.85,45760.0
2018-03-21,6.23,6.31,6.05,6.15,58456.0,0.0,1.0,6.23,6.31,6.05,6.15,58456.0
2018-03-20,6.16,6.33,6.09,6.24,51759.0,0.0,1.0,6.16,6.33,6.09,6.24,51759.0
2018-03-19,6.18,6.22,6.02,6.16,78923.0,0.0,1.0,6.18,6.22,6.02,6.16,78923.0
2018-03-16,6.25,6.4,6.17,6.19,148699.0,0.0,1.0,6.25,6.4,6.17,6.19,148699.0
2018-03-15,6.25,6.32,6.17,6.28,55953.0,0.0,1.0,6.25,6.32,6.17,6.28,55953.0
2018-03-14,6.41,6.44,6.21,6.24,80956.0,0.0,1.0,6.41,6.44,6.21,6.24,80956.0
2018-03-13,6.6,6.74,6.34,6.39,126975.0,0.0,1.0,6.6,6.74,6.34,6.39,126975.0
2018-03-12,6.51,6.84,6.49,6.59,135169.0,0.0,1.0,6.51,6.84,6.49,6.59,135169.0
2018-03-09,6.21,6.63,6.21,6.45,145339.0,0.0,1.0,6.21,6.63,6.21,6.45,145339.0
2018-03-08,6.26,6.41,6.1,6.16,101173.0,0.0,1.0,6.26,6.41,6.1,6.16,101173.0
2018-03-07,6.0,6.3225,5.96,6.25,100328.0,0.0,1.0,6.0,6.3225,5.96,6.25,100328.0
2018-03-06,5.94,6.18,5.73,6.06,110291.0,0.0,1.0,5.94,6.18,5.73,6.06,110291.0
2018-03-05,5.94,6.04,5.86,5.91,77997.0,0.0,1.0,5.94,6.04,5.86,5.91,77997.0
2018-03-02,5.88,6.07,5.78,5.98,123115.0,0.0,1.0,5.88,6.07,5.78,5.98,123115.0
2018-03-01,6.01,6.045,5.715,5.93,119812.0,0.0,1.0,6.01,6.045,5.715,5.93,119812.0
2018-02-28,5.75,6.5,5.675,6.02,174971.0,0.0,1.0,5.75,6.5,5.675,6.02,174971.0
2018-02-27,5.94,6.24,5.85,5.85,91783.0,0.0,1.0,5.94,6.24,5.85,5.85,91783.0
2018-02-26,5.77,6.0,5.67,5.96,141558.0,0.0,1.0,5.77,6.0,5.67,5.96,141558.0
2018-02-23,5.69,5.83,5.5321,5.76,76567.0,0.0,1.0,5.69,5.83,5.5321,5.76,76567.0
2018-02-22,5.73,5.85,5.64,5.69,135990.0,0.0,1.0,5.73,5.85,5.64,5.69,135990.0
2018-02-21,5.67,5.85,5.64,5.7,57468.0,0.0,1.0,5.67,5.85,5.64,5.7,57468.0
2018-02-20,5.64,5.8,5.6,5.66,61249.0,0.0,1.0,5.64,5.8,5.6,5.66,61249.0
2018-02-16,5.57,5.7,5.52,5.7,117696.0,0.0,1.0,5.57,5.7,5.52,5.7,117696.0
2018-02-15,5.46,5.64,5.23,5.61,119556.0,0.0,1.0,5.46,5.64,5.23,5.61,119556.0
2018-02-14,5.48,5.59,5.39,5.44,95667.0,0.0,1.0,5.48,5.59,5.39,5.44,95667.0
2018-02-13,5.69,5.78,5.47,5.57,128089.0,0.0,1.0,5.69,5.78,5.47,5.57,128089.0
2018-02-12,5.84,5.84,5.43,5.75,138154.0,0.0,1.0,5.84,5.84,5.43,5.75,138154.0
