Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,116.7,117.25,114.06,114.73,1417198.0,0.0,1.0,116.7,117.25,114.06,114.73,1417198.0
2018-03-26,117.88,118.07,114.89,116.7,1611670.0,0.0,1.0,117.88,118.07,114.89,116.7,1611670.0
2018-03-23,114.27,117.38,113.975,115.6,1670337.0,0.0,1.0,114.27,117.38,113.975,115.6,1670337.0
2018-03-22,113.9,115.565,113.52,113.6,1331029.0,0.0,1.0,113.9,115.565,113.52,113.6,1331029.0
2018-03-21,114.55,116.32,113.84,114.81,987057.0,0.0,1.0,114.55,116.32,113.84,114.81,987057.0
2018-03-20,115.12,116.0,112.965,114.14,1112858.0,0.0,1.0,115.12,116.0,112.965,114.14,1112858.0
2018-03-19,116.4,116.5277,113.59,114.9,1388638.0,0.0,1.0,116.4,116.5277,113.59,114.9,1388638.0
2018-03-16,116.2,118.26,115.63,117.12,1843024.0,0.0,1.0,116.2,118.26,115.63,117.12,1843024.0
2018-03-15,120.52,120.91,117.64,117.92,1009354.0,0.0,1.0,120.52,120.91,117.64,117.92,1009354.0
2018-03-14,122.0,122.0,119.12,120.43,888928.0,0.0,1.0,122.0,122.0,119.12,120.43,888928.0
2018-03-13,121.79,123.45,121.42,121.67,1049763.0,0.0,1.0,121.79,123.45,121.42,121.67,1049763.0
2018-03-12,121.59,121.68,120.08,120.99,739756.0,0.0,1.0,121.59,121.68,120.08,120.99,739756.0
2018-03-09,120.15,121.53,119.81,121.2,944910.0,0.0,1.0,120.15,121.53,119.81,121.2,944910.0
2018-03-08,119.3,121.2,117.4,119.18,1686023.0,0.0,1.0,119.3,121.2,117.4,119.18,1686023.0
2018-03-07,117.91,119.51,117.08,119.09,891265.0,0.0,1.0,117.91,119.51,117.08,119.09,891265.0
2018-03-06,118.35,120.35,117.78,119.41,1155512.0,0.0,1.0,118.35,120.35,117.78,119.41,1155512.0
2018-03-05,117.64,118.5,115.59,117.73,1560975.0,0.0,1.0,117.64,118.5,115.59,117.73,1560975.0
2018-03-02,116.03,118.36,114.225,117.74,1806908.0,0.0,1.0,116.03,118.36,114.225,117.74,1806908.0
2018-03-01,118.36,119.66,115.84,117.07,1327770.0,0.0,1.0,118.36,119.66,115.84,117.07,1327770.0
2018-02-28,119.33,120.03,117.66,117.73,1358330.0,0.0,1.0,119.33,120.03,117.66,117.73,1358330.0
2018-02-27,121.4,121.99,118.3,118.87,2047993.0,0.0,1.0,121.4,121.99,118.3,118.87,2047993.0
2018-02-26,121.69,122.3,119.62,121.75,1305518.0,0.0,1.0,121.69,122.3,119.62,121.75,1305518.0
2018-02-23,122.98,123.1699,121.11,121.69,1272533.0,0.0,1.0,122.98,123.1699,121.11,121.69,1272533.0
2018-02-22,122.18,123.62,120.6693,122.12,1400951.0,0.0,1.0,122.18,123.62,120.6693,122.12,1400951.0
2018-02-21,124.63,125.95,121.88,122.04,1656949.0,0.0,1.0,124.63,125.95,121.88,122.04,1656949.0
2018-02-20,125.67,126.67,122.505,124.47,1874947.0,0.0,1.0,125.67,126.67,122.505,124.47,1874947.0
2018-02-16,128.0,131.54,125.5,126.57,3210674.0,0.0,1.0,128.0,131.54,125.5,126.57,3210674.0
2018-02-15,130.98,134.4389,130.17,133.47,1860398.0,0.0,1.0,130.98,134.4389,130.17,133.47,1860398.0
2018-02-14,128.07,130.06,126.48,129.62,1332249.0,0.0,1.0,128.07,130.06,126.48,129.62,1332249.0
2018-02-13,128.2,132.03,128.0,129.37,1683928.0,0.0,1.0,128.2,132.03,128.0,129.37,1683928.0
2018-02-12,126.4,128.41,125.38,127.16,1608136.0,0.0,1.0,126.4,128.41,125.38,127.16,1608136.0
2018-02-09,122.31,126.12,119.34,125.0,1306940.0,0.0,1.0,122.31,126.12,119.34,125.0,1306940.0
2018-02-08,128.48,128.62,121.4,121.47,1732553.0,0.0,1.0,128.48,128.62,121.4,121.47,1732553.0
2018-02-07,125.92,131.2695,125.63,128.24,1551732.0,0.0,1.0,125.92,131.2695,125.63,128.24,1551732.0
2018-02-06,123.13,128.66,122.74,126.78,1744620.0,0.0,1.0,123.13,128.66,122.74,126.78,1744620.0
