Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,167.63,168.28,159.29,160.34,1202998.0,0.0,1.0,167.63,168.28,159.29,160.34,1202998.0
2018-03-26,163.85,166.35,160.27,166.1,1302809.0,0.0,1.0,163.85,166.35,160.27,166.1,1302809.0
2018-03-23,165.83,166.7,160.74,160.93,1274210.0,0.0,1.0,165.83,166.7,160.74,160.93,1274210.0
2018-03-22,167.83,170.38,165.55,166.1,1058657.0,0.0,1.0,167.83,170.38,165.55,166.1,1058657.0
2018-03-21,171.94,172.4152,168.6,170.34,985607.0,0.0,1.0,171.94,172.4152,168.6,170.34,985607.0
2018-03-20,171.92,172.67,169.64,171.47,1569547.0,0.0,1.0,171.92,172.67,169.64,171.47,1569547.0
2018-03-19,174.62,175.28,168.12,170.77,1125920.0,0.0,1.0,174.62,175.28,168.12,170.77,1125920.0
2018-03-16,174.84,176.42,173.25,175.66,2216078.0,0.0,1.0,174.84,176.42,173.25,175.66,2216078.0
2018-03-15,174.57,176.65,173.065,173.97,946395.0,0.0,1.0,174.57,176.65,173.065,173.97,946395.0
2018-03-14,176.15,176.48,172.82,174.38,1035967.0,0.0,1.0,176.15,176.48,172.82,174.38,1035967.0
2018-03-13,177.36,178.25,174.54,174.96,1949922.0,0.0,1.0,177.36,178.25,174.54,174.96,1949922.0
2018-03-12,176.5,178.15,174.8,177.13,1252708.0,0.0,1.0,176.5,178.15,174.8,177.13,1252708.0
2018-03-09,173.26,176.31,171.76,176.26,1358509.0,0.0,1.0,173.26,176.31,171.76,176.26,1358509.0
2018-03-08,170.39,171.98,169.18,171.88,1009333.0,0.0,1.0,170.39,171.98,169.18,171.88,1009333.0
2018-03-07,167.94,170.77,167.90599999999998,170.17,1215786.0,0.0,1.0,167.94,170.77,167.90599999999998,170.17,1215786.0
2018-03-06,173.33,173.85,166.05,168.72,2176828.0,0.0,1.0,173.33,173.85,166.05,168.72,2176828.0
2018-03-05,168.49,173.45,167.17,173.16,1882421.0,0.0,1.0,168.49,173.45,167.17,173.16,1882421.0
2018-03-02,163.08,170.22,161.89,170.06,2111944.0,0.0,1.0,163.08,170.22,161.89,170.06,2111944.0
2018-03-01,165.68,168.0,163.61,165.83,2028742.0,0.0,1.0,165.68,168.0,163.61,165.83,2028742.0
2018-02-28,166.7,169.5409,164.63,166.03,1996879.0,0.0,1.0,166.7,169.5409,164.63,166.03,1996879.0
2018-02-27,168.99,170.89,165.72,165.88,1371733.0,0.0,1.0,168.99,170.89,165.72,165.88,1371733.0
2018-02-26,166.92,170.36,166.03,169.54,1762661.0,0.0,1.0,166.92,170.36,166.03,169.54,1762661.0
2018-02-23,159.01,165.98,158.1,165.9,1556032.0,0.0,1.0,159.01,165.98,158.1,165.9,1556032.0
2018-02-22,161.5,162.32,157.0,157.55,1627746.0,0.0,1.0,161.5,162.32,157.0,157.55,1627746.0
2018-02-21,160.63,161.72,157.83,157.89,1147567.0,0.0,1.0,160.63,161.72,157.83,157.89,1147567.0
