Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,70.22,70.33,68.08,68.3,390281.0,0.0,1.0,70.22,70.33,68.08,68.3,390281.0
2018-03-26,70.12,70.4,68.84,70.36,303772.0,0.0,1.0,70.12,70.4,68.84,70.36,303772.0
2018-03-23,71.23,71.94,69.1136,69.13,293167.0,0.0,1.0,71.23,71.94,69.1136,69.13,293167.0
2018-03-22,71.65,72.495,70.93,71.09,401108.0,0.0,1.0,71.65,72.495,70.93,71.09,401108.0
2018-03-21,71.7,72.62,71.63,72.17,150617.0,0.0,1.0,71.7,72.62,71.63,72.17,150617.0
2018-03-20,72.42,72.6,71.23,71.86,283048.0,0.0,1.0,72.42,72.6,71.23,71.86,283048.0
2018-03-19,72.57,73.27,71.74,72.3,247966.0,0.0,1.0,72.57,73.27,71.74,72.3,247966.0
2018-03-16,72.24,73.72,72.24,72.8,763801.0,0.0,1.0,72.24,73.72,72.24,72.8,763801.0
2018-03-15,73.79,74.4,72.1,72.35,372278.0,0.0,1.0,73.79,74.4,72.1,72.35,372278.0
2018-03-14,75.6,76.0,73.24,73.43,340553.0,0.0,1.0,75.6,76.0,73.24,73.43,340553.0
2018-03-13,75.5,76.4,75.15,75.35,428656.0,0.0,1.0,75.5,76.4,75.15,75.35,428656.0
2018-03-12,74.09,75.62,72.54,75.46,276072.0,0.0,1.0,74.09,75.62,72.54,75.46,276072.0
2018-03-09,73.25,74.03,70.81,73.86,287040.0,0.0,1.0,73.25,74.03,70.81,73.86,287040.0
2018-03-08,72.67,73.21,72.61,73.01,213814.0,0.0,1.0,72.67,73.21,72.61,73.01,213814.0
2018-03-07,71.81,72.71,71.29,72.57,317609.0,0.0,1.0,71.81,72.71,71.29,72.57,317609.0
2018-03-06,71.13,72.39,70.7,72.36,359787.0,0.0,1.0,71.13,72.39,70.7,72.36,359787.0
2018-03-05,69.26,71.2,69.16,70.8,280410.0,0.0,1.0,69.26,71.2,69.16,70.8,280410.0
2018-03-02,68.69,69.92,68.31,69.42,316463.0,0.0,1.0,68.69,69.92,68.31,69.42,316463.0
2018-03-01,69.68,70.58,68.33,68.75,399854.0,0.0,1.0,69.68,70.58,68.33,68.75,399854.0
2018-02-28,72.1,72.78,69.73,69.79,481311.0,0.0,1.0,72.1,72.78,69.73,69.79,481311.0
2018-02-27,71.77,72.59,70.16,71.78,226162.0,0.0,1.0,71.77,72.59,70.16,71.78,226162.0
2018-02-26,71.51,71.87,71.07,71.78,176626.0,0.0,1.0,71.51,71.87,71.07,71.78,176626.0
2018-02-23,70.49,71.37,70.01,71.33,224707.0,0.0,1.0,70.49,71.37,70.01,71.33,224707.0
2018-02-22,71.33,71.44,70.05,70.06,337415.0,0.0,1.0,71.33,71.44,70.05,70.06,337415.0
2018-02-21,70.94,72.07,70.5,70.93,230909.0,0.0,1.0,70.94,72.07,70.5,70.93,230909.0
2018-02-20,71.68,72.34,70.53,70.75,351661.0,0.0,1.0,71.68,72.34,70.53,70.75,351661.0
2018-02-16,69.94,72.5999,69.69,72.1,436016.0,0.0,1.0,69.94,72.5999,69.69,72.1,436016.0
2018-02-15,68.72,69.96,67.83,69.93,462581.0,0.0,1.0,68.72,69.96,67.83,69.93,462581.0
2018-02-14,67.29,68.57,67.29,68.28,414164.0,0.0,1.0,67.29,68.57,67.29,68.28,414164.0
2018-02-13,67.86,68.14,67.01,67.85,315551.0,0.0,1.0,67.86,68.14,67.01,67.85,315551.0
2018-02-12,67.2,69.34,66.48,68.36,530101.0,0.0,1.0,67.2,69.34,66.48,68.36,530101.0
2018-02-09,70.79,70.79,63.85,66.77,1523983.0,0.0,1.0,70.79,70.79,63.85,66.77,1523983.0
2018-02-08,71.9,72.37,70.69,70.8,514868.0,0.0,1.0,71.9,72.37,70.69,70.8,514868.0
2018-02-07,70.78,72.43,70.5,71.51,395607.0,0.0,1.0,70.78,72.43,70.5,71.51,395607.0
2018-02-06,69.91,71.24,68.96,70.87,815289.0,0.0,1.0,69.91,71.24,68.96,70.87,815289.0
2018-02-05,74.4,74.67,70.91,71.13,500010.0,0.0,1.0,74.4,74.67,70.91,71.13,500010.0
2018-02-02,75.63,76.49,74.87,74.89,545956.0,0.0,1.0,75.63,76.49,74.87,74.89,545956.0
2018-02-01,75.4,76.25,75.06,75.88,324906.0,0.0,1.0,75.4,76.25,75.06,75.88,324906.0
2018-01-31,76.04,76.62,75.57,75.62,366734.0,0.0,1.0,76.04,76.62,75.57,75.62,366734.0
2018-01-30,76.25,76.6,75.62,75.77,332226.0,0.0,1.0,76.25,76.6,75.62,75.77,332226.0
2018-01-29,77.4,77.53,76.595,76.71,267473.0,0.0,1.0,77.4,77.53,76.595,76.71,267473.0
2018-01-26,78.23,78.66,77.37,77.44,199572.0,0.0,1.0,78.23,78.66,77.37,77.44,199572.0
2018-01-25,77.97,78.32,75.81,77.8,203540.0,0.0,1.0,77.97,78.32,75.81,77.8,203540.0
2018-01-24,78.91,79.1,77.71,77.85,381530.0,0.0,1.0,78.91,79.1,77.71,77.85,381530.0
2018-01-23,79.99,80.19,78.67,78.73,236536.0,0.0,1.0,79.99,80.19,78.67,78.73,236536.0
2018-01-22,78.83,80.26,78.035,80.18,537017.0,0.0,1.0,78.83,80.26,78.035,80.18,537017.0
