Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,154.04,154.73,150.62,151.38,593318.0,0.0,1.0,154.04,154.73,150.62,151.38,593318.0
2018-03-26,152.22,154.33,150.65,154.14,773805.0,0.0,1.0,152.22,154.33,150.65,154.14,773805.0
2018-03-23,155.28,157.03,151.35,151.51,486143.0,0.0,1.0,155.28,157.03,151.35,151.51,486143.0
2018-03-22,157.13,158.65,154.56,154.66,478232.0,0.0,1.0,157.13,158.65,154.56,154.66,478232.0
2018-03-21,159.92,160.26,158.09,158.15,548328.0,0.0,1.0,159.92,160.26,158.09,158.15,548328.0
2018-03-20,159.99,160.425,159.19,159.54,780502.0,0.0,1.0,159.99,160.425,159.19,159.54,780502.0
2018-03-19,162.35,162.9,158.74,159.18,731972.0,0.0,1.0,162.35,162.9,158.74,159.18,731972.0
2018-03-16,162.28,163.99,160.75,162.8,665303.0,0.0,1.0,162.28,163.99,160.75,162.8,665303.0
2018-03-15,163.21,163.99,161.455,162.28,335263.0,0.0,1.0,163.21,163.99,161.455,162.28,335263.0
2018-03-14,163.13,163.3,161.17,161.53,314097.0,0.0,1.0,163.13,163.3,161.17,161.53,314097.0
2018-03-13,163.81,164.155,161.59,162.39,395355.0,0.0,1.0,163.81,164.155,161.59,162.39,395355.0
2018-03-12,163.52,164.39,162.17,162.96,313290.0,0.0,1.0,163.52,164.39,162.17,162.96,313290.0
2018-03-09,160.41,164.18,158.995,164.14,487566.0,0.0,1.0,160.41,164.18,158.995,164.14,487566.0
2018-03-08,159.01,159.905,158.16,159.57,545885.0,0.0,1.0,159.01,159.905,158.16,159.57,545885.0
2018-03-07,156.56,159.21,156.56,158.85,467590.0,0.0,1.0,156.56,159.21,156.56,158.85,467590.0
2018-03-06,157.12,158.22,155.71,157.43,376090.0,0.0,1.0,157.12,158.22,155.71,157.43,376090.0
2018-03-05,154.08,157.79,153.6,156.92,397742.0,0.0,1.0,154.08,157.79,153.6,156.92,397742.0
2018-03-02,154.3,155.27,152.7,154.92,598256.0,0.0,1.0,154.3,155.27,152.7,154.92,598256.0
2018-03-01,158.39,159.59,154.38,154.99,425337.0,0.0,1.0,158.39,159.59,154.38,154.99,425337.0
2018-02-28,161.33,162.64,157.86,157.9,653267.0,0.0,1.0,161.33,162.64,157.86,157.9,653267.0
2018-02-27,161.65,163.05,160.45,161.01,581040.0,0.0,1.0,161.65,163.05,160.45,161.01,581040.0
2018-02-26,160.17,161.38,159.77,161.21,340746.0,0.0,1.0,160.17,161.38,159.77,161.21,340746.0
2018-02-23,156.98,160.19,156.7629,159.96,333463.0,0.0,1.0,156.98,160.19,156.7629,159.96,333463.0
2018-02-22,158.25,160.4,155.89,156.53,408875.0,0.0,1.0,158.25,160.4,155.89,156.53,408875.0
2018-02-21,159.5,160.39,157.49,157.57,426149.0,0.0,1.0,159.5,160.39,157.49,157.57,426149.0
2018-02-20,159.15,160.75,158.88,159.65,633628.0,0.0,1.0,159.15,160.75,158.88,159.65,633628.0
2018-02-16,159.19,160.74,158.25,159.23,431230.0,0.0,1.0,159.19,160.74,158.25,159.23,431230.0
2018-02-15,159.89,161.13,158.62,159.62,321433.0,0.0,1.0,159.89,161.13,158.62,159.62,321433.0
2018-02-14,154.42,159.55,153.76,159.25,665652.0,0.0,1.0,154.42,159.55,153.76,159.25,665652.0
2018-02-13,153.34,156.065,152.71,155.31,441653.0,0.0,1.0,153.34,156.065,152.71,155.31,441653.0
2018-02-12,153.29,155.67,152.28,154.15,536519.0,0.0,1.0,153.29,155.67,152.28,154.15,536519.0
2018-02-09,154.15,155.275,147.1,152.13,921421.0,0.0,1.0,154.15,155.275,147.1,152.13,921421.0
2018-02-08,158.17,160.7,152.25,152.47,783812.0,0.0,1.0,158.17,160.7,152.25,152.47,783812.0
2018-02-07,157.66,160.14,156.97,157.38,965397.0,0.0,1.0,157.66,160.14,156.97,157.38,965397.0
2018-02-06,154.98,159.02,153.1056,158.4,779072.0,0.0,1.0,154.98,159.02,153.1056,158.4,779072.0
2018-02-05,161.62,164.43,156.93,158.48,514750.0,0.0,1.0,161.62,164.43,156.93,158.48,514750.0
2018-02-02,163.2,164.99,161.56,161.65,426474.0,0.0,1.0,163.2,164.99,161.56,161.65,426474.0
2018-02-01,160.26,163.99,159.191,163.92,515375.0,0.0,1.0,160.26,163.99,159.191,163.92,515375.0
2018-01-31,160.82,162.04,159.79,160.47,609244.0,0.0,1.0,160.82,162.04,159.79,160.47,609244.0
2018-01-30,161.0,162.81,160.25,160.34,519915.0,0.0,1.0,161.0,162.81,160.25,160.34,519915.0
2018-01-29,164.0,164.0,161.1,161.71,518923.0,0.0,1.0,164.0,164.0,161.1,161.71,518923.0
2018-01-26,160.87,164.19,160.23,163.94,502643.0,0.0,1.0,160.87,164.19,160.23,163.94,502643.0
2018-01-25,159.37,160.67,158.82,160.17,431905.0,0.0,1.0,159.37,160.67,158.82,160.17,431905.0
2018-01-24,158.13,159.39,157.57,159.02,433905.0,0.0,1.0,158.13,159.39,157.57,159.02,433905.0
2018-01-23,154.49,158.37,152.58,157.87,723024.0,0.0,1.0,154.49,158.37,152.58,157.87,723024.0
2018-01-22,153.62,155.4,152.99,154.6,433829.0,0.0,1.0,153.62,155.4,152.99,154.6,433829.0
2018-01-19,154.17,154.705,153.2,153.89,425888.0,0.0,1.0,154.17,154.705,153.2,153.89,425888.0
