Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,25.7,25.85,25.3,25.35,12507.0,0.0,1.0,25.7,25.85,25.3,25.35,12507.0
2018-03-26,25.4,26.7,25.4,25.85,19182.0,0.0,1.0,25.4,26.7,25.4,25.85,19182.0
2018-03-23,26.05,26.05,25.05,25.1,20017.0,0.0,1.0,26.05,26.05,25.05,25.1,20017.0
2018-03-22,26.2,26.75,26.0,26.0,18453.0,0.0,1.0,26.2,26.75,26.0,26.0,18453.0
2018-03-21,26.0,26.6,26.0,26.4,12163.0,0.0,1.0,26.0,26.6,26.0,26.4,12163.0
2018-03-20,26.8,26.8499,26.2245,26.3,14171.0,0.0,1.0,26.8,26.8499,26.2245,26.3,14171.0
2018-03-19,26.15,26.8,25.8,26.75,15639.0,0.0,1.0,26.15,26.8,25.8,26.75,15639.0
2018-03-16,26.3,26.8,26.3,26.55,45428.0,0.0,1.0,26.3,26.8,26.3,26.55,45428.0
2018-03-15,26.05,26.5,25.95,26.3,15343.0,0.0,1.0,26.05,26.5,25.95,26.3,15343.0
2018-03-14,26.45,26.45,25.9,26.1,17316.0,0.0,1.0,26.45,26.45,25.9,26.1,17316.0
2018-03-13,26.55,26.7,26.0,26.3,14772.0,0.0,1.0,26.55,26.7,26.0,26.3,14772.0
2018-03-12,26.3,26.45,26.15,26.4,15887.0,0.0,1.0,26.3,26.45,26.15,26.4,15887.0
2018-03-09,25.8,26.3,25.5,26.2,25698.0,0.0,1.0,25.8,26.3,25.5,26.2,25698.0
2018-03-08,24.75,25.7,24.75,25.65,17347.0,0.0,1.0,24.75,25.7,24.75,25.65,17347.0
2018-03-07,25.05,25.45,24.9,25.35,35949.0,0.0,1.0,25.05,25.45,24.9,25.35,35949.0
2018-03-06,24.75,25.35,24.7,25.25,40061.0,0.0,1.0,24.75,25.35,24.7,25.25,40061.0
2018-03-05,24.65,25.05,24.35,24.9,14337.0,0.0,1.0,24.65,25.05,24.35,24.9,14337.0
2018-03-02,24.35,25.05,24.2,24.8,17828.0,0.0,1.0,24.35,25.05,24.2,24.8,17828.0
2018-03-01,24.25,24.55,24.15,24.55,17601.0,0.0,1.0,24.25,24.55,24.15,24.55,17601.0
2018-02-28,24.75,24.95,23.8476,24.3,31282.0,0.0,1.0,24.75,24.95,23.8476,24.3,31282.0
2018-02-27,25.2,25.35,24.65,24.7,16061.0,0.0,1.0,25.2,25.35,24.65,24.7,16061.0
2018-02-26,25.05,25.4,25.05,25.25,41422.0,0.0,1.0,25.05,25.4,25.05,25.25,41422.0
2018-02-23,24.85,25.1,24.75,25.1,33761.0,0.0,1.0,24.85,25.1,24.75,25.1,33761.0
2018-02-22,24.9,24.9,24.6,24.75,25634.0,0.0,1.0,24.9,24.9,24.6,24.75,25634.0
2018-02-21,24.65,25.2999,24.65,24.8,29082.0,0.0,1.0,24.65,25.2999,24.65,24.8,29082.0
2018-02-20,24.75,24.85,24.25,24.55,23589.0,0.0,1.0,24.75,24.85,24.25,24.55,23589.0
2018-02-16,24.45,25.2,24.45,24.85,19059.0,0.0,1.0,24.45,25.2,24.45,24.85,19059.0
2018-02-15,24.5,24.6,24.35,24.5,29615.0,0.0,1.0,24.5,24.6,24.35,24.5,29615.0
2018-02-14,24.3,24.7,24.3,24.45,26491.0,0.0,1.0,24.3,24.7,24.3,24.45,26491.0
2018-02-13,24.2,24.5,24.15,24.5,12131.0,0.0,1.0,24.2,24.5,24.15,24.5,12131.0
2018-02-12,24.6,25.0,24.0,24.3,34746.0,0.0,1.0,24.6,25.0,24.0,24.3,34746.0
2018-02-09,24.15,24.85,23.9,24.5,30612.0,0.0,1.0,24.15,24.85,23.9,24.5,30612.0
2018-02-08,24.25,24.5,23.925,23.925,42498.0,0.0,1.0,24.25,24.5,23.925,23.925,42498.0
2018-02-07,23.9,24.3,23.799,24.2,40652.0,0.0,1.0,23.9,24.3,23.799,24.2,40652.0
2018-02-06,24.0,24.65,23.65,24.0,47591.0,0.0,1.0,24.0,24.65,23.65,24.0,47591.0
2018-02-05,25.35,25.8,24.35,24.35,22105.0,0.0,1.0,25.35,25.8,24.35,24.35,22105.0
2018-02-02,25.95,26.0,25.4112,25.5,20437.0,0.0,1.0,25.95,26.0,25.4112,25.5,20437.0
2018-02-01,25.6,26.0,25.3,26.0,14127.0,0.0,1.0,25.6,26.0,25.3,26.0,14127.0
2018-01-31,26.0,26.0,25.4,25.6,45074.0,0.0,1.0,26.0,26.0,25.4,25.6,45074.0
2018-01-30,25.45,26.15,25.4,25.85,36836.0,0.0,1.0,25.45,26.15,25.4,25.85,36836.0
2018-01-29,25.0,25.65,25.0,25.55,23311.0,0.0,1.0,25.0,25.65,25.0,25.55,23311.0
2018-01-26,25.2,25.2,24.8609,25.05,10539.0,0.0,1.0,25.2,25.2,24.8609,25.05,10539.0
2018-01-25,25.4,25.4,25.05,25.1,12329.0,0.0,1.0,25.4,25.4,25.05,25.1,12329.0
2018-01-24,25.75,25.8,25.35,25.35,10273.0,0.0,1.0,25.75,25.8,25.35,25.35,10273.0
2018-01-23,25.55,25.75,25.4,25.75,10141.0,0.0,1.0,25.55,25.75,25.4,25.75,10141.0
2018-01-22,25.9,25.95,25.45,25.65,33550.0,0.0,1.0,25.9,25.95,25.45,25.65,33550.0
2018-01-19,25.3,26.1,25.3,26.0,26379.0,0.0,1.0,25.3,26.1,25.3,26.0,26379.0
2018-01-18,25.65,25.7,25.2,25.35,14406.0,0.0,1.0,25.65,25.7,25.2,25.35,14406.0
2018-01-17,25.65,25.85,25.4,25.75,19887.0,0.0,1.0,25.65,25.85,25.4,25.75,19887.0
2018-01-16,25.9,26.15,25.35,25.55,14422.0,0.0,1.0,25.9,26.15,25.35,25.55,14422.0
2018-01-12,25.5,26.05,25.45,25.75,30634.0,0.0,1.0,25.5,26.05,25.45,25.75,30634.0
2018-01-11,24.5,25.65,24.5,25.5,22468.0,0.0,1.0,24.5,25.65,24.5,25.5,22468.0
2018-01-10,24.5,24.75,24.35,24.55,53024.0,0.0,1.0,24.5,24.75,24.35,24.55,53024.0
2018-01-09,24.6,24.6,24.4,24.4,24407.0,0.0,1.0,24.6,24.6,24.4,24.4,24407.0
2018-01-08,24.95,24.95,24.55,24.6,24299.0,0.0,1.0,24.95,24.95,24.55,24.6,24299.0
2018-01-05,24.9,25.05,24.65,25.05,19299.0,0.0,1.0,24.9,25.05,24.65,25.05,19299.0
2018-01-04,24.9,25.1,24.65,24.8,13314.0,0.0,1.0,24.9,25.1,24.65,24.8,13314.0
2018-01-03,25.05,25.1,24.75,24.85,17757.0,0.0,1.0,25.05,25.1,24.75,24.85,17757.0
2018-01-02,25.35,25.95,24.85,24.95,19717.0,0.0,1.0,25.35,25.95,24.85,24.95,19717.0
2017-12-29,25.55,25.7,25.1,25.15,19945.0,0.0,1.0,25.55,25.7,25.1,25.15,19945.0
2017-12-28,25.95,25.95,25.7,25.75,7243.0,0.0,1.0,25.95,25.95,25.7,25.75,7243.0
2017-12-27,26.05,26.35,25.75,25.8,12053.0,0.0,1.0,26.05,26.35,25.75,25.8,12053.0
2017-12-26,25.95,26.55,25.85,26.05,27964.0,0.0,1.0,25.95,26.55,25.85,26.05,27964.0
2017-12-22,26.55,26.7,26.4,26.6,19100.0,0.0,1.0,26.55,26.7,26.4,26.6,19100.0
