Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,78.6,78.6,76.45,76.75,117960.0,0.0,1.0,78.6,78.6,76.45,76.75,117960.0
2018-03-26,77.1,78.7,76.3,78.6,203933.0,0.0,1.0,77.1,78.7,76.3,78.6,203933.0
2018-03-23,77.75,78.1,76.15,76.15,126892.0,0.0,1.0,77.75,78.1,76.15,76.15,126892.0
2018-03-22,78.7,80.1,77.6,77.7,155944.0,0.0,1.0,78.7,80.1,77.6,77.7,155944.0
2018-03-21,80.0,80.45,77.425,79.7,196135.0,0.0,1.0,80.0,80.45,77.425,79.7,196135.0
2018-03-20,81.35,81.65,81.05,81.35,53753.0,0.0,1.0,81.35,81.65,81.05,81.35,53753.0
2018-03-19,81.3,81.65,80.05,81.1,96169.0,0.0,1.0,81.3,81.65,80.05,81.1,96169.0
2018-03-16,80.4,81.75,80.35,81.55,269846.0,0.0,1.0,80.4,81.75,80.35,81.55,269846.0
2018-03-15,80.45,81.65,80.0,80.4,82997.0,0.0,1.0,80.45,81.65,80.0,80.4,82997.0
2018-03-14,80.65,81.0,79.85,80.45,82002.0,0.0,1.0,80.65,81.0,79.85,80.45,82002.0
2018-03-13,80.5,81.3,79.9,80.15,165828.0,0.0,1.0,80.5,81.3,79.9,80.15,165828.0
2018-03-12,79.9,84.25,79.25,80.2,180409.0,0.0,1.0,79.9,84.25,79.25,80.2,180409.0
2018-03-09,77.5,80.05,76.8,79.9,199918.0,0.0,1.0,77.5,80.05,76.8,79.9,199918.0
2018-03-08,77.35,77.35,76.35,76.75,87366.0,0.0,1.0,77.35,77.35,76.35,76.75,87366.0
2018-03-07,75.9,77.35,75.9,77.1,59735.0,0.0,1.0,75.9,77.35,75.9,77.1,59735.0
2018-03-06,75.5,76.5,75.2,76.35,72206.0,0.0,1.0,75.5,76.5,75.2,76.35,72206.0
2018-03-05,74.5,75.55,74.15,75.1,69700.0,0.0,1.0,74.5,75.55,74.15,75.1,69700.0
2018-03-02,74.05,75.15,73.65,74.95,78262.0,0.0,1.0,74.05,75.15,73.65,74.95,78262.0
2018-03-01,75.6,75.8,73.85,74.55,102372.0,0.19,1.0,75.6,75.8,73.85,74.55,102372.0
2018-02-28,78.3,78.75,75.5,75.5,99660.0,0.0,1.0,78.3,78.75,75.5,75.5,99660.0
2018-02-27,78.9,79.2,77.9,77.95,87349.0,0.0,1.0,78.9,79.2,77.9,77.95,87349.0
