Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,19.22,19.29,18.78,18.89,5393243.0,0.0,1.0,19.22,19.29,18.78,18.89,5393243.0
2018-03-26,19.17,19.29,18.835,19.21,3487107.0,0.0,1.0,19.17,19.29,18.835,19.21,3487107.0
2018-03-23,19.37,19.43,18.98,19.0,3644811.0,0.0,1.0,19.37,19.43,18.98,19.0,3644811.0
2018-03-22,19.48,19.765,19.34,19.35,4537924.0,0.0,1.0,19.48,19.765,19.34,19.35,4537924.0
2018-03-21,19.78,19.865,19.625,19.68,2549468.0,0.0,1.0,19.78,19.865,19.625,19.68,2549468.0
2018-03-20,19.64,19.925,19.58,19.75,4317240.0,0.0,1.0,19.64,19.925,19.58,19.75,4317240.0
2018-03-19,20.0,20.01,19.515,19.64,4008771.0,0.0,1.0,20.0,20.01,19.515,19.64,4008771.0
2018-03-16,20.07,20.215,20.03,20.04,18883367.0,0.0,1.0,20.07,20.215,20.03,20.04,18883367.0
2018-03-15,20.16,20.285,19.805,20.02,5321093.0,0.0,1.0,20.16,20.285,19.805,20.02,5321093.0
2018-03-14,20.49,20.515,20.23,20.31,5848380.0,0.0,1.0,20.49,20.515,20.23,20.31,5848380.0
2018-03-13,20.23,20.55,20.23,20.37,6224394.0,0.0,1.0,20.23,20.55,20.23,20.37,6224394.0
2018-03-12,20.21,20.37,20.055,20.13,5393020.0,0.0,1.0,20.21,20.37,20.055,20.13,5393020.0
2018-03-09,19.82,20.185,19.8,20.17,4359052.0,0.0,1.0,19.82,20.185,19.8,20.17,4359052.0
2018-03-08,19.97,19.98,19.6,19.66,3966393.0,0.0,1.0,19.97,19.98,19.6,19.66,3966393.0
2018-03-07,19.77,20.01,19.76,19.96,2503357.0,0.0,1.0,19.77,20.01,19.76,19.96,2503357.0
2018-03-06,19.96,19.995,19.72,19.9,2926521.0,0.0,1.0,19.96,19.995,19.72,19.9,2926521.0
2018-03-05,19.74,20.07,19.67,19.9,7196894.0,0.0,1.0,19.74,20.07,19.67,19.9,7196894.0
2018-03-02,19.55,19.89,19.485,19.87,3105124.0,0.0,1.0,19.55,19.89,19.485,19.87,3105124.0
2018-03-01,19.84,20.01,19.5,19.66,5527480.0,0.0,1.0,19.84,20.01,19.5,19.66,5527480.0
2018-02-28,20.1,20.15,19.75,19.82,5399769.0,0.0,1.0,20.1,20.15,19.75,19.82,5399769.0
2018-02-27,20.3,20.38,19.97,19.99,5282992.0,0.0,1.0,20.3,20.38,19.97,19.99,5282992.0
2018-02-26,20.31,20.4,20.18,20.3,2983810.0,0.0,1.0,20.31,20.4,20.18,20.3,2983810.0
2018-02-23,20.25,20.26,20.015,20.24,3509000.0,0.0,1.0,20.25,20.26,20.015,20.24,3509000.0
2018-02-22,20.2,20.38,20.06,20.09,4950210.0,0.0,1.0,20.2,20.38,20.06,20.09,4950210.0
2018-02-21,20.27,20.4169,20.09,20.09,3709792.0,0.0,1.0,20.27,20.4169,20.09,20.09,3709792.0
2018-02-20,20.24,20.5,20.18,20.25,3902824.0,0.0,1.0,20.24,20.5,20.18,20.25,3902824.0
2018-02-16,20.15,20.45,20.11,20.26,7235241.0,0.0,1.0,20.15,20.45,20.11,20.26,7235241.0
2018-02-15,20.45,20.54,20.1,20.2,7919477.0,0.0,1.0,20.45,20.54,20.1,20.2,7919477.0
2018-02-14,20.5,20.74,19.83,20.3,13487316.0,0.0,1.0,20.5,20.74,19.83,20.3,13487316.0
2018-02-13,19.59,19.915,19.59,19.75,7260437.0,0.0,1.0,19.59,19.915,19.59,19.75,7260437.0
2018-02-12,19.46,19.94,19.4,19.77,7002702.0,0.0,1.0,19.46,19.94,19.4,19.77,7002702.0
2018-02-09,18.98,19.49,18.55,19.36,7521832.0,0.0,1.0,18.98,19.49,18.55,19.36,7521832.0
