Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,36.95,37.125,36.06,36.18,489578.0,0.0,1.0,36.95,37.125,36.06,36.18,489578.0
2018-03-26,36.12,37.01,36.06,36.9,970699.0,0.0,1.0,36.12,37.01,36.06,36.9,970699.0
2018-03-23,35.92,36.39,35.8,35.82,457337.0,0.0,1.0,35.92,36.39,35.8,35.82,457337.0
2018-03-22,36.05,36.46,35.83,35.9,434421.0,0.0,1.0,36.05,36.46,35.83,35.9,434421.0
2018-03-21,36.49,36.81,36.29,36.3,423634.0,0.0,1.0,36.49,36.81,36.29,36.3,423634.0
2018-03-20,36.45,36.87,36.45,36.49,465889.0,0.0,1.0,36.45,36.87,36.45,36.49,465889.0
2018-03-19,36.77,36.96,36.1499,36.48,520352.0,0.0,1.0,36.77,36.96,36.1499,36.48,520352.0
2018-03-16,37.07,37.33,36.78,36.98,1221951.0,0.0,1.0,37.07,37.33,36.78,36.98,1221951.0
2018-03-15,37.27,37.76,36.81,37.1,1027450.0,0.0,1.0,37.27,37.76,36.81,37.1,1027450.0
2018-03-14,37.4,37.65,36.92,37.34,550421.0,0.0,1.0,37.4,37.65,36.92,37.34,550421.0
2018-03-13,37.87,38.08,37.26,37.36,1000754.0,0.0,1.0,37.87,38.08,37.26,37.36,1000754.0
2018-03-12,38.17,38.33,37.52,37.83,612222.0,0.0,1.0,38.17,38.33,37.52,37.83,612222.0
2018-03-09,38.0,38.52,38.0,38.22,755399.0,0.0,1.0,38.0,38.52,38.0,38.22,755399.0
2018-03-08,38.49,38.77,37.8,37.91,663188.0,0.0,1.0,38.49,38.77,37.8,37.91,663188.0
2018-03-07,38.41,39.09,38.03,38.5,1082862.0,0.0,1.0,38.41,39.09,38.03,38.5,1082862.0
2018-03-06,38.37,38.55,37.37,38.41,848797.0,0.0,1.0,38.37,38.55,37.37,38.41,848797.0
2018-03-05,38.0,38.58,37.58,38.34,1200151.0,0.0,1.0,38.0,38.58,37.58,38.34,1200151.0
2018-03-02,37.67,38.42,37.48,38.19,1140133.0,0.0,1.0,37.67,38.42,37.48,38.19,1140133.0
2018-03-01,38.09,38.59,37.48,37.86,1334269.0,0.0,1.0,38.09,38.59,37.48,37.86,1334269.0
2018-02-28,36.9,38.69,36.86,38.15,2026801.0,0.0,1.0,36.9,38.69,36.86,38.15,2026801.0
2018-02-27,38.17,38.21,36.4,36.82,1152888.0,0.0,1.0,38.17,38.21,36.4,36.82,1152888.0
2018-02-26,37.12,38.46,37.1,38.28,1876520.0,0.0,1.0,37.12,38.46,37.1,38.28,1876520.0
2018-02-23,36.1,37.13,36.1,37.0,787825.0,0.0,1.0,36.1,37.13,36.1,37.0,787825.0
2018-02-22,35.81,36.535,35.74,35.96,693197.0,0.0,1.0,35.81,36.535,35.74,35.96,693197.0
2018-02-21,36.31,36.52,35.51,35.53,640918.0,0.0,1.0,36.31,36.52,35.51,35.53,640918.0
2018-02-20,36.3,36.9,36.09,36.39,961593.0,0.0,1.0,36.3,36.9,36.09,36.39,961593.0
2018-02-16,36.43,36.855,36.235,36.48,836832.0,0.0,1.0,36.43,36.855,36.235,36.48,836832.0
2018-02-15,36.33,36.67,35.93,36.41,614861.0,0.0,1.0,36.33,36.67,35.93,36.41,614861.0
2018-02-14,35.11,36.2,35.1,36.07,722008.0,0.0,1.0,35.11,36.2,35.1,36.07,722008.0
2018-02-13,35.21,35.61,34.89,35.42,706603.0,0.0,1.0,35.21,35.61,34.89,35.42,706603.0
2018-02-12,35.51,36.06,35.24,35.36,991048.0,0.0,1.0,35.51,36.06,35.24,35.36,991048.0
2018-02-09,34.19,35.03,33.4,34.84,838913.0,0.0,1.0,34.19,35.03,33.4,34.84,838913.0
2018-02-08,35.13,36.91,33.8,33.84,2017630.0,0.0,1.0,35.13,36.91,33.8,33.84,2017630.0
2018-02-07,34.54,34.68,33.88,33.99,1127965.0,0.0,1.0,34.54,34.68,33.88,33.99,1127965.0
2018-02-06,33.58,34.77,33.23,34.56,1142785.0,0.0,1.0,33.58,34.77,33.23,34.56,1142785.0
2018-02-05,34.43,35.17,34.041,34.12,653145.0,0.0,1.0,34.43,35.17,34.041,34.12,653145.0
