Date,Open,High,Low,Close,Volume,ExDividend,SplitRatio,AdjOpen,AdjHigh,AdjLow,AdjClose,AdjVolume
2018-03-27,4.27,4.27,4.05,4.05,983328.0,0.0,1.0,4.27,4.27,4.05,4.05,983328.0
2018-03-26,4.14,4.28,4.0515,4.27,1093052.0,0.0,1.0,4.14,4.28,4.0515,4.27,1093052.0
2018-03-23,4.2,4.24,4.02,4.05,944553.0,0.0,1.0,4.2,4.24,4.02,4.05,944553.0
2018-03-22,4.24,4.3199,4.175,4.19,750150.0,0.0,1.0,4.24,4.3199,4.175,4.19,750150.0
2018-03-21,4.21,4.3,4.16,4.28,623353.0,0.0,1.0,4.21,4.3,4.16,4.28,623353.0
2018-03-20,4.41,4.475,4.17,4.19,1046523.0,0.0,1.0,4.41,4.475,4.17,4.19,1046523.0
2018-03-19,4.44,4.51,4.3,4.4,1024125.0,0.0,1.0,4.44,4.51,4.3,4.4,1024125.0
2018-03-16,4.38,4.4699,4.32,4.45,1187903.0,0.0,1.0,4.38,4.4699,4.32,4.45,1187903.0
2018-03-15,4.37,4.4399,4.3,4.37,679183.0,0.0,1.0,4.37,4.4399,4.3,4.37,679183.0
2018-03-14,4.48,4.52,4.31,4.36,964382.0,0.0,1.0,4.48,4.52,4.31,4.36,964382.0
2018-03-13,4.4,4.62,4.35,4.44,1350802.0,0.0,1.0,4.4,4.62,4.35,4.44,1350802.0
2018-03-12,4.37,4.4,4.24,4.39,1046481.0,0.0,1.0,4.37,4.4,4.24,4.39,1046481.0
2018-03-09,4.15,4.39,4.13,4.34,1203574.0,0.0,1.0,4.15,4.39,4.13,4.34,1203574.0
2018-03-08,4.5,4.5,4.08,4.12,1976640.0,0.0,1.0,4.5,4.5,4.08,4.12,1976640.0
2018-03-07,4.05,4.5,4.02,4.48,1893094.0,0.0,1.0,4.05,4.5,4.02,4.48,1893094.0
2018-03-06,4.14,4.18,4.01,4.08,1468838.0,0.0,1.0,4.14,4.18,4.01,4.08,1468838.0
2018-03-05,4.04,4.42,4.01,4.13,2717123.0,0.0,1.0,4.04,4.42,4.01,4.13,2717123.0
2018-03-02,3.7,4.125,3.6310000000000002,4.04,3381100.0,0.0,1.0,3.7,4.125,3.6310000000000002,4.04,3381100.0
2018-03-01,3.71,3.81,3.56,3.62,1132314.0,0.0,1.0,3.71,3.81,3.56,3.62,1132314.0
2018-02-28,3.72,3.85,3.64,3.73,1157714.0,0.0,1.0,3.72,3.85,3.64,3.73,1157714.0
2018-02-27,3.85,3.89,3.72,3.74,640111.0,0.0,1.0,3.85,3.89,3.72,3.74,640111.0
2018-02-26,3.87,3.955,3.75,3.83,835899.0,0.0,1.0,3.87,3.955,3.75,3.83,835899.0
2018-02-23,3.75,3.94,3.65,3.87,1667298.0,0.0,1.0,3.75,3.94,3.65,3.87,1667298.0
2018-02-22,3.78,3.87,3.69,3.71,1121752.0,0.0,1.0,3.78,3.87,3.69,3.71,1121752.0
2018-02-21,3.7,3.98,3.65,3.73,1647717.0,0.0,1.0,3.7,3.98,3.65,3.73,1647717.0
2018-02-20,3.83,3.87,3.64,3.68,1389166.0,0.0,1.0,3.83,3.87,3.64,3.68,1389166.0
2018-02-16,3.87,3.95,3.8,3.83,1241695.0,0.0,1.0,3.87,3.95,3.8,3.83,1241695.0
2018-02-15,3.99,3.99,3.86,3.88,871591.0,0.0,1.0,3.99,3.99,3.86,3.88,871591.0
2018-02-14,3.86,4.04,3.79,3.94,1172119.0,0.0,1.0,3.86,4.04,3.79,3.94,1172119.0
2018-02-13,3.92,3.98,3.79,3.92,1355219.0,0.0,1.0,3.92,3.98,3.79,3.92,1355219.0
2018-02-12,3.94,4.04,3.83,3.94,1228638.0,0.0,1.0,3.94,4.04,3.83,3.94,1228638.0
2018-02-09,3.95,4.02,3.615,3.89,1518729.0,0.0,1.0,3.95,4.02,3.615,3.89,1518729.0
2018-02-08,4.13,4.21,3.87,3.87,1462256.0,0.0,1.0,4.13,4.21,3.87,3.87,1462256.0
2018-02-07,3.97,4.12,3.83,4.11,1807731.0,0.0,1.0,3.97,4.12,3.83,4.11,1807731.0
2018-02-06,3.49,4.1,3.46,4.01,2966655.0,0.0,1.0,3.49,4.1,3.46,4.01,2966655.0
2018-02-05,3.66,3.74,3.33,3.47,2600760.0,0.0,1.0,3.66,3.74,3.33,3.47,2600760.0
2018-02-02,3.8,3.8318,3.565,3.7,1933514.0,0.0,1.0,3.8,3.8318,3.565,3.7,1933514.0
2018-02-01,4.0,4.0065,3.66,3.82,2848267.0,0.0,1.0,4.0,4.0065,3.66,3.82,2848267.0
2018-01-31,4.26,4.32,3.94,3.945,2742603.0,0.0,1.0,4.26,4.32,3.94,3.945,2742603.0
2018-01-30,4.39,4.39,4.11,4.2,2686112.0,0.0,1.0,4.39,4.39,4.11,4.2,2686112.0
2018-01-29,4.62,4.77,4.43,4.46,1417317.0,0.0,1.0,4.62,4.77,4.43,4.46,1417317.0
2018-01-26,4.76,4.82,4.54,4.61,1459032.0,0.0,1.0,4.76,4.82,4.54,4.61,1459032.0
2018-01-25,4.65,4.9,4.52,4.72,1694814.0,0.0,1.0,4.65,4.9,4.52,4.72,1694814.0
2018-01-24,4.92,5.0,4.54,4.61,1723189.0,0.0,1.0,4.92,5.0,4.54,4.61,1723189.0
2018-01-23,5.2,5.21,4.65,4.89,3647406.0,0.0,1.0,5.2,5.21,4.65,4.89,3647406.0
2018-01-22,4.34,5.245,4.25,5.14,8396004.0,0.0,1.0,4.34,5.245,4.25,5.14,8396004.0
2018-01-19,4.33,4.3372,4.23,4.28,1372766.0,0.0,1.0,4.33,4.3372,4.23,4.28,1372766.0
2018-01-18,4.32,4.42,4.2801,4.36,1085478.0,0.0,1.0,4.32,4.42,4.2801,4.36,1085478.0
2018-01-17,4.33,4.42,4.245,4.35,1505484.0,0.0,1.0,4.33,4.42,4.245,4.35,1505484.0
2018-01-16,4.37,4.47,4.18,4.2,1656655.0,0.0,1.0,4.37,4.47,4.18,4.2,1656655.0
2018-01-12,4.29,4.4,4.23,4.36,1311130.0,0.0,1.0,4.29,4.4,4.23,4.36,1311130.0
2018-01-11,4.13,4.36,4.075,4.26,1839518.0,0.0,1.0,4.13,4.36,4.075,4.26,1839518.0
2018-01-10,4.1,4.15,4.029,4.13,1110421.0,0.0,1.0,4.1,4.15,4.029,4.13,1110421.0
2018-01-09,4.12,4.1308,3.77,4.105,4200458.0,0.0,1.0,4.12,4.1308,3.77,4.105,4200458.0
2018-01-08,4.38,4.3901,4.17,4.2,1451789.0,0.0,1.0,4.38,4.3901,4.17,4.2,1451789.0
2018-01-05,4.4,4.5293,4.24,4.38,1214003.0,0.0,1.0,4.4,4.5293,4.24,4.38,1214003.0
2018-01-04,4.65,4.65,4.26,4.38,1802639.0,0.0,1.0,4.65,4.65,4.26,4.38,1802639.0
2018-01-03,4.49,4.67,4.38,4.61,1442324.0,0.0,1.0,4.49,4.67,4.38,4.61,1442324.0
2018-01-02,4.16,4.49,4.12,4.435,2362978.0,0.0,1.0,4.16,4.49,4.12,4.435,2362978.0
2017-12-29,4.0,4.28,3.98,4.14,2995165.0,0.0,1.0,4.0,4.28,3.98,4.14,2995165.0
2017-12-28,4.03,4.08,3.91,4.0,2018520.0,0.0,1.0,4.03,4.08,3.91,4.0,2018520.0
2017-12-27,4.09,4.11,3.96,4.03,1716400.0,0.0,1.0,4.09,4.11,3.96,4.03,1716400.0
2017-12-26,4.04,4.16,3.99,4.07,1628039.0,0.0,1.0,4.04,4.16,3.99,4.07,1628039.0
2017-12-22,4.19,4.19,3.99,4.05,1962808.0,0.0,1.0,4.19,4.19,3.99,4.05,1962808.0
2017-12-21,4.24,4.38,4.15,4.16,1649268.0,0.0,1.0,4.24,4.38,4.15,4.16,1649268.0
2017-12-20,4.32,4.37,4.24,4.26,837401.0,0.0,1.0,4.32,4.37,4.24,4.26,837401.0
2017-12-19,4.3,4.42,4.19,4.32,1537382.0,0.0,1.0,4.3,4.42,4.19,4.32,1537382.0
2017-12-18,4.38,4.43,4.22,4.28,1300322.0,0.0,1.0,4.38,4.43,4.22,4.28,1300322.0
2017-12-15,4.28,4.45,4.19,4.35,3394531.0,0.0,1.0,4.28,4.45,4.19,4.35,3394531.0
2017-12-14,4.44,4.5,4.195,4.26,1035176.0,0.0,1.0,4.44,4.5,4.195,4.26,1035176.0
2017-12-13,4.15,4.48,4.15,4.44,1566352.0,0.0,1.0,4.15,4.48,4.15,4.44,1566352.0
2017-12-12,4.19,4.25,4.06,4.17,1205942.0,0.0,1.0,4.19,4.25,4.06,4.17,1205942.0
